player,position,team,matches_played,starts,minutes_played,90s,goals,assists,goals+assists,non_penalty_goals,penalties_scored,penalties_attempted,yellow_cards,red_cards,expected_goals,non_penalty_expected_goals,expected_assisted_goals,non_penalty_expected_goals+expected_assisted_goals,progressive_carries,progressive_passes,progressive_passes_received
Jesse Lingard,"MF,FW",West Ham,16,16,1421,15.8,9,4,13,8,1,2,3,0,4.5,2.8,2.1,5,59,75,84
Jake Livermore,MF,West Brom,18,15,1242,13.8,0,0,0,0,0,0,2,1,0.3,0.3,0.2,0.5,0,26,6
Diego Llorente,DF,Leeds United,15,14,1204,13.4,1,0,1,1,0,0,1,0,0.8,0.8,0.5,1.3,7,26,1
Hugo Lloris,GK,Tottenham,38,38,3420,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Giovani Lo Celso,MF,Tottenham,18,11,945,10.5,1,1,2,1,0,0,5,0,1.4,1.4,1,2.4,21,71,34
Ruben Loftus-Cheek,FW,Chelsea,1,1,60,0.7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
Ruben Loftus-Cheek,"MF,FW",Fulham,30,21,1909,21.2,1,0,1,1,0,0,3,0,3.4,3.4,1.2,4.6,57,82,97
Kevin Long,DF,Burnley,8,7,637,7.1,0,0,0,0,0,0,2,0,0.4,0.4,0,0.4,0,15,1
Shane Long,FW,Southampton,11,1,210,2.3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,3,10
Matthew Longstaff,MF,Newcastle Utd,5,4,377,4.2,0,0,0,0,0,0,0,0,0,0,0.2,0.2,1,6,2
Sean Longstaff,MF,Newcastle Utd,22,15,1412,15.7,0,1,1,0,0,0,2,0,1.4,1.4,1,2.3,5,45,18
Ademola Lookman,"FW,MF",Fulham,34,31,2747,30.5,4,4,8,4,0,1,5,0,6.3,5.5,5.2,10.7,110,110,236
Max Lowe,DF,Sheffield Utd,8,7,550,6.1,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,10,14,32
Matthew Lowton,DF,Burnley,34,34,3060,34,1,1,2,1,0,0,5,0,0.8,0.8,3.1,3.9,49,127,59
David Luiz,DF,Arsenal,20,17,1396,15.5,1,0,1,1,0,0,1,1,0.9,0.9,0.5,1.4,22,68,3
Douglas Luiz,MF,Aston Villa,33,32,2781,30.9,0,2,2,0,0,0,10,1,1.2,1.2,1.6,2.8,47,131,32
John Lundstram,MF,Sheffield Utd,28,23,2032,22.6,0,2,2,0,0,1,8,1,1.9,1.1,1.3,2.4,35,78,73
Alexis Mac Allister,"MF,FW",Brighton,21,13,1115,12.4,1,1,2,1,0,0,1,0,1.3,1.3,1.5,2.7,15,48,55
James Maddison,MF,Leicester City,31,24,2099,23.3,8,5,13,8,0,0,4,0,3.8,3.8,5.1,8.9,43,134,116
Harry Maguire,DF,Manchester Utd,34,34,3047,33.9,2,1,3,2,0,0,11,0,2.3,2.2,0.3,2.5,42,194,14
Riyad Mahrez,FW,Manchester City,27,23,1949,21.7,9,6,15,9,0,0,0,0,4.7,4.7,5,9.7,88,88,247
Ainsley Maitland-Niles,"MF,DF",Arsenal,11,5,490,5.4,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,12,24,21
Ainsley Maitland-Niles,MF,West Brom,15,14,1230,13.7,0,0,0,0,0,0,2,0,0.6,0.6,0.7,1.2,25,47,52
Josh Maja,FW,Fulham,15,9,810,9,3,0,3,2,1,1,0,0,4.5,3.7,0.5,4.2,5,15,33
Sadio Mané,FW,Liverpool,35,31,2810,31.2,11,7,18,11,0,0,3,0,14.1,14.1,7,21,142,112,366
Javier Manquillo,DF,Newcastle Utd,13,10,825,9.2,0,0,0,0,0,0,1,0,0,0,0.3,0.3,13,20,29
Fernando Marçal,"DF,MF",Wolves,13,7,623,6.9,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,8,23,14
Solly March,"DF,MF",Brighton,21,19,1672,18.6,2,1,3,2,0,0,0,0,1.7,1.7,1.5,3.2,74,79,146
Pablo Marí,DF,Arsenal,10,10,900,10,0,0,0,0,0,0,2,0,0.1,0.1,0.3,0.3,4,21,0
Anthony Martial,FW,Manchester Utd,22,17,1480,16.4,4,3,7,4,0,0,0,1,6.5,6.5,2,8.5,48,46,155
Gabriel Martinelli,FW,Arsenal,14,7,589,6.5,2,1,3,2,0,0,0,0,3.3,3.3,1.8,5.1,23,8,62
Emiliano Martínez,GK,Aston Villa,38,38,3420,38,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0,0,0
Arthur Masuaku,"DF,MF",West Ham,12,12,1006,11.2,0,2,2,0,0,0,2,0,0.5,0.5,2.2,2.7,45,43,54
Juan Mata,"FW,MF",Manchester Utd,9,6,509,5.7,1,2,3,0,1,1,0,0,1,0.2,0.8,1.1,13,23,32
Jean-Philippe Mateta,FW,Crystal Palace,7,2,221,2.5,1,0,1,1,0,0,0,0,0.3,0.3,0,0.3,2,3,11
Nemanja Matić,MF,Manchester Utd,20,12,1106,12.3,0,0,0,0,0,0,2,0,0.3,0.3,0.7,1,40,86,12
Joël Matip,DF,Liverpool,10,9,691,7.7,1,2,3,1,0,0,2,0,0.8,0.8,0.9,1.7,6,28,1
Neal Maupay,"FW,MF",Brighton,33,29,2512,27.9,8,2,10,5,3,4,1,1,13.2,10.1,3.9,13.9,44,61,181
James McArthur,MF,Crystal Palace,18,17,1466,16.3,0,2,2,0,0,0,3,0,0.3,0.3,1.2,1.5,15,80,29
Oliver McBurnie,FW,Sheffield Utd,23,12,1324,14.7,1,0,1,1,0,0,2,0,3.9,3.9,1.1,5,14,44,58
Alex McCarthy,GK,Southampton,30,30,2700,30,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
James McCarthy,MF,Crystal Palace,16,10,821,9.1,0,0,0,0,0,0,1,0,0,0,0.3,0.3,1,28,4
John McGinn,MF,Aston Villa,37,37,3330,37,3,5,8,3,0,0,12,0,2.5,2.5,3.6,6.1,33,221,79
David McGoldrick,"FW,MF",Sheffield Utd,35,28,2397,26.6,8,1,9,8,0,0,7,0,6.9,6.9,1.1,8,42,94,162
Dwight McNeil,MF,Burnley,36,34,3069,34.1,2,5,7,2,0,0,1,0,1.1,1.1,6.2,7.2,102,101,102
