player,position,team,matches_played,starts,minutes_played,90s,goals,assists,goals+assists,non_penalty_goals,penalties_scored,penalties_attempted,yellow_cards,red_cards,expected_goals,non_penalty_expected_goals,expected_assisted_goals,non_penalty_expected_goals+expected_assisted_goals,progressive_carries,progressive_passes,progressive_passes_received
Patrick van Aanholt,DF,Crystal Palace,22,20,1777,19.7,0,1,1,0,0,0,2,0,1.4,1.4,0.7,2.1,38,103,87
Tammy Abraham,FW,Chelsea,22,12,1040,11.6,6,1,7,6,0,0,0,0,5.9,5.9,0.7,6.6,12,11,66
Che Adams,FW,Southampton,36,30,2667,29.6,9,5,14,9,0,0,1,0,9.8,9.8,5,14.8,32,57,149
Tosin Adarabioyo,DF,Fulham,33,33,2953,32.8,0,0,0,0,0,0,1,0,1.1,1.1,0.3,1.4,5,75,3
Adrián,GK,Liverpool,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sergio Agüero,FW,Manchester City,12,7,559,6.2,4,1,5,3,1,2,0,0,3.5,1.9,1.2,3.1,12,12,39
Ola Aina,DF,Fulham,31,31,2664,29.6,2,1,3,2,0,0,3,0,1.2,1.2,1.5,2.8,63,106,50
Rayan Aït Nouri,DF,Wolves,21,16,1404,15.6,1,1,2,1,0,0,1,0,0.6,0.6,0.6,1.2,47,54,85
Semi Ajayi,DF,West Brom,33,31,2780,30.9,2,0,2,2,0,0,3,1,1.9,1.9,0.5,2.4,13,73,7
Nathan Aké,DF,Manchester City,10,9,797,8.9,1,0,1,1,0,0,4,0,0.3,0.3,0,0.3,12,52,6
Marc Albrighton,"DF,FW",Leicester City,31,17,1746,19.4,1,5,6,1,0,0,2,0,1.2,1.2,3.5,4.7,46,84,139
Thiago Alcántara,MF,Liverpool,24,20,1854,20.6,1,0,1,1,0,0,4,0,1.2,1.2,2.3,3.5,27,203,25
Toby Alderweireld,DF,Tottenham,25,25,2240,24.9,1,0,1,1,0,0,2,0,0.7,0.7,0.7,1.4,3,59,1
Rúnar Alex Rúnarsson,GK,Arsenal,1,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trent Alexander-Arnold,DF,Liverpool,36,34,3031,33.7,2,7,9,2,0,0,2,0,2.6,2.6,8.6,11.2,98,251,249
Ezgjan Alioski,"DF,MF",Leeds United,36,29,2461,27.3,2,3,5,2,0,0,7,0,1.6,1.6,3.3,4.9,77,132,122
Alisson Becker,GK,Liverpool,33,33,2970,33,1,0,1,1,0,0,1,0,0.1,0.1,0,0.1,0,1,0
Allan,MF,Everton,24,23,2051,22.8,0,0,0,0,0,0,6,0,0.3,0.3,0.8,1.1,30,92,8
Dele Alli,MF,Tottenham,15,7,620,6.9,0,1,1,0,0,0,0,0,2,2,1.2,3.3,15,26,30
Miguel Almirón,"MF,FW",Newcastle Utd,34,28,2429,27,4,1,5,4,0,0,3,0,3.2,3.2,2.9,6.1,70,90,109
Marcos Alonso,DF,Chelsea,13,11,960,10.7,2,0,2,2,0,0,2,0,1.8,1.8,1.3,3.2,24,42,74
Steven Alzate,MF,Brighton,15,10,896,10,1,0,1,1,0,0,2,0,0.8,0.8,0.6,1.4,16,39,16
Daniel Amartey,DF,Leicester City,12,8,722,8,1,0,1,1,0,0,3,0,0.4,0.4,0,0.4,4,24,0
Ethan Ampadu,"DF,MF",Sheffield Utd,25,23,2089,23.2,0,0,0,0,0,0,3,0,0.3,0.3,1.2,1.5,25,100,23
Joachim Andersen,DF,Fulham,31,30,2730,30.3,1,1,2,1,0,0,7,1,1.2,1.2,0.4,1.7,20,95,7
Elliot Anderson,MF,Newcastle Utd,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Felipe Anderson,"FW,MF",West Ham,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
Michail Antonio,FW,West Ham,26,24,1974,21.9,10,5,15,10,0,0,3,0,12.9,12.9,3,16,59,36,177
Alphonse Areola,GK,Fulham,36,36,3240,36,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Stuart Armstrong,MF,Southampton,33,32,2764,30.7,4,5,9,4,0,0,3,0,2.7,2.7,2.6,5.3,109,144,118
Kepa Arrizabalaga,GK,Chelsea,7,6,585,6.5,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0
Pierre-Emerick Aubameyang,FW,Arsenal,29,26,2332,25.9,10,3,13,8,2,2,2,0,10.2,8.6,2.4,11,65,66,195
Serge Aurier,DF,Tottenham,19,19,1605,17.8,2,3,5,2,0,0,0,0,1.1,1.1,3.4,4.5,28,59,82
Charlie Austin,"FW,MF",West Brom,5,0,138,1.5,0,0,0,0,0,0,0,0,0.4,0.4,0,0.4,1,3,4
Jordan Ayew,"FW,MF",Crystal Palace,33,23,2096,23.3,1,3,4,1,0,0,4,0,2.2,2.2,0.7,2.9,58,35,109
Luke Ayling,DF,Leeds United,38,38,3399,37.8,0,0,0,0,0,0,7,0,1.7,1.7,3.2,4.9,110,224,110
César Azpilicueta,DF,Chelsea,26,24,2188,24.3,1,2,3,1,0,0,5,1,0.7,0.7,2.5,3.2,37,135,83
Eric Bailly,DF,Manchester Utd,12,10,916,10.2,0,0,0,0,0,0,3,0,0.1,0.1,0,0.1,6,37,0
Fabián Balbuena,DF,West Ham,14,13,1198,13.3,1,0,1,1,0,0,1,1,0.7,0.7,0,0.7,3,30,2
George Baldock,DF,Sheffield Utd,32,32,2787,31,0,2,2,0,0,0,7,0,1.2,1.2,2.9,4,68,75,140
Gareth Bale,FW,Tottenham,20,10,920,10.2,11,2,13,11,0,0,1,0,5.8,5.8,1.8,7.6,31,43,85
Patrick Bamford,FW,Leeds United,38,37,3050,33.9,17,7,24,15,2,2,3,0,18.2,16.6,3.5,20.2,32,31,167
Phil Bardsley,DF,Burnley,4,3,274,3,0,0,0,0,0,0,2,0,0.1,0.1,0,0.1,4,10,6
Ross Barkley,MF,Aston Villa,24,18,1531,17,3,1,4,3,0,0,0,0,3.1,3.1,4.2,7.3,40,88,73
Ross Barkley,"FW,MF",Chelsea,2,0,42,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,2,2,1
Ashley Barnes,FW,Burnley,22,15,1331,14.8,3,0,3,2,1,1,4,0,4.1,3.3,0.8,4.1,8,20,79
Harvey Barnes,"FW,MF",Leicester City,25,22,1945,21.6,9,4,13,9,0,0,0,0,5.9,5.9,1.6,7.5,105,56,163
Kyle Bartley,DF,West Brom,30,28,2584,28.7,3,1,4,3,0,0,4,0,2.5,2.5,1.4,3.9,2,44,3
Chris Basham,"DF,MF",Sheffield Utd,31,31,2576,28.6,0,1,1,0,0,0,5,0,0.7,0.7,0.9,1.6,38,82,48
Michy Batshuayi,FW,Crystal Palace,18,7,728,8.1,2,1,3,2,0,0,0,0,1.6,1.6,1.6,3.2,16,13,44
Jan Bednarek,DF,Southampton,36,36,3100,34.4,1,1,2,1,0,0,5,1,0.7,0.7,0.6,1.3,13,76,3
Donny van de Beek,"MF,FW",Manchester Utd,19,4,524,5.8,1,1,2,1,0,0,1,0,0.4,0.4,0.9,1.3,7,16,39
Héctor Bellerín,"DF,MF",Arsenal,25,24,2089,23.2,1,2,3,1,0,0,8,0,0.8,0.8,2.4,3.2,46,108,142
Saïd Benrahma,"FW,MF",West Ham,30,14,1391,15.5,1,6,7,1,0,0,0,0,2.6,2.6,4.1,6.7,63,60,107
Josh Benson,MF,Burnley,6,2,264,2.9,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,1,6,8
Christian Benteke,FW,Crystal Palace,30,21,1816,20.2,10,1,11,10,0,0,3,1,8.3,8.3,0.9,9.1,14,36,124
Gaetano Berardi,DF,Leeds United,2,1,113,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,2,1
Jóhann Berg Guðmundsson,MF,Burnley,22,16,1363,15.1,2,0,2,2,0,0,2,0,1.2,1.2,0.5,1.7,25,31,74
Sander Berge,MF,Sheffield Utd,15,13,1120,12.4,1,1,2,0,1,1,4,0,1.2,0.4,1.1,1.6,39,39,33
Steven Bergwijn,"FW,MF",Tottenham,21,13,1208,13.4,1,3,4,1,0,0,3,0,2,2,0.9,2.9,32,25,83
Bernard,"MF,FW",Everton,12,3,455,5.1,1,0,1,1,0,0,2,0,0.3,0.3,0.6,0.8,13,37,42
Bernardo,"DF,MF",Brighton,3,2,206,2.3,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,2,9,15
Ryan Bertrand,DF,Southampton,29,29,2598,28.9,0,1,1,0,0,0,5,0,0.4,0.4,1.3,1.6,46,101,120
Yves Bissouma,MF,Brighton,36,35,3111,34.6,1,0,1,1,0,0,8,1,1.4,1.4,0.9,2.3,55,146,26
Jayden Bogle,"DF,MF",Sheffield Utd,16,12,1110,12.3,2,0,2,2,0,0,2,0,1.9,1.9,0.2,2.2,11,24,61
Willy Boly,DF,Wolves,21,21,1879,20.9,1,1,2,1,0,0,2,0,1.1,1.1,0.3,1.4,5,44,1
Jarrod Bowen,"FW,MF",West Ham,38,30,2562,28.5,8,5,13,8,0,0,0,0,7.1,7.1,5,12,83,44,165
Robbie Brady,MF,Burnley,19,12,1052,11.7,1,1,2,1,0,0,3,0,0.8,0.8,0.9,1.7,14,26,40
Rhian Brewster,"FW,MF",Sheffield Utd,27,12,1128,12.5,0,0,0,0,0,0,1,0,1.8,1.8,1.6,3.4,11,20,48
Nathan Broadhead,FW,Everton,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Brownhill,MF,Burnley,33,32,2813,31.3,0,1,1,0,0,0,2,0,1.9,1.9,0.7,2.6,22,83,69
Joe Bryan,"DF,MF",Fulham,16,7,669,7.4,1,0,1,1,0,0,2,0,0.6,0.6,0.3,0.9,13,31,33
Kean Bryan,DF,Sheffield Utd,13,12,1004,11.2,1,0,1,1,0,0,1,0,0.9,0.9,0.6,1.5,7,22,18
Oliver Burke,FW,Sheffield Utd,25,14,1269,14.1,1,1,2,1,0,0,2,0,2.1,2.1,2.2,4.3,30,19,108
Dan Burn,DF,Brighton,27,23,2061,22.9,1,0,1,1,0,0,5,0,1.5,1.5,0.8,2.3,34,87,73
Jack Butland,GK,Crystal Palace,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David Button,GK,West Brom,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oskar Buur,DF,Wolves,1,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Willy Caballero,GK,Chelsea,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gary Cahill,DF,Crystal Palace,20,20,1800,20,1,1,2,1,0,0,3,0,0.7,0.7,0.6,1.4,3,46,0
Tom Cairney,MF,Fulham,10,9,759,8.4,1,1,2,1,0,0,2,0,0.5,0.5,1.1,1.6,22,72,25
Dominic Calvert-Lewin,FW,Everton,33,32,2871,31.9,16,0,16,16,0,0,3,0,16.3,16.3,2,18.3,36,46,160
João Cancelo,"DF,MF",Manchester City,28,27,2299,25.5,2,3,5,2,0,0,5,1,1.6,1.6,4.6,6.2,80,200,150
Ian Carlo Poveda,MF,Leeds United,14,0,355,3.9,0,0,0,0,0,0,0,0,0.3,0.3,1.1,1.4,21,17,47
Andy Carroll,FW,Newcastle Utd,18,4,392,4.4,1,0,1,1,0,0,1,0,0.8,0.8,0.1,0.9,2,12,18
Scott Carson,GK,Manchester City,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabio Carvalho,"MF,FW",Fulham,4,3,255,2.8,1,0,1,1,0,0,0,0,1.2,1.2,0.4,1.6,10,6,14
Matty Cash,DF,Aston Villa,28,28,2372,26.4,0,2,2,0,0,0,8,1,0.3,0.3,1.7,2,43,76,62
Kiko Casilla,GK,Leeds United,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Timothy Castagne,DF,Leicester City,27,27,2345,26.1,2,3,5,2,0,0,1,0,1.1,1.1,2.2,3.4,52,91,148
Jonny Castro,"MF,DF",Wolves,7,7,495,5.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,13,16,18
Ivan Cavaleiro,FW,Fulham,36,27,2472,27.5,3,0,3,2,1,2,2,0,6.4,4.8,2.7,7.5,68,63,230
Edinson Cavani,FW,Manchester Utd,26,13,1375,15.3,10,3,13,10,0,0,4,0,8,8,2.2,10.3,5,30,80
Dani Ceballos,MF,Arsenal,25,17,1615,17.9,0,3,3,0,0,0,4,0,0.6,0.6,2.6,3.3,54,150,52
Calum Chambers,DF,Arsenal,10,8,753,8.4,0,2,2,0,0,0,0,0,0.4,0.4,1.1,1.5,16,40,49
Ben Chilwell,DF,Chelsea,27,27,2286,25.4,3,5,8,3,0,0,3,0,2.4,2.4,2.4,4.9,94,111,186
Hamza Choudhury,MF,Leicester City,10,4,316,3.5,0,0,0,0,0,0,1,0,0.4,0.4,0,0.4,3,15,1
Andreas Christensen,DF,Chelsea,17,15,1371,15.2,0,0,0,0,0,0,2,1,0.1,0.1,0.3,0.4,7,43,1
Carney Chukwuemeka,"MF,FW",Aston Villa,2,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Ciaran Clark,DF,Newcastle Utd,22,21,1891,21,1,0,1,1,0,0,3,0,0.7,0.7,0.1,0.8,9,35,4
Nathaniel Clyne,DF,Crystal Palace,13,13,1145,12.7,0,1,1,0,0,0,2,0,0.2,0.2,0.2,0.4,18,42,20
Conor Coady,DF,Wolves,37,37,3303,36.7,1,0,1,1,0,0,5,0,1,1,0.2,1.2,4,67,2
Séamus Coleman,"DF,MF",Everton,25,18,1613,17.9,0,3,3,0,0,0,0,0,0.9,0.9,1.8,2.7,31,49,90
Aaron Connolly,FW,Brighton,17,9,791,8.8,2,1,3,2,0,0,0,0,4,4,0.2,4.2,12,4,58
Liam Cooper,DF,Leeds United,25,25,2185,24.3,1,0,1,1,0,0,4,1,1.8,1.8,0,1.8,12,88,1
Theo Corbeanu,FW,Wolves,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Jack Cork,MF,Burnley,16,15,1350,15,0,0,0,0,0,0,2,0,0.2,0.2,0.6,0.8,8,37,13
Hélder Costa,"MF,FW",Leeds United,22,13,1156,12.8,3,3,6,3,0,0,0,0,2.2,2.2,0.6,2.8,47,28,84
Vladimír Coufal,DF,West Ham,34,34,3054,33.9,0,7,7,0,0,0,3,0,1.3,1.3,5.5,6.7,70,128,159
Aaron Cresswell,DF,West Ham,36,36,3170,35.2,0,8,8,0,0,0,3,0,1,1,6.5,7.5,35,162,96
Patrick Cutrone,FW,Wolves,2,0,25,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,3
Stuart Dallas,"MF,DF",Leeds United,38,38,3409,37.9,8,2,10,8,0,0,7,0,4.2,4.2,1.8,6.1,95,233,126
Scott Dann,DF,Crystal Palace,15,15,1350,15,1,0,1,1,0,0,1,0,0.3,0.3,0,0.3,2,34,0
Karl Darlow,GK,Newcastle Utd,25,25,2250,25,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Ben Davies,DF,Tottenham,20,14,1346,15,0,1,1,0,0,0,1,0,0.2,0.2,0.6,0.8,28,51,55
Tom Davies,MF,Everton,25,17,1423,15.8,0,1,1,0,0,0,3,0,0.2,0.2,0.9,1.1,11,49,17
Keinan Davis,"FW,MF",Aston Villa,15,1,277,3.1,1,1,2,1,0,0,0,0,1.5,1.5,0.6,2.1,7,6,37
Leif Davis,DF,Leeds United,2,0,33,0.4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Craig Dawson,DF,West Ham,22,22,1925,21.4,3,0,3,3,0,0,5,1,1.9,1.9,0.1,1.9,2,39,1
Kevin De Bruyne,MF,Manchester City,25,23,1997,22.2,6,12,18,4,2,3,1,0,9.3,6.9,8,14.9,102,213,186
Liam Delap,FW,Manchester City,1,0,40,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Fabian Delph,"MF,DF",Everton,8,2,266,3,0,0,0,0,0,0,1,0,0,0,0.1,0.1,2,11,4
Leander Dendoncker,"MF,DF",Wolves,33,28,2503,27.8,1,0,1,1,0,0,4,0,3.1,3.1,0.7,3.9,15,88,31
Mbaye Diagne,FW,West Brom,16,14,1189,13.2,3,2,5,3,0,0,2,0,6.6,6.6,1,7.6,4,12,60
Amad Diallo,FW,Manchester Utd,3,2,166,1.8,0,1,1,0,0,0,0,0,0,0,0.5,0.5,9,9,7
Ibrahima Diallo,MF,Southampton,22,10,1020,11.3,0,0,0,0,0,0,3,0,0.5,0.5,0.6,1.1,11,46,13
Grady Diangana,"MF,FW",West Brom,20,15,1235,13.7,1,0,1,1,0,0,0,0,1.1,1.1,0.2,1.2,25,32,84
Rúben Dias,DF,Manchester City,32,32,2843,31.6,1,0,1,1,0,0,4,0,1.9,1.9,0.1,2,38,154,5
Eric Dier,DF,Tottenham,28,28,2520,28,0,0,0,0,0,0,3,0,1.2,1.2,0.3,1.4,21,65,6
Lucas Digne,"DF,MF",Everton,30,30,2681,29.8,0,7,7,0,0,0,2,1,0.5,0.5,5.2,5.7,59,98,197
Issa Diop,DF,West Ham,18,15,1381,15.3,2,0,2,2,0,0,3,0,0.5,0.5,0,0.5,4,30,1
Moussa Djenepo,MF,Southampton,27,15,1240,13.8,1,0,1,1,0,0,5,0,0.8,0.8,0.4,1.2,28,32,78
Matt Doherty,DF,Tottenham,17,13,1240,13.8,0,2,2,0,0,0,4,1,0.4,0.4,0.7,1.1,18,42,68
Gabriel Dos Santos,DF,Arsenal,23,22,1996,22.2,2,0,2,2,0,0,4,1,1.3,1.3,0.1,1.4,18,80,8
Abdoulaye Doucouré,MF,Everton,29,29,2443,27.1,2,3,5,2,0,0,6,0,2.3,2.3,2,4.3,34,104,70
Martin Dúbravka,GK,Newcastle Utd,13,13,1170,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul Dummett,DF,Newcastle Utd,15,14,1255,13.9,1,0,1,1,0,0,2,0,0.3,0.3,0.2,0.5,2,29,5
Lewis Dunk,DF,Brighton,33,33,2931,32.6,5,0,5,5,0,0,5,2,2.2,2.2,1.2,3.4,27,82,7
Jimmy Dunne,DF,Burnley,3,3,270,3,1,0,1,1,0,0,1,0,0.5,0.5,0.1,0.6,0,4,1
Ederson,GK,Manchester City,36,36,3240,36,0,1,1,0,0,0,3,0,0,0,0.3,0.3,0,1,0
Kyle Edwards,"MF,FW",West Brom,5,1,118,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,5,3,4
John Egan,DF,Sheffield Utd,31,30,2629,29.2,0,1,1,0,0,0,7,1,0.8,0.8,0.6,1.4,11,60,2
Anthony Elanga,FW,Manchester Utd,2,2,155,1.7,1,0,1,1,0,0,0,0,0.4,0.4,0,0.5,2,3,13
Ahmed Elmohamady,DF,Aston Villa,14,8,839,9.3,0,0,0,0,0,0,2,0,0.4,0.4,1,1.4,10,45,36
Mohamed Elneny,MF,Arsenal,23,17,1544,17.2,1,0,1,1,0,0,3,0,0.4,0.4,0.2,0.6,17,99,12
Jonny Evans,DF,Leicester City,28,28,2473,27.5,2,2,4,2,0,0,7,0,1.7,1.7,0.4,2.1,7,96,5
Eberechi Eze,MF,Crystal Palace,34,29,2559,28.4,4,6,10,4,0,0,3,0,2.2,2.2,3.9,6.1,79,127,126
Łukasz Fabiański,GK,West Ham,35,35,3150,35,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Fabinho,"DF,MF",Liverpool,30,28,2567,28.5,0,0,0,0,0,0,6,0,0.3,0.3,0.3,0.6,27,124,13
Bruno Fernandes,MF,Manchester Utd,37,35,3099,34.4,18,12,30,9,9,10,6,0,16.1,8.2,11.4,19.6,80,285,263
Federico Fernández,DF,Newcastle Utd,24,24,2079,23.1,0,0,0,0,0,0,4,0,0.3,0.3,0.6,0.8,1,32,7
Fernandinho,MF,Manchester City,21,12,1188,13.2,0,2,2,0,0,0,6,0,0.7,0.7,1.3,1.9,31,114,5
Sam Field,MF,West Brom,3,0,62,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Roberto Firmino,FW,Liverpool,36,33,2838,31.5,9,7,16,9,0,0,2,0,11.3,11.3,5.6,16.9,66,140,222
John Fleck,MF,Sheffield Utd,31,29,2575,28.6,0,2,2,0,0,0,4,0,0.6,0.6,2.9,3.5,54,151,62
Phil Foden,"FW,MF",Manchester City,28,17,1616,18,9,5,14,9,0,0,0,0,5,5,3.6,8.6,81,69,213
Wesley Fofana,DF,Leicester City,28,27,2262,25.1,0,0,0,0,0,0,7,0,1,1,0.3,1.3,37,93,8
Pablo Fornals,"FW,MF",West Ham,33,31,2572,28.6,5,4,9,5,0,0,3,0,6,6,2.3,8.4,59,134,142
Fraser Forster,GK,Southampton,8,8,720,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Timothy Fosu-Mensah,DF,Manchester Utd,1,1,80,0.9,0,0,0,0,0,0,1,0,0,0,0.3,0.3,2,5,13
Tyrese Francois,DF,Fulham,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2
Ryan Fraser,"FW,MF",Newcastle Utd,18,9,928,10.3,0,2,2,0,0,0,2,1,0.9,0.9,2,2.9,21,18,71
Fred,MF,Manchester Utd,30,27,2390,26.6,1,0,1,1,0,0,5,0,1.8,1.8,1.9,3.7,31,189,33
Ryan Fredericks,"DF,FW",West Ham,14,6,569,6.3,1,1,2,1,0,0,2,0,0.3,0.3,1.2,1.5,11,20,39
Christian Fuchs,DF,Leicester City,9,8,702,7.8,0,0,0,0,0,0,4,0,0.1,0.1,0,0.1,2,39,7
Darnell Furlong,DF,West Brom,35,32,2932,32.6,1,3,4,1,0,0,5,0,2,2,1.9,4,44,78,104
Conor Gallagher,MF,West Brom,30,28,2531,28.1,2,2,4,2,0,0,11,0,1.5,1.5,1.8,3.3,32,97,59
Eric García,DF,Manchester City,6,3,383,4.3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,8,22,0
Dwight Gayle,"FW,MF",Newcastle Utd,18,4,514,5.7,1,1,2,1,0,0,0,0,2.9,2.9,0.3,3.3,3,6,30
Jean-Philippe Gbamin,MF,Everton,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
David de Gea,GK,Manchester Utd,26,26,2295,25.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anwar El Ghazi,FW,Aston Villa,28,17,1613,17.9,10,0,10,6,4,4,2,0,8.4,5.3,1.8,7.1,50,47,163
Kieran Gibbs,DF,West Brom,10,9,809,9,0,0,0,0,0,0,1,1,0.1,0.1,0.4,0.4,11,19,17
Morgan Gibbs-White,"MF,FW",Wolves,11,4,414,4.6,1,0,1,1,0,0,1,0,0.8,0.8,0.4,1.2,15,28,27
Billy Gilmour,MF,Chelsea,5,3,261,2.9,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,3,18,1
