player,position,team,goals,shots,shots_on_target,goals/shots,goals/shots_on_target,average_shot_distance,shots_from_free_kicks,shots_from_penalties,non_penalty_expected_goals/shots,goals-expected_goals,non_penalty_goals-non_penalty_expected_goals
Thilo Kehrer,DF,West Ham,8,1,0,0,18.4,0,0,0.5,0.06,-0.5,-0.5
Naby Keïta,MF,Liverpool,10,0,0,,20.6,0,0,0.6,0.06,-0.6,-0.6
Caoimhín Kelleher,GK,Liverpool,0,0,,,,0,0,0,,0,0
Lloyd Kelly,DF,Bournemouth,3,0,0,,8.9,0,0,0.2,0.07,-0.2,-0.2
Max Kilman,DF,Wolves,14,0,0,,10.1,0,0,1.3,0.1,-1.3,-1.3
Jakub Kiwior,DF,Arsenal,1,1,1,1,10,0,0,0.1,0.09,0.9,0.9
Mateusz Klich,"MF,FW",Leeds United,4,1,0,0,21.7,0,0,0.2,0.04,-0.2,-0.2
Robin Koch,DF,Leeds United,17,4,0,0,11.1,0,0,1.5,0.09,-1.5,-1.5
Ibrahima Konaté,DF,Liverpool,11,3,0,0,9.7,0,0,1.2,0.11,-1.2,-1.2
Ezri Konsa,DF,Aston Villa,8,0,0,,8,0,0,1.1,0.13,-1.1,-1.1
Kalidou Koulibaly,DF,Chelsea,11,4,0.18,0.5,12,0,0,0.9,0.09,1.1,1.1
Cheikhou Kouyaté,MF,Nott'ham Forest,6,5,0.17,0.2,19.4,0,0,0.4,0.06,0.6,0.6
Mateo Kovačić,MF,Chelsea,23,1,0.04,1,22.1,0,0,1.8,0.08,-0.8,-0.8
Emil Krafth,DF,Newcastle Utd,0,0,,,,0,0,0,,0,0
Dejan Kulusevski,"MF,FW",Tottenham,43,10,0.05,0.2,17.6,0,0,2.6,0.06,-0.6,-0.6
Layvin Kurzawa,DF,Fulham,0,0,,,,0,0,0,,0,0
Adam Lallana,"MF,FW",Brighton,8,5,0.25,0.4,13.3,0,0,0.9,0.11,1.1,1.1
Tariq Lamptey,DF,Brighton,5,0,0,,20.1,0,0,0.2,0.04,-0.2,-0.2
Manuel Lanzini,"MF,FW",West Ham,3,1,0.33,1,23.1,0,0,0.5,0.18,0.5,0.5
Aymeric Laporte,DF,Manchester City,10,1,0,0,14.9,0,0,0.5,0.05,-0.5,-0.5
Juan Larios,DF,Southampton,0,0,,,,0,0,0,,0,0
Jamaal Lascelles,DF,Newcastle Utd,2,0,0,,9.7,0,0,0.1,0.05,-0.1,-0.1
Roméo Lavia,MF,Southampton,12,3,0.08,0.33,27,0,0,0.4,0.03,0.6,0.6
Dexter Lembikisa,DF,Wolves,0,0,,,,0,0,0,,0,0
Mario Lemina,MF,Wolves,9,2,0,0,27.4,0,0,0.3,0.03,-0.3,-0.3
Clément Lenglet,DF,Tottenham,13,2,0,0,15.5,0,0,1,0.07,-1,-1
Bernd Leno,GK,Fulham,0,0,,,,0,0,0,,0,0
Jefferson Lerma,MF,Bournemouth,35,10,0.14,0.5,17.6,0,0,2.6,0.07,2.4,2.4
Jamal Lewis,"DF,FW",Newcastle Utd,0,0,,,,0,0,0,,0,0
Rico Lewis,"DF,MF",Manchester City,5,2,0,0,21.1,0,0,0.2,0.04,-0.2,-0.2
Keane Lewis-Potter,"FW,MF",Brentford,7,2,0,0,14.1,0,0,0.5,0.07,-0.5,-0.5
Victor Lindelöf,DF,Manchester Utd,3,0,0,,7.9,0,0,0.3,0.09,-0.3,-0.3
Jesse Lingard,"FW,MF",Nott'ham Forest,10,2,0,0,19.3,0,0,1,0.1,-1,-1
Valentino Livramento,"DF,FW",Southampton,0,0,,,,0,0,0,,0,0
Diego Llorente,DF,Leeds United,6,0,0,,12.5,0,0,0.7,0.12,-0.7,-0.7
Hugo Lloris,GK,Tottenham,0,0,,,,0,0,0,,0,0
Renan Lodi,DF,Nott'ham Forest,15,0,0,,19.9,2,0,1,0.06,-1,-1
Ruben Loftus-Cheek,"MF,DF",Chelsea,9,2,0,0,18.6,0,0,0.8,0.09,-0.8,-0.8
Sean Longstaff,MF,Newcastle Utd,33,7,0.03,0.14,16,0,0,3.6,0.11,-2.6,-2.6
Jamal Lowe,"MF,FW",Bournemouth,0,0,,,,0,0,0,,0,0
Douglas Luiz,MF,Aston Villa,34,12,0.18,0.5,25,7,0,2.8,0.08,3.2,3.2
Saša Lukić,MF,Fulham,5,1,0,0,27.1,0,0,0.1,0.02,-0.1,-0.1
Lyanco,DF,Southampton,12,4,0.08,0.25,19.1,0,0,0.6,0.05,0.4,0.4
Alexis Mac Allister,MF,Brighton,80,28,0.05,0.14,22.5,8,6,7.3,0.09,-2.1,-3.3
James Maddison,"MF,FW",Leicester City,83,27,0.11,0.33,21.1,13,1,6.6,0.08,1.3,2.4
Noni Madueke,FW,Chelsea,12,6,0.08,0.17,15.6,0,0,0.9,0.08,0.1,0.1
Harry Maguire,DF,Manchester Utd,3,0,0,,9,0,0,0.3,0.12,-0.3,-0.3
Riyad Mahrez,"FW,MF",Manchester City,42,12,0.1,0.33,17.2,7,1,4.8,0.11,-0.6,-0.8
Kobbie Mainoo,MF,Manchester Utd,0,0,,,,0,0,0,,0,0
Ainsley Maitland-Niles,"DF,MF",Southampton,1,1,0,0,31.4,0,0,0,0.02,0,0
Tyrell Malacia,DF,Manchester Utd,5,2,0,0,22.1,0,0,0.2,0.05,-0.2,-0.2
Orel Mangala,MF,Nott'ham Forest,9,3,0.11,0.33,20.7,0,0,0.6,0.06,0.4,0.4
Javier Manquillo,DF,Newcastle Utd,0,0,,,,0,0,0,,0,0
Sekou Mara,"FW,MF",Southampton,17,4,0.06,0.25,16.2,0,0,1,0.06,0,0
Solly March,"FW,DF",Brighton,74,31,0.09,0.23,16.2,1,0,8.1,0.11,-1.1,-1.1
Emiliano Marcondes,MF,Bournemouth,0,0,,,,0,0,0,,0,0
Marquinhos,MF,Arsenal,0,0,,,,0,0,0,,0,0
Anthony Martial,FW,Manchester Utd,26,12,0.19,0.42,13.2,0,1,5.5,0.21,-0.2,-0.5
Gabriel Martinelli,FW,Arsenal,79,30,0.19,0.5,15.4,2,0,9.3,0.12,5.7,5.7
Emiliano Martínez,GK,Aston Villa,0,0,,,,0,0,0,,0,0
Lisandro Martínez,DF,Manchester Utd,10,1,0.1,1,14.8,0,0,0.5,0.05,0.5,0.5
Pape Matar Sarr,"MF,FW",Tottenham,2,0,0,,27.3,0,0,0.1,0.03,-0.1,-0.1
Jean-Philippe Mateta,FW,Crystal Palace,27,7,0.07,0.29,12.2,0,0,3.4,0.13,-1.4,-1.4
Joël Matip,DF,Liverpool,5,3,0.2,0.33,8.3,0,0,0.7,0.17,0.3,0.3
Neal Maupay,FW,Everton,32,13,0.03,0.08,14.3,0,0,4.8,0.15,-3.8,-3.8
Kevin Mbabu,"DF,FW",Fulham,0,0,,,,0,0,0,,0,0
Bryan Mbeumo,FW,Brentford,70,32,0.11,0.25,16.3,1,1,9,0.13,-0.8,-1
James McArthur,MF,Crystal Palace,0,0,,,,0,0,0,,0,0
Alex McCarthy,GK,Southampton,0,0,,,,0,0,0,,0,0
John McGinn,"MF,FW",Aston Villa,42,11,0.02,0.09,23.6,0,0,2.4,0.06,-1.4,-1.4
Scott McKenna,DF,Nott'ham Forest,2,0,0,,8.2,0,0,0.1,0.04,-0.1,-0.1
Weston McKennie,MF,Leeds United,13,2,0,0,15.9,0,0,0.8,0.06,-0.8,-0.8
Dwight McNeil,"FW,MF",Everton,46,15,0.15,0.47,20.5,1,0,3.5,0.08,3.5,3.5
Scott McTominay,MF,Manchester Utd,13,6,0.08,0.17,14.9,0,0,1.9,0.15,-0.9,-0.9
Ben Mee,DF,Brentford,28,7,0.11,0.43,10.3,0,0,3.2,0.12,-0.2,-0.2
Édouard Mendy,GK,Chelsea,0,0,,,,0,0,0,,0,0
Nampalys Mendy,MF,Leicester City,2,1,0.5,1,21.1,0,0,0.1,0.07,0.9,0.9
Chris Mepham,DF,Bournemouth,8,4,0,0,9.8,0,0,0.7,0.09,-0.7,-0.7
Illan Meslier,GK,Leeds United,1,1,0,0,9,0,0,0.1,0.12,-0.1,-0.1
Alex Mighten,FW,Nott'ham Forest,0,0,,,,0,0,0,,0,0
Lewis Miley,MF,Newcastle Utd,1,0,0,,20.1,0,0,0.1,0.07,-0.1,-0.1
Luka Milivojević,MF,Crystal Palace,7,0,0,,25.1,1,0,0.3,0.05,-0.3,-0.3
James Milner,"MF,DF",Liverpool,7,1,0,0,17.9,0,0,0.4,0.06,-0.4,-0.4
Yerry Mina,DF,Everton,8,4,0.25,0.5,8.4,0,0,1.5,0.18,0.5,0.5
Tyrone Mings,DF,Aston Villa,7,2,0.14,0.5,12.1,0,0,1.2,0.17,-0.2,-0.2
Tyrick Mitchell,DF,Crystal Palace,6,1,0,0,11.6,0,0,0.6,0.1,-0.6,-0.6
Kaoru Mitoma,"FW,MF",Brighton,52,21,0.13,0.33,13.2,0,0,8.1,0.16,-1.1,-1.1
Aleksandar Mitrović,FW,Fulham,85,27,0.12,0.37,15.1,0,4,8.6,0.1,-0.9,1.4
Kieffer Moore,FW,Bournemouth,23,8,0.17,0.5,11.2,0,0,4.4,0.19,-0.4,-0.4
Andrew Moran,FW,Brighton,0,0,,,,0,0,0,,0,0
Álex Moreno,DF,Aston Villa,13,3,0,0,18.4,0,0,0.6,0.05,-0.6,-0.6
Mason Mount,"MF,FW",Chelsea,33,9,0.09,0.33,19.7,2,0,2,0.06,1,1
Lucas Moura,"MF,DF",Tottenham,4,1,0.25,1,10.9,0,0,0.5,0.14,0.5,0.5
João Moutinho,MF,Wolves,16,3,0,0,18.4,3,0,1.3,0.08,-1.3,-1.3
Divin Mubama,FW,West Ham,0,0,,,,0,0,0,,0,0
Mykhailo Mudryk,"FW,MF",Chelsea,14,5,0,0,18.4,0,0,1.9,0.13,-1.9,-1.9
Jacob Murphy,FW,Newcastle Utd,29,10,0.14,0.4,18.6,0,0,3.3,0.11,0.7,0.7
Enock Mwepu,"FW,MF",Brighton,2,1,0,0,16.7,0,0,0.2,0.11,-0.2,-0.2
Vitaliy Mykolenko,DF,Everton,10,3,0,0,20.3,0,0,0.5,0.05,-0.5,-0.5
Keylor Navas,GK,Nott'ham Forest,0,0,,,,0,0,0,,0,0
Wilfred Ndidi,MF,Leicester City,7,2,0,0,25.1,0,0,0.2,0.03,-0.2,-0.2
Reiss Nelson,FW,Arsenal,12,7,0.25,0.43,16.4,1,0,1.1,0.09,1.9,1.9
Neto,GK,Bournemouth,0,0,,,,0,0,0,,0,0
Pedro Neto,"FW,MF",Wolves,17,3,0,0,20.7,1,0,1.1,0.06,-1.1,-1.1
Rúben Neves,MF,Wolves,63,13,0.05,0.23,26.7,11,3,2.8,0.04,0.8,0.2
Moussa Niakhate,DF,Nott'ham Forest,6,3,0,0,12.4,0,0,0.6,0.1,-0.6,-0.6
Rasmus Nissen,DF,Leeds United,13,5,0.23,0.6,15.2,0,0,0.8,0.06,2.2,2.2
Eddie Nketiah,FW,Arsenal,41,14,0.1,0.29,11.3,0,0,8.2,0.2,-4.2,-4.2
Matheus Nunes,MF,Wolves,28,9,0.04,0.11,17.6,1,0,2.4,0.09,-1.4,-1.4
Darwin Núñez,FW,Liverpool,84,35,0.11,0.26,15.1,0,0,12.1,0.14,-3.1,-3.1
Ethan Nwaneri,FW,Arsenal,0,0,,,,0,0,0,,0,0
Christian Nørgaard,MF,Brentford,19,8,0.05,0.13,11.4,0,0,1.6,0.08,-0.6,-0.6
Lewis O'Brien,MF,Nott'ham Forest,7,2,0.14,0.5,23.8,0,0,0.3,0.05,0.7,0.7
Odeluga Offiah,DF,Brighton,0,0,,,,0,0,0,,0,0
Angelo Ogbonna,DF,West Ham,3,0,0,,12.6,0,0,0.3,0.09,-0.3,-0.3
Michael Olise,"FW,MF",Crystal Palace,51,14,0.04,0.14,21.1,7,0,2.9,0.06,-0.9,-0.9
Robin Olsen,GK,Aston Villa,0,0,,,,0,0,0,,0,0
Amadou Onana,MF,Everton,34,6,0.03,0.17,16.8,0,0,3,0.09,-2,-2
Josh Onomah,MF,Fulham,0,0,,,,0,0,0,,0,0
Paul Onuachu,FW,Southampton,11,5,0,0,14.2,0,0,1.3,0.12,-1.3,-1.3
Frank Onyeka,MF,Brentford,9,4,0,0,17.4,0,0,1,0.11,-1,-1
Mislav Oršić,MF,Southampton,0,0,,,,0,0,0,,0,0
Stefan Ortega,GK,Manchester City,0,0,,,,0,0,0,,0,0
Dango Ouattara,"MF,FW",Bournemouth,26,5,0.04,0.2,14.3,0,0,3.6,0.14,-2.6,-2.6
Alex Oxlade-Chamberlain,"FW,MF",Liverpool,7,3,0.14,0.33,16.3,0,0,1.3,0.19,-0.3,-0.3
David Ozoh,FW,Crystal Palace,0,0,,,,0,0,0,,0,0
João Palhinha,MF,Fulham,39,9,0.08,0.33,17.2,0,0,2.9,0.07,0.1,0.1
Cole Palmer,"MF,FW",Manchester City,11,3,0,0,13.7,0,0,1.2,0.14,-1.2,-1.2
Emerson Palmieri,DF,West Ham,11,5,0.09,0.2,14.5,0,0,0.8,0.07,0.2,0.2
Lucas Paquetá,MF,West Ham,52,14,0.06,0.21,19.2,1,1,3.6,0.07,-0.4,-0.6
Thomas Partey,MF,Arsenal,28,4,0.11,0.75,20.4,0,0,2.2,0.08,0.8,0.8
Nathan Patterson,"DF,MF",Everton,8,1,0,0,18.2,0,0,0.5,0.06,-0.5,-0.5
Ben Pearson,MF,Bournemouth,2,1,0,0,25.2,0,0,0,0.02,0,0
Facundo Pellistri,"FW,MF",Manchester Utd,0,0,,,,0,0,0,,0,0
Andreas Pereira,MF,Fulham,61,22,0.05,0.14,21.3,12,1,6.5,0.11,-3.3,-3.5
Ricardo Pereira,"DF,MF",Leicester City,2,1,0.5,1,17.8,0,0,0.1,0.06,0.9,0.9
Ayoze Pérez,"MF,FW",Leicester City,8,2,0,0,15.9,0,0,1.1,0.14,-1.1,-1.1
Ivan Perišić,"DF,MF",Tottenham,29,8,0.03,0.13,15.3,2,0,2.6,0.09,-1.6,-1.6
Romain Perraud,DF,Southampton,30,6,0.07,0.33,22.3,0,0,1.3,0.04,0.7,0.7
Máximo Perrone,MF,Manchester City,0,0,,,,0,0,0,,0,0
Cameron Peupion,MF,Brighton,1,0,0,,8,0,0,0.1,0.06,-0.1,-0.1
Kalvin Phillips,MF,Manchester City,6,0,0,,22.9,0,0,0.3,0.05,-0.3,-0.3
Nathaniel Phillips,DF,Liverpool,1,0,0,,10.8,0,0,0,0.04,0,0
Jordan Pickford,GK,Everton,0,0,,,,0,0,0,,0,0
Ethan Pinnock,DF,Brentford,15,8,0.2,0.38,10,0,0,3,0.21,0,0
Daniel Podence,"FW,MF",Wolves,43,17,0.14,0.35,16.5,0,0,3.9,0.09,2.1,2.1
Nick Pope,GK,Newcastle Utd,0,0,,,,0,0,0,,0,0
Pedro Porro,"DF,MF",Tottenham,26,7,0.12,0.43,20.4,1,0,1.8,0.07,1.2,1.2
Dennis Praet,"MF,FW",Leicester City,5,2,0.2,0.5,13.6,0,0,1,0.2,0,0
Isaac Price,MF,Everton,0,0,,,,0,0,0,,0,0
Christian Pulisic,"FW,DF",Chelsea,19,6,0.05,0.17,16.8,0,0,1.7,0.09,-0.7,-0.7
Aaron Ramsdale,GK,Arsenal,0,0,,,,0,0,0,,0,0
Jacob Ramsey,"MF,FW",Aston Villa,33,13,0.18,0.46,15.9,0,0,5,0.15,1,1
Marcus Rashford,FW,Manchester Utd,108,49,0.16,0.35,16.4,7,0,15.4,0.15,1.6,1.6
David Raya,GK,Brentford,1,0,0,,9.1,0,0,0.1,0.11,-0.1,-0.1
Tim Ream,DF,Fulham,3,2,0.33,0.5,9.8,0,0,0.3,0.09,0.7,0.7
Nathan Redmond,DF,Southampton,0,0,,,,0,0,0,,0,0
Harrison Reed,MF,Fulham,20,7,0.15,0.43,20.1,0,0,1.9,0.09,1.1,1.1
Bobby Reid,"FW,DF",Fulham,31,10,0.13,0.4,13.7,0,0,3.9,0.13,0.1,0.1
Declan Rice,MF,West Ham,35,8,0.11,0.5,23.6,1,0,1.6,0.05,1.6,2.4
Chris Richards,DF,Crystal Palace,4,0,0,,9.1,0,0,0.7,0.18,-0.7,-0.7
Richarlison,"MF,FW",Tottenham,27,14,0.04,0.07,12.6,0,0,3.3,0.12,-2.3,-2.3
Jaïro Riedewald,"DF,MF",Crystal Palace,1,0,0,,14.7,0,0,0.1,0.07,-0.1,-0.1
Matt Ritchie,"FW,MF",Newcastle Utd,0,0,,,,0,0,0,,0,0
Andrew Robertson,DF,Liverpool,13,2,0,0,14.5,0,0,1.3,0.11,-1.3,-1.3
Antonee Robinson,DF,Fulham,3,0,0,,25.7,0,0,0.1,0.03,-0.1,-0.1
Joel Robles,GK,Leeds United,0,0,,,,0,0,0,,0,0
Marc Roca,MF,Leeds United,35,13,0.03,0.08,22.3,4,0,2.1,0.06,-1.1,-1.1
Marek Rodák,GK,Fulham,0,0,,,,0,0,0,,0,0
Rodri,MF,Manchester City,50,14,0.04,0.14,17.1,0,0,4.6,0.09,-2.6,-2.6
Rodrigo,"FW,MF",Leeds United,66,25,0.18,0.48,15.8,2,1,7.3,0.11,4.9,4.7
Mads Roerslev,DF,Brentford,3,0,0,,14.8,0,0,0.3,0.11,-0.3,-0.3
Cristian Romero,DF,Tottenham,11,2,0,0,12.3,0,0,1.5,0.13,-1.5,-1.5
Oriol Romeu,MF,Southampton,0,0,,,,0,0,0,,0,0
Cristiano Ronaldo,FW,Manchester Utd,25,6,0.04,0.17,17.7,1,0,1.9,0.08,-0.9,-0.9
Connor Ronan,MF,Wolves,0,0,,,,0,0,0,,0,0
Salomón Rondón,FW,Everton,4,1,0,0,19.3,0,0,0.8,0.2,-0.8,-0.8
Joe Rothwell,MF,Bournemouth,3,2,0,0,24.1,1,0,0.2,0.05,-0.2,-0.2
Georginio Rutter,"FW,MF",Leeds United,4,0,0,,14,0,0,0.4,0.1,-0.4,-0.4
José Sá,GK,Wolves,0,0,,,,0,0,0,,0,0
Marcel Sabitzer,MF,Manchester Utd,11,3,0,0,18.2,1,0,0.7,0.07,-0.7,-0.7
Allan Saint-Maximin,FW,Newcastle Utd,28,11,0.04,0.09,17.6,0,0,1.6,0.06,-0.6,-0.6
Bukayo Saka,FW,Arsenal,86,29,0.14,0.41,16.3,1,2,9.1,0.11,2.8,2.9
Mohamed Salah,FW,Liverpool,121,45,0.14,0.38,15.1,2,2,18.5,0.15,-2.7,-1.5
William Saliba,DF,Arsenal,6,3,0.33,0.67,13.8,0,0,0.9,0.15,1.1,1.1
Mohammed Salisu,DF,Southampton,19,4,0,0,12.2,0,0,1.5,0.08,-1.5,-1.5
Albert Sambi Lokonga,MF,Arsenal,0,0,,,,0,0,0,,0,0
Albert Sambi Lokonga,MF,Crystal Palace,2,1,0,0,17.9,0,0,0.2,0.08,-0.2,-0.2
Davinson Sánchez,DF,Tottenham,6,2,0,0,12.2,0,0,0.6,0.11,-0.6,-0.6
Robert Sánchez,GK,Brighton,0,0,,,,0,0,0,,0,0
Jadon Sancho,"FW,MF",Manchester Utd,21,9,0.29,0.67,14.1,0,0,4.2,0.2,1.8,1.8
Morgan Sanson,MF,Aston Villa,0,0,,,,0,0,0,,0,0
Pablo Sarabia,"FW,MF",Wolves,20,5,0.05,0.2,14.8,1,0,3.1,0.15,-2.1,-2.1
Jeremy Sarmiento,MF,Brighton,5,2,0,0,20.5,0,0,0.3,0.07,-0.3,-0.3
Gianluca Scamacca,FW,West Ham,30,10,0.1,0.3,18.7,1,0,2.5,0.08,0.5,0.5
Gustavo Scarpa,"MF,FW",Nott'ham Forest,7,1,0,0,26.9,0,0,0.3,0.04,-0.3,-0.3
Kevin Schade,FW,Brentford,12,4,0,0,11.9,0,0,2.1,0.18,-2.1,-2.1
Fabian Schär,DF,Newcastle Utd,56,14,0.02,0.07,14.4,3,0,4.9,0.09,-3.9,-3.9
Jeffrey Schlupp,"MF,FW",Crystal Palace,28,9,0.11,0.33,17.5,0,0,3.2,0.12,-0.2,-0.2
Nélson Semedo,DF,Wolves,9,0,0,,20.5,0,0,0.4,0.05,-0.4,-0.4
Antoine Semenyo,"FW,MF",Bournemouth,3,1,0.33,1,17.2,0,0,0.3,0.09,0.7,0.7
Marcos Senesi,DF,Bournemouth,8,2,0.25,1,9.1,0,0,1.6,0.2,0.4,0.4
Ryan Sessegnon,DF,Tottenham,18,6,0.11,0.33,14.6,0,0,1.6,0.09,0.4,0.4
Luke Shaw,DF,Manchester Utd,14,4,0.07,0.25,18.7,1,0,1.1,0.08,-0.1,-0.1
Jonjo Shelvey,MF,Newcastle Utd,0,0,,,,0,0,0,,0,0
Jonjo Shelvey,MF,Nott'ham Forest,6,0,0,,24.4,0,0,0.2,0.03,-0.2,-0.2
Bernardo Silva,"MF,FW",Manchester City,25,9,0.16,0.44,18.1,0,0,2.2,0.09,1.8,1.8
Thiago Silva,DF,Chelsea,15,2,0,0,13,0,0,1.5,0.1,-1.5,-1.5
Ellis Simms,FW,Everton,8,1,0.13,1,16.1,0,0,0.9,0.11,0.1,0.1
Luis Sinisterra,FW,Leeds United,28,11,0.18,0.45,16.2,0,0,3.7,0.13,1.3,1.3
Oliver Skipp,MF,Tottenham,7,3,0.14,0.33,23.2,0,0,0.3,0.04,0.7,0.7
Adam Smith,DF,Bournemouth,5,1,0,0,16.2,0,0,0.5,0.1,-0.5,-0.5
Emile Smith Rowe,"MF,FW",Arsenal,4,1,0,0,15.8,0,0,0.3,0.07,-0.3,-0.3
Cédric Soares,DF,Arsenal,0,0,,,,0,0,0,,0,0
Cédric Soares,DF,Fulham,2,0,0,,25.4,0,0,0.1,0.03,-0.1,-0.1
Dominic Solanke,"FW,MF",Bournemouth,76,28,0.08,0.21,12.8,0,0,9.1,0.12,-3.1,-3.1
Manor Solomon,FW,Fulham,11,7,0.36,0.57,19.9,0,0,1.2,0.11,2.8,2.8
Tomáš Souček,MF,West Ham,34,13,0.06,0.15,10.8,0,0,4,0.12,-2,-2
Boubakary Soumaré,MF,Leicester City,1,0,0,,28,0,0,0,0.03,0,0
Harry Souttar,DF,Leicester City,8,1,0,0,9.6,0,0,1.4,0.18,-1.4,-1.4
Çağlar Söyüncü,DF,Leicester City,5,2,0.2,0.5,9.5,0,0,0.4,0.08,0.6,0.6
Djed Spence,"FW,DF",Tottenham,1,0,0,,8.9,0,0,0.1,0.06,-0.1,-0.1
Jack Stacey,DF,Bournemouth,1,0,0,,16,0,0,0.1,0.09,-0.1,-0.1
Junior Stanislas,MF,Bournemouth,1,0,0,,24.5,0,0,0,0.04,0,0
Jay Stansfield,FW,Fulham,2,0,0,,13.9,0,0,0.3,0.13,-0.3,-0.3
Jason Steele,GK,Brighton,0,0,,,,0,0,0,,0,0
Jack Stephens,DF,Southampton,0,0,,,,0,0,0,,0,0
Jack Stephens,DF,Bournemouth,2,1,0,0,5.2,0,0,0.4,0.2,-0.4,-0.4
Raheem Sterling,"FW,MF",Chelsea,42,16,0.14,0.38,13.6,0,0,6.2,0.15,-0.2,-0.2
John Stones,"DF,MF",Manchester City,11,3,0.18,0.67,13.4,0,0,1,0.1,1,1
Pascal Struijk,DF,Leeds United,16,7,0.13,0.29,13.4,0,0,1.4,0.09,0.6,0.6
Kamaldeen Sulemana,"FW,MF",Southampton,24,7,0.08,0.29,18.8,0,0,1.7,0.07,0.3,0.3
Crysencio Summerville,FW,Leeds United,29,9,0.14,0.44,15.3,0,0,2.9,0.1,1.1,1.1
Sam Surridge,FW,Nott'ham Forest,9,2,0.11,0.5,11.6,0,0,1.8,0.2,-0.8,-0.8
Japhet Tanganga,DF,Tottenham,0,0,,,,0,0,0,,0,0
Matt Targett,DF,Newcastle Utd,1,0,0,,25.8,0,0,0,0.01,0,0
James Tarkowski,DF,Everton,32,9,0.03,0.11,9,0,0,3.1,0.1,-2.1,-2.1
Marcus Tavernier,"MF,FW",Bournemouth,37,14,0.14,0.36,17.3,2,0,3.1,0.09,1.9,1.9
Tetê,FW,Leicester City,15,1,0.07,1,19.8,0,0,1.8,0.12,-0.8,-0.8
Kenny Tete,DF,Fulham,13,5,0.08,0.2,18.9,0,0,0.7,0.05,0.3,0.3
Luke Thomas,DF,Leicester City,3,0,0,,16.6,0,0,0.1,0.03,-0.1,-0.1
Youri Tielemans,MF,Leicester City,29,8,0.07,0.25,27.7,1,1,0.9,0.03,0.5,1.1
Kieran Tierney,DF,Arsenal,7,2,0,0,23.1,0,0,0.3,0.05,-0.3,-0.3
Harry Toffolo,DF,Nott'ham Forest,6,2,0,0,17.6,0,0,0.3,0.05,-0.3,-0.3
Takehiro Tomiyasu,DF,Arsenal,3,0,0,,12.1,0,0,0.2,0.07,-0.2,-0.2
James Tomkins,DF,Crystal Palace,3,2,0.33,0.5,12.7,0,0,1,0.34,0,0
Ivan Toney,FW,Brentford,87,33,0.16,0.42,16.5,9,6,13.2,0.15,1.3,0.8
Adama Traoré,"FW,MF",Wolves,19,7,0.11,0.29,15,0,0,1.4,0.07,0.6,0.6
Bertrand Traoré,"FW,MF",Aston Villa,9,3,0.22,0.67,16.4,0,0,0.7,0.08,1.3,1.3
Boubacar Traoré,MF,Wolves,3,0,0,,29.3,0,0,0.1,0.02,-0.1,-0.1
Mark Travers,GK,Bournemouth,0,0,,,,0,0,0,,0,0
Kieran Trippier,DF,Newcastle Utd,14,4,0.07,0.25,27.1,12,0,0.9,0.06,0.1,0.1
Leandro Trossard,FW,Arsenal,17,5,0.06,0.2,17.5,0,0,1.8,0.11,-0.8,-0.8
Leandro Trossard,"FW,MF",Brighton,38,17,0.18,0.41,15,0,0,4.4,0.12,2.6,2.6
Kostas Tsimikas,DF,Liverpool,7,2,0,0,15.5,0,0,0.6,0.09,-0.6,-0.6
Deniz Undav,"FW,MF",Brighton,27,12,0.19,0.42,13.8,0,0,4.5,0.18,0.5,0.5
Yan Valery,DF,Southampton,0,0,,,,0,0,0,,0,0
Virgil van Dijk,DF,Liverpool,30,9,0.1,0.33,12.8,0,0,2.6,0.09,0.4,0.4
Raphaël Varane,DF,Manchester Utd,8,4,0,0,11.6,0,0,0.7,0.09,-0.7,-0.7
Jamie Vardy,FW,Leicester City,27,13,0.11,0.23,12.3,0,0,5.9,0.22,-3.7,-2.9
Joël Veltman,DF,Brighton,15,5,0.07,0.2,16.3,0,0,1.8,0.12,-0.8,-0.8
Fabio Vieira,"MF,FW",Arsenal,15,2,0.07,0.5,20.1,0,0,0.8,0.06,0.2,0.2
Matías Viña,DF,Bournemouth,9,6,0.22,0.33,18.6,0,0,0.9,0.1,1.1,1.1
Rúben Vinagre,"DF,MF",Everton,0,0,,,,0,0,0,,0,0
Carlos Vinícius,FW,Fulham,21,12,0.24,0.42,11.9,0,0,3.3,0.16,1.7,1.7
Theo Walcott,"FW,MF",Southampton,20,7,0.1,0.29,16.9,0,0,2.2,0.11,-0.2,-0.2
Kyle Walker,DF,Manchester City,5,1,0,0,24.8,0,0,0.4,0.08,-0.4,-0.4
Kyle Walker-Peters,DF,Southampton,13,5,0.08,0.2,18.1,0,0,1,0.08,0,0
Aaron Wan-Bissaka,DF,Manchester Utd,10,2,0,0,14.7,0,0,1.2,0.12,-1.2,-1.2
Danny Ward,GK,Leicester City,0,0,,,,0,0,0,,0,0
Joel Ward,DF,Crystal Palace,8,2,0.13,0.5,16.5,0,0,1.1,0.19,-0.1,-0.1
James Ward-Prowse,MF,Southampton,40,16,0.18,0.44,27.1,17,2,2.5,0.06,3.3,4.5
Ollie Watkins,FW,Aston Villa,84,45,0.17,0.31,12.6,0,1,14.9,0.18,-1.5,-0.9
Adam Webster,DF,Brighton,18,2,0,0,11.2,0,0,1.8,0.1,-1.8,-1.8
Wout Weghorst,"FW,MF",Manchester Utd,14,5,0,0,12.5,0,0,2,0.14,-2,-2
