rank,player,nation,position,team,age,born,matches_played,starts,minutes_played,ninetys,goals_against,goals_against_per_90,shots_on_target_against,saves,save_percentage,wins,draws,losses,clean_sheets,clean_sheet_percentage,penalties_faced,penalties_allowed,penalties_saved,penalties_missed,penalty_save_percentage
14,Wayne Hennessey,wls WAL,GK,Nott'ham Forest,35,1987,4,3,271,3,5,1.66,14,9,64.3,0,2,1,1,33.3,0,0,0,0,
15,Daniel Iversen,dk DEN,GK,Leicester City,25,1997,12,12,1080,12,22,1.83,59,38,66.1,2,4,6,1,8.3,2,2,0,0,0
16,Sam Johnstone,eng ENG,GK,Crystal Palace,29,1993,9,9,810,9,10,1.11,34,25,76.5,4,3,2,3,33.3,2,2,0,0,0
17,Caoimhín Kelleher,ie IRL,GK,Liverpool,23,1998,1,1,90,1,4,4,10,6,60,0,1,0,0,0,0,0,0,0,
18,Bernd Leno,de GER,GK,Fulham,30,1992,36,36,3240,36,51,1.42,192,142,77.1,15,5,16,8,22.2,8,7,1,0,12.5
19,Hugo Lloris,fr FRA,GK,Tottenham,35,1986,25,25,2205,24.5,39,1.59,117,79,67.5,13,3,9,7,28,1,1,0,0,0
20,Emiliano Martínez,ar ARG,GK,Aston Villa,29,1992,36,36,3139,34.9,38,1.09,132,97,74.2,17,7,12,11,30.6,5,4,1,0,20
21,Alex McCarthy,eng ENG,GK,Southampton,32,1989,6,6,540,6,17,2.83,30,14,46.7,0,1,5,0,0,1,1,0,0,0
22,Edouard Mendy,sn SEN,GK,Chelsea,30,1992,10,9,855,9.5,14,1.47,39,25,64.1,3,2,4,1,11.1,0,0,0,0,
23,Illan Meslier,fr FRA,GK,Leeds United,22,2000,34,34,3060,34,67,1.97,158,92,59.5,7,9,18,5,14.7,3,3,0,0,0
24,Keylor Navas,cr CRC,GK,Nott'ham Forest,35,1986,17,17,1529,17,32,1.88,83,51,66.3,4,4,9,1,5.9,4,4,0,0,0
25,Neto,br BRA,GK,Bournemouth,33,1989,27,27,2385,26.5,39,1.47,138,100,74.6,9,6,12,6,22.2,5,4,0,1,0
26,Robin Olsen,se SWE,GK,Aston Villa,32,1990,4,2,281,3.1,8,2.56,19,11,63.2,1,0,1,1,50,1,1,0,0,0
27,Stefan Ortega,de GER,GK,Manchester City,29,1992,3,3,270,3,1,0.33,15,14,93.3,2,1,0,2,66.7,0,0,0,0,
28,Jordan Pickford,eng ENG,GK,Everton,28,1994,37,37,3330,37,57,1.54,181,123,71.3,7,12,18,8,21.6,6,5,1,0,16.7
29,Nick Pope,eng ENG,GK,Newcastle Utd,30,1992,37,37,3261,36.2,32,0.88,118,85,74.6,19,13,5,14,37.8,5,2,2,1,50
30,Aaron Ramsdale,eng ENG,GK,Arsenal,24,1998,38,38,3420,38,43,1.13,136,94,70.6,26,6,6,14,36.8,5,3,0,2,0
31,David Raya,es ESP,GK,Brentford,26,1995,38,38,3420,38,46,1.21,197,154,77.7,15,14,9,12,31.6,2,2,0,0,0
32,Joel Robles,es ESP,GK,Leeds United,32,1990,4,4,360,4,11,2.75,27,16,66.7,0,1,3,0,0,3,2,0,1,0
33,Marek Rodák,sk SVK,GK,Fulham,25,1996,2,2,180,2,2,1,4,2,50,0,2,0,1,50,0,0,0,0,
34,José Sá,pt POR,GK,Wolves,29,1993,36,36,3240,36,55,1.53,161,105,67.1,11,7,18,11,30.6,4,2,2,0,50
35,Robert Sánchez,es ESP,GK,Brighton,24,1997,23,23,2070,23,30,1.3,74,46,66.2,11,5,7,6,26.1,6,5,1,0,16.7
36,Jason Steele,eng ENG,GK,Brighton,31,1990,15,15,1350,15,23,1.53,57,36,61.4,7,3,5,6,40,2,1,1,0,50
37,Mark Travers,ie IRL,GK,Bournemouth,23,1999,12,11,1035,11.5,32,2.78,66,36,54.5,2,0,9,2,18.2,2,2,0,0,0
38,Danny Ward,wls WAL,GK,Leicester City,29,1993,26,26,2340,26,46,1.77,119,75,63,7,3,16,6,23.1,3,2,1,0,33.3
39,Joseph Whitworth,eng ENG,GK,Crystal Palace,18,2004,2,2,180,2,5,2.5,10,5,50,0,0,2,0,0,0,0,0,0,
