player,position,team,matches_played,starts,minutes_played,90s,goals,assists,goals+assists,non_penalty_goals,penalties_scored,penalties_attempted,yellow_cards,red_cards,expected_goals,non_penalty_expected_goals,expected_assisted_goals,non_penalty_expected_goals+expected_assisted_goals,progressive_carries,progressive_passes,progressive_passes_received
Harvey Barnes,"FW,MF",Leicester City,34,32,2711,30.1,13,1,14,13,0,0,3,0,8.9,8.9,3.1,12,100,79,257
Gavin Bazunu,GK,Southampton,32,32,2880,32,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,1,0
Mads Bech Sørensen,"DF,MF",Brentford,4,0,21,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Jan Bednarek,DF,Southampton,20,20,1672,18.6,0,0,0,0,0,0,5,0,0.4,0.4,0.1,0.5,8,45,2
Jan Bednarek,DF,Aston Villa,3,1,100,1.1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0
Donny van de Beek,MF,Manchester Utd,7,2,167,1.9,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,2,6,20
Asmir Begović,GK,Everton,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armel Bella Kotchap,DF,Southampton,24,24,1879,20.9,0,2,2,0,0,0,4,0,1,1,1,2.1,9,39,2
Saïd Benrahma,"FW,MF",West Ham,35,22,2069,23,6,3,9,2,4,4,0,0,7,3.9,4.5,8.4,109,82,237
Rodrigo Bentancur,MF,Tottenham,18,17,1500,16.7,5,2,7,5,0,0,8,0,2.2,2.2,0.8,3.1,26,76,19
Daniel Bentley,GK,Wolves,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victor Bernth Kristiansen,DF,Leicester City,12,11,892,9.9,0,1,1,0,0,0,2,0,0.1,0.1,0.8,0.9,17,31,24
Owen Bevan,DF,Bournemouth,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Giulian Biancone,DF,Nott'ham Forest,2,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
Philip Billing,"MF,FW",Bournemouth,36,34,2764,30.7,7,1,8,7,0,0,5,0,4.9,4.9,3.2,8.1,37,80,101
Yves Bissouma,MF,Tottenham,23,10,1010,11.2,0,0,0,0,0,0,6,0,0.2,0.2,0.5,0.7,14,62,10
Willy Boly,DF,Nott'ham Forest,11,9,685,7.6,0,1,1,0,0,0,2,0,0,0,0.2,0.2,1,12,0
Sven Botman,DF,Newcastle Utd,36,35,3127,34.7,0,0,0,0,0,0,2,0,2.5,2.5,1,3.5,8,87,5
Jarrod Bowen,"FW,MF",West Ham,38,36,3233,35.9,6,5,11,5,1,2,2,0,8.9,7.8,7.4,15.2,102,72,213
James Bree,DF,Southampton,5,4,367,4.1,0,0,0,0,0,0,1,0,0,0,0.2,0.3,4,5,12
Armando Broja,FW,Chelsea,12,2,294,3.3,1,0,1,1,0,0,0,0,0.8,0.8,0.1,0.9,8,4,17
David Brooks,"FW,MF",Bournemouth,6,2,173,1.9,0,0,0,0,0,0,1,0,0.3,0.3,0.2,0.5,5,11,10
Lewis Brunt,DF,Leicester City,1,0,23,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Emi Buendía,"MF,FW",Aston Villa,38,27,2412,26.8,5,2,7,5,0,0,0,0,6.3,6.3,5.7,12,60,138,137
Hugo Bueno,DF,Wolves,21,16,1310,14.6,0,1,1,0,0,0,1,0,0.2,0.2,1.3,1.5,52,39,64
Facundo Buonanotte,"FW,MF",Brighton,13,6,565,6.3,1,1,2,1,0,0,2,0,1.4,1.4,0.5,1.9,9,13,42
Dan Burn,DF,Newcastle Utd,38,35,3111,34.6,1,0,1,1,0,0,5,0,2.1,2.1,1.3,3.4,29,118,46
Cafú,MF,Nott'ham Forest,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Moisés Caicedo,MF,Brighton,37,34,3139,34.9,1,1,2,1,0,0,10,0,1.7,1.7,2.7,4.3,38,219,61
Tom Cairney,MF,Fulham,33,6,988,11,2,0,2,2,0,0,2,0,1.5,1.5,1.4,2.9,34,92,57
Duje Ćaleta-Car,DF,Southampton,13,9,946,10.5,1,0,1,1,0,0,2,0,0.8,0.8,0,0.8,5,33,0
Dominic Calvert-Lewin,FW,Everton,17,15,1165,12.9,2,1,3,1,1,1,3,0,5.8,5,0.8,5.9,18,15,56
Chem Campbell,"FW,MF",Wolves,5,0,74,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,2,4,10
João Cancelo,DF,Manchester City,17,16,1274,14.2,2,1,3,2,0,0,3,1,0.8,0.8,0.9,1.7,72,106,125
Thomas Cannon,FW,Everton,2,0,25,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.6,1,0,2
Sergi Canós,"FW,DF",Brentford,5,0,77,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,4,2,7
Diego Carlos,DF,Aston Villa,3,2,205,2.3,0,0,0,0,0,0,0,0,0.4,0.4,0,0.4,1,11,0
Fabio Carvalho,"MF,FW",Liverpool,13,4,347,3.9,2,0,2,2,0,0,0,0,1.1,1.1,0.1,1.2,9,12,26
Casemiro,MF,Manchester Utd,28,24,2124,23.6,4,3,7,4,0,0,7,2,3.4,3.4,3.1,6.5,14,152,34
Matty Cash,DF,Aston Villa,26,20,1820,20.2,0,1,1,0,0,0,4,0,0.2,0.2,0.7,0.9,42,75,57
Timothy Castagne,DF,Leicester City,37,36,3254,36.2,2,3,5,2,0,0,3,0,2.2,2.2,2.6,4.8,39,106,149
Jonny Castro,DF,Wolves,18,14,1261,14,1,0,1,1,0,0,3,1,0.3,0.3,1,1.3,24,70,46
Julio César Enciso,"FW,MF",Brighton,20,7,806,9,4,2,6,4,0,0,1,0,4,4,1.7,5.7,39,31,74
Nathaniel Chalobah,MF,Fulham,4,1,12,0.1,0,0,0,0,0,0,0,1,0.1,0.1,0,0.1,0,0,0
Trevoh Chalobah,DF,Chelsea,25,18,1608,17.9,0,0,0,0,0,0,4,0,0.9,0.9,0.3,1.2,17,71,27
Calum Chambers,"DF,MF",Aston Villa,14,2,353,3.9,0,0,0,0,0,0,2,0,0.1,0.1,0.3,0.4,6,16,2
Shea Charles,DF,Manchester City,1,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Ben Chilwell,"DF,MF",Chelsea,23,15,1408,15.6,2,2,4,2,0,0,3,0,1.4,1.4,2.2,3.7,43,41,131
Ryan Christie,"MF,FW",Bournemouth,32,22,1834,20.4,1,1,2,1,0,0,2,0,2.8,2.8,2.4,5.1,39,71,71
Carney Chukwuemeka,"MF,FW",Chelsea,14,2,354,3.9,0,0,0,0,0,0,0,0,0.4,0.4,0.6,1,21,23,21
Bobby Clark,MF,Liverpool,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
Nathaniel Clyne,DF,Crystal Palace,22,19,1640,18.2,0,0,0,0,0,0,3,0,0,0,0.7,0.7,14,52,29
Conor Coady,DF,Everton,24,23,2096,23.3,1,1,2,1,0,0,2,0,0.8,0.8,0.3,1.2,4,43,1
Jack Colback,MF,Nott'ham Forest,11,4,497,5.5,0,0,0,0,0,0,0,0,0,0,0.2,0.2,5,16,3
Séamus Coleman,DF,Everton,23,20,1656,18.4,1,0,1,1,0,0,1,0,0.4,0.4,0.9,1.2,13,61,37
Nathan Collins,DF,Wolves,26,19,1814,20.2,0,0,0,0,0,0,2,1,0.2,0.2,0.1,0.3,11,64,5
Levi Colwill,DF,Brighton,17,13,1220,13.6,0,2,2,0,0,0,1,0,1.4,1.4,0.5,1.9,16,70,3
Lewis Cook,MF,Bournemouth,28,18,1720,19.1,0,2,2,0,0,0,4,0,0.2,0.2,2.5,2.8,9,63,10
Steve Cook,DF,Nott'ham Forest,12,11,957,10.6,0,0,0,0,0,0,4,0,0.1,0.1,0.6,0.7,1,19,0
Liam Cooper,DF,Leeds United,18,16,1426,15.8,1,0,1,1,0,0,5,0,1,1,0.7,1.7,3,47,2
Maxwel Cornet,FW,West Ham,14,2,245,2.7,0,0,0,0,0,0,0,0,1.3,1.3,0.1,1.3,9,5,26
Diego Costa,FW,Wolves,23,16,1241,13.8,1,0,1,1,0,0,5,1,3.2,3.2,0.7,3.9,19,13,60
Vladimír Coufal,DF,West Ham,27,24,2136,23.7,0,1,1,0,0,0,5,0,0.3,0.3,2.5,2.7,53,82,109
Philippe Coutinho,"MF,FW",Aston Villa,20,7,788,8.8,1,0,1,1,0,0,3,0,1.4,1.4,0.5,1.8,18,48,68
Conor Coventry,"MF,FW",West Ham,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matthew Craig,MF,Tottenham,1,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Cresswell,DF,West Ham,28,24,2235,24.8,0,1,1,0,0,0,3,0,0.3,0.3,3.7,4,35,145,82
Marc Cucurella,DF,Chelsea,24,21,1671,18.6,0,2,2,0,0,0,4,0,0.4,0.4,0.6,1,30,73,65
Matheus Cunha,FW,Wolves,17,12,965,10.7,2,0,2,2,0,0,1,0,2,2,0.6,2.6,16,14,43
Patson Daka,FW,Leicester City,30,13,1187,13.2,4,4,8,4,0,0,2,0,3.5,3.5,2.8,6.3,18,17,82
Diogo Dalot,DF,Manchester Utd,26,24,2154,23.9,1,2,3,1,0,0,6,0,2.5,2.5,1.9,4.4,46,92,85
Mikkel Damsgaard,"MF,FW",Brentford,26,9,988,11,0,0,0,0,0,0,4,0,2.6,2.6,1.4,4,9,44,45
Danilo,MF,Nott'ham Forest,13,12,976,10.8,3,2,5,3,0,0,1,0,1.5,1.5,0.7,2.3,13,34,22
Arnaut Danjuma,"FW,MF",Tottenham,9,1,169,1.9,1,0,1,1,0,0,0,0,0.8,0.8,0,0.8,5,2,19
Josh Dasilva,MF,Brentford,36,14,1389,15.4,4,2,6,4,0,0,1,0,1.5,1.5,1.5,3,60,62,69
David Datro Fofana,FW,Chelsea,3,1,70,0.8,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.4,2,2,9
Ben Davies,DF,Tottenham,31,26,2288,25.4,2,2,4,2,0,0,4,0,1,1,2.5,3.5,39,107,69
Tom Davies,MF,Everton,19,4,538,6,0,0,0,0,0,0,3,0,1.2,1.2,0.2,1.3,2,30,13
Craig Dawson,DF,West Ham,8,8,720,8,0,0,0,0,0,0,2,0,0.5,0.5,0.1,0.6,0,18,1
Craig Dawson,DF,Wolves,17,17,1414,15.7,1,0,1,1,0,0,4,0,1,1,0,1,5,44,1
Kevin De Bruyne,MF,Manchester City,32,28,2417,26.9,7,16,23,7,0,0,1,0,5.6,5.6,13.7,19.3,100,246,245
Siriki Dembélé,"FW,MF",Bournemouth,6,0,110,1.2,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,5,4,11
Leander Dendoncker,MF,Aston Villa,20,7,697,7.7,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.5,1,18,2
Leander Dendoncker,MF,Wolves,4,2,214,2.4,0,0,0,0,0,0,0,0,0.7,0.7,0,0.7,1,6,3
Emmanuel Dennis,"FW,MF",Nott'ham Forest,19,6,720,8,2,2,4,2,0,0,3,0,1.9,1.9,0.6,2.4,24,17,63
Halil Dervişoğlu,MF,Brentford,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiernan Dewsbury-Hall,MF,Leicester City,31,28,2306,25.6,2,2,4,2,0,0,5,1,2.4,2.4,3.3,5.6,68,132,91
Ibrahima Diallo,MF,Southampton,18,11,819,9.1,0,0,0,0,0,0,4,0,0.2,0.2,0.1,0.3,9,28,6
Rúben Dias,DF,Manchester City,26,22,1998,22.2,0,0,0,0,0,0,3,0,1.3,1.3,0.6,1.9,14,98,2
Luis Díaz,FW,Liverpool,17,11,996,11.1,4,2,6,4,0,0,2,0,2.5,2.5,1.5,4,39,49,116
Eric Dier,DF,Tottenham,33,31,2818,31.3,2,1,3,2,0,0,3,0,1.6,1.6,1.2,2.8,9,87,14
Lucas Digne,DF,Aston Villa,28,18,1502,16.7,1,0,1,1,0,0,5,0,0.4,0.4,1.9,2.3,29,57,89
Issa Diop,DF,Fulham,25,21,2012,22.4,1,0,1,1,0,0,2,0,0.3,0.3,0.4,0.7,13,70,4
Moussa Djenepo,"DF,FW",Southampton,16,7,710,7.9,0,2,2,0,0,0,1,0,0.2,0.2,0.5,0.7,27,19,39
Ben Doak,FW,Liverpool,2,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4
Matt Doherty,"DF,MF",Tottenham,12,7,667,7.4,1,0,1,1,0,0,0,0,0.8,0.8,0.3,1,16,20,57
Gabriel Dos Santos,DF,Arsenal,38,38,3409,37.9,3,0,3,3,0,0,5,0,5.1,5.1,0.3,5.3,18,153,16
Abdoulaye Doucouré,MF,Everton,25,17,1533,17,5,2,7,5,0,0,6,1,2.4,2.4,2.2,4.6,23,38,66
Cheick Doucouré,MF,Crystal Palace,34,34,2769,30.8,0,3,3,0,0,0,10,1,1.4,1.4,1.9,3.4,18,140,17
Flynn Downes,MF,West Ham,21,7,762,8.5,0,0,0,0,0,0,2,0,0.4,0.4,0.1,0.5,3,22,11
Kami Doyle,MF,Southampton,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cody Drameh,DF,Leeds United,1,1,69,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
Martin Dúbravka,GK,Newcastle Utd,2,1,157,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shane Duffy,"DF,FW",Fulham,5,0,20,0.2,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,0,0
Lewis Dunk,DF,Brighton,36,36,3239,36,1,0,1,1,0,0,4,0,1.7,1.7,1,2.7,19,158,5
Jhon Durán,"FW,MF",Aston Villa,12,0,136,1.5,0,0,0,0,0,0,1,0,0.6,0.6,0,0.6,4,4,13
Malcolm Ebiowei,"MF,FW",Crystal Palace,3,0,34,0.4,0,0,0,0,0,0,0,0,0,0,0,0,2,2,9
Ederson,GK,Manchester City,35,35,3150,35,0,1,1,0,0,0,3,0,0,0,0.2,0.2,0,0,0
Odsonne Édouard,FW,Crystal Palace,35,20,1803,20,5,2,7,5,0,0,3,0,4.2,4.2,1.2,5.4,29,32,100
Samuel Edozie,"FW,MF",Southampton,17,5,567,6.3,0,0,0,0,0,0,0,0,0.9,0.9,0.4,1.3,26,13,39
Anthony Elanga,FW,Manchester Utd,16,5,426,4.7,0,1,1,0,0,0,0,0,0.7,0.7,0.9,1.6,12,8,28
Harvey Elliott,"MF,FW",Liverpool,32,18,1613,17.9,1,2,3,1,0,0,2,0,2.1,2.1,3.6,5.7,54,142,129
Mohamed Elneny,MF,Arsenal,5,1,113,1.3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
Mohamed Elyounoussi,"MF,FW",Southampton,33,27,2168,24.1,1,1,2,1,0,0,4,0,3.5,3.5,2.1,5.6,56,50,98
Emerson,DF,Tottenham,26,20,1735,19.3,2,1,3,2,0,0,2,1,1.7,1.7,0.6,2.3,47,80,103
Christian Eriksen,MF,Manchester Utd,28,25,2048,22.8,1,8,9,1,0,0,3,0,5,5,4.2,9.2,23,164,66
Pervis Estupiñán,DF,Brighton,35,31,2675,29.7,1,5,6,1,0,0,4,0,1.7,1.7,5.4,7.1,91,157,183
Jonny Evans,DF,Leicester City,13,12,1051,11.7,0,0,0,0,0,0,1,0,0.2,0.2,0,0.2,6,35,0
Eberechi Eze,"MF,FW",Crystal Palace,38,30,2636,29.3,10,4,14,9,1,1,3,0,7.3,6.5,4.3,10.8,69,131,129
Łukasz Fabiański,GK,West Ham,36,36,3111,34.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Fabinho,MF,Liverpool,36,31,2671,29.7,0,2,2,0,0,0,11,0,0.7,0.7,2.1,2.9,15,161,39
Wout Faes,DF,Leicester City,31,31,2786,31,1,2,3,1,0,0,6,1,1.2,1.2,0.6,1.9,11,74,2
Felipe,DF,Nott'ham Forest,16,15,1418,15.8,0,1,1,0,0,0,4,0,1.2,1.2,0.9,2.1,3,22,4
João Félix,"FW,MF",Chelsea,16,11,941,10.5,4,0,4,4,0,0,1,1,4.9,4.9,0.5,5.4,34,47,79
Evan Ferguson,FW,Brighton,19,10,950,10.6,6,2,8,6,0,0,1,0,5.3,5.3,0.7,6.1,11,14,58
Bruno Fernandes,"MF,FW",Manchester Utd,37,37,3316,36.8,8,8,16,6,2,2,6,0,9.3,7.7,16.7,24.4,89,263,231
Enzo Fernández,MF,Chelsea,18,18,1547,17.2,0,2,2,0,0,0,3,0,0.8,0.8,2.4,3.2,22,168,18
Roberto Firmino,"FW,MF",Liverpool,25,13,1213,13.5,11,4,15,11,0,0,0,0,5.5,5.5,2.5,8,16,78,96
Junior Firpo,DF,Leeds United,19,14,1368,15.2,1,1,2,1,0,0,6,1,0.1,0.1,0.8,0.9,20,54,34
Phil Foden,FW,Manchester City,32,22,1842,20.5,11,6,17,11,0,0,1,0,5.9,5.9,4.7,10.6,68,88,275
Wesley Fofana,DF,Leicester City,2,2,180,2,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,3,6,1
Wesley Fofana,DF,Chelsea,15,12,1183,13.1,1,0,1,1,0,0,3,0,0.7,0.7,0.1,0.8,29,43,12
Pablo Fornals,"FW,MF",West Ham,32,17,1503,16.7,3,1,4,3,0,0,0,0,2.2,2.2,1.7,3.9,33,89,101
Adam Forshaw,MF,Leeds United,12,5,479,5.3,0,0,0,0,0,0,0,0,0,0,0.9,0.9,4,33,7
Fraser Forster,GK,Tottenham,14,13,1215,13.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Tyrese Francois,FW,Fulham,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ryan Fraser,FW,Newcastle Utd,8,3,313,3.5,0,0,0,0,0,0,1,0,0.3,0.3,0.4,0.7,8,9,23
Fred,MF,Manchester Utd,35,12,1249,13.9,2,2,4,2,0,0,6,0,2,2,2.9,4.9,10,76,50
Ryan Fredericks,DF,Bournemouth,12,5,533,5.9,0,0,0,0,0,0,1,0,0,0,0.1,0.1,13,15,28
Remo Freuler,MF,Nott'ham Forest,28,24,2161,24,0,0,0,0,0,0,4,0,0.4,0.4,0.8,1.2,7,54,11
Cody Gakpo,"FW,MF",Liverpool,21,17,1458,16.2,7,2,9,7,0,0,0,0,6.2,6.2,2.7,8.9,36,50,109
Conor Gallagher,MF,Chelsea,35,18,1621,18,3,1,4,3,0,0,11,1,2.5,2.5,2.3,4.7,40,105,104
Idrissa Gana Gueye,MF,Everton,33,32,2577,28.6,0,1,1,0,0,0,7,0,0.7,0.7,1.1,1.8,27,98,19
Alejandro Garnacho,"FW,MF",Manchester Utd,19,5,569,6.3,3,2,5,3,0,0,3,0,3,3,1,4.1,33,12,85
James Garner,"MF,DF",Everton,16,7,804,8.9,0,1,1,0,0,0,3,0,0.8,0.8,0.5,1.3,8,33,18
David de Gea,GK,Manchester Utd,38,38,3420,38,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0
Joe Gelhardt,FW,Leeds United,15,1,212,2.4,0,2,2,0,0,0,1,0,0.8,0.8,0.5,1.3,2,6,21
Saman Ghoddos,"MF,FW",Brentford,15,0,139,1.5,0,0,0,0,0,0,0,0,0,0,0.4,0.5,1,8,6
Morgan Gibbs-White,"FW,MF",Wolves,2,2,180,2,0,0,0,0,0,0,1,0,0.7,0.7,0.1,0.8,4,12,12
Morgan Gibbs-White,"MF,FW",Nott'ham Forest,35,34,2971,33,5,8,13,3,2,2,5,0,6,4.4,8.2,12.7,69,131,157
Bryan Gil,"MF,FW",Tottenham,4,2,148,1.6,0,1,1,0,0,0,1,0,0.1,0.1,0.2,0.3,4,5,15
Billy Gilmour,MF,Brighton,14,7,507,5.6,0,1,1,0,0,0,1,0,0.5,0.5,0.2,0.8,5,35,4
Degnand Gnonto,"FW,MF",Leeds United,24,14,1354,15,2,4,6,2,0,0,7,0,1.8,1.8,2.2,4,66,35,136
Ben Godfrey,DF,Everton,13,10,802,8.9,0,1,1,0,0,0,2,0,1.2,1.2,0.2,1.4,9,19,7
João Gomes,MF,Wolves,11,7,653,7.3,1,0,1,1,0,0,5,0,0.3,0.3,0.2,0.4,7,19,8
Toti Gomes,DF,Wolves,17,10,984,10.9,1,0,1,1,0,0,6,0,0.4,0.4,0.3,0.7,4,27,23
Joe Gomez,DF,Liverpool,21,15,1466,16.3,0,0,0,0,0,0,3,0,0.2,0.2,0.2,0.3,15,108,5
Sergio Gómez,"DF,MF",Manchester City,12,2,349,3.9,0,1,1,0,0,0,0,0,0.4,0.4,1.2,1.5,10,18,20
Anthony Gordon,"FW,MF",Newcastle Utd,16,4,487,5.4,1,0,1,1,0,0,1,0,1.7,1.7,0.9,2.6,20,15,45
Anthony Gordon,FW,Everton,16,12,1095,12.2,3,0,3,3,0,0,6,0,3.3,3.3,0.6,3.9,28,19,67
Demarai Gray,"FW,MF",Everton,33,27,2507,27.9,4,1,5,2,2,2,3,0,6.2,4.7,3.8,8.5,94,46,199
Jack Grealish,FW,Manchester City,28,23,2055,22.8,5,7,12,5,0,0,4,0,4.6,4.6,7.1,11.7,143,100,310
