player,position,team,touches,touches_in_defensive_penalty_area,touches_in_defensive_third,touches_in_middle_third,touches_in_attacking_third,touches_in_attacking_penalty_area,live_ball_touches,take_ons_attempted,take_ons_succeeded,times_tackled_during_take_on,carries,total_carrying_distance,progressive_carrying_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received
Jordan Ayew,"FW,MF",Crystal Palace,1327,46,192,611,560,98,1327,149,65,59,801,5195,2372,50,31,107,83,932
Luke Ayling,DF,Leeds United,1413,79,466,578,390,56,1413,33,13,17,648,2963,1480,20,4,23,12,700
César Azpilicueta,DF,Chelsea,1245,84,424,510,319,25,1245,13,7,5,612,2691,1573,19,0,12,5,753
Benoît Badiashile,DF,Chelsea,945,95,469,458,25,11,945,3,1,2,630,3020,1774,2,0,2,3,689
Leon Bailey,"FW,MF",Aston Villa,813,16,91,283,456,89,813,111,40,55,520,4022,1703,33,38,48,53,561
Stefan Bajcetic,MF,Liverpool,324,6,66,189,74,5,324,16,7,4,175,990,450,7,0,7,6,204
Dominic Ballard,"FW,MF",Southampton,11,0,2,4,5,0,11,2,0,1,6,25,10,0,0,3,1,7
Patrick Bamford,FW,Leeds United,550,19,34,257,266,83,548,34,11,19,290,1186,447,17,13,56,21,386
Shandon Baptiste,MF,Brentford,373,12,87,196,97,7,373,13,6,3,240,1097,507,12,3,16,8,247
Harvey Barnes,"FW,MF",Leicester City,1143,17,128,435,600,133,1143,91,27,53,734,5174,2749,72,48,75,42,900
Gavin Bazunu,GK,Southampton,1253,910,1234,19,0,0,1253,0,0,0,746,3699,2072,0,0,0,0,599
Mads Bech Sørensen,"DF,MF",Brentford,14,1,4,8,2,0,14,0,0,0,2,3,0,0,0,0,0,5
Jan Bednarek,DF,Southampton,1127,205,635,460,37,14,1127,2,1,1,579,2671,1580,1,0,2,1,605
Jan Bednarek,DF,Aston Villa,79,9,39,40,1,0,79,0,0,0,47,291,177,0,0,0,0,53
Donny van de Beek,MF,Manchester Utd,72,1,3,23,46,11,72,3,2,1,39,148,85,3,0,2,2,53
Asmir Begović,GK,Everton,33,31,33,0,0,0,33,0,0,0,19,75,47,0,0,0,0,13
Armel Bella Kotchap,DF,Southampton,1211,209,654,519,46,22,1211,11,4,3,697,3570,1899,12,2,9,6,682
Saïd Benrahma,"FW,MF",West Ham,1091,16,131,399,583,94,1087,123,51,56,699,5281,2705,54,44,53,42,800
Rodrigo Bentancur,MF,Tottenham,1071,52,295,612,175,19,1071,34,21,11,581,3001,1444,14,1,22,17,732
Daniel Bentley,GK,Wolves,87,83,87,0,0,0,87,0,0,0,29,193,133,0,0,0,0,34
Victor Bernth Kristiansen,DF,Leicester City,607,33,234,255,123,4,607,15,7,5,278,1494,714,8,0,10,10,302
Owen Bevan,DF,Bournemouth,3,0,3,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1
Giulian Biancone,DF,Nott'ham Forest,25,2,19,5,1,0,25,0,0,0,10,76,61,1,0,0,0,13
Philip Billing,"MF,FW",Bournemouth,1410,76,334,666,428,71,1410,47,26,15,727,3695,1690,31,6,42,35,900
Yves Bissouma,MF,Tottenham,826,23,164,536,127,2,826,9,7,2,504,2761,1143,13,1,16,8,613
Willy Boly,DF,Nott'ham Forest,353,69,239,101,15,9,353,2,1,0,171,769,355,1,0,2,0,182
Sven Botman,DF,Newcastle Utd,2074,338,1188,801,95,53,2074,1,1,0,1171,5259,2810,5,2,10,2,1347
Jarrod Bowen,"FW,MF",West Ham,1318,32,186,451,693,157,1316,118,36,55,732,5577,2208,45,56,70,55,793
James Bree,DF,Southampton,213,18,71,67,75,2,213,3,2,1,93,352,131,4,0,3,2,111
Armando Broja,FW,Chelsea,110,2,7,41,63,16,110,15,8,5,54,399,199,1,5,15,9,71
David Brooks,"FW,MF",Bournemouth,93,8,19,35,39,9,93,9,2,7,61,270,120,2,2,4,4,65
Lewis Brunt,DF,Leicester City,23,1,8,12,3,0,23,0,0,0,9,30,4,0,0,0,0,13
Emi Buendía,"MF,FW",Aston Villa,1336,38,202,634,516,93,1336,59,27,26,829,3957,1970,46,19,63,58,955
Hugo Bueno,DF,Wolves,835,53,318,275,249,14,835,33,13,14,396,2714,1422,29,4,16,11,446
Facundo Buonanotte,"FW,MF",Brighton,258,8,33,114,115,19,258,19,7,9,182,1018,424,5,2,10,2,202
Dan Burn,DF,Newcastle Utd,2073,158,786,940,358,62,2073,25,11,12,926,4329,2196,22,5,34,9,1116
Cafú,MF,Nott'ham Forest,3,1,2,1,0,0,3,0,0,0,2,12,7,0,0,0,0,1
Moisés Caicedo,MF,Brighton,2603,91,555,1520,558,28,2603,54,28,21,1507,6220,2876,32,6,39,23,1891
Tom Cairney,MF,Fulham,871,10,127,425,332,31,871,21,9,8,573,3124,1516,27,6,23,21,667
Duje Ćaleta-Car,DF,Southampton,695,136,416,268,15,9,695,2,2,0,387,1829,993,1,0,1,2,429
Dominic Calvert-Lewin,FW,Everton,376,20,39,143,200,59,375,28,15,10,186,972,405,11,10,40,12,286
Chem Campbell,"FW,MF",Wolves,47,1,6,19,23,5,47,4,2,2,39,303,70,6,1,3,6,36
João Cancelo,DF,Manchester City,1363,20,225,686,461,47,1363,60,30,23,838,4860,2808,39,21,18,14,1020
Thomas Cannon,FW,Everton,8,0,0,2,6,4,8,1,0,0,6,34,7,0,0,0,0,7
Sergi Canós,"FW,DF",Brentford,57,1,13,25,20,2,57,6,4,2,29,206,111,2,0,0,0,36
Diego Carlos,DF,Aston Villa,156,11,54,94,11,4,156,0,0,0,100,348,193,3,0,2,0,111
Fabio Carvalho,"MF,FW",Liverpool,193,2,31,75,91,26,193,6,2,3,122,568,255,9,2,11,15,145
Casemiro,MF,Manchester Utd,1758,110,531,949,293,24,1758,20,9,8,850,2828,1404,17,1,18,14,1103
Matty Cash,DF,Aston Villa,1215,76,423,545,258,11,1215,33,16,9,610,3143,1677,33,4,24,7,652
Timothy Castagne,DF,Leicester City,2237,158,820,920,508,52,2237,30,11,14,989,4010,1994,23,5,32,17,1246
Jonny Castro,DF,Wolves,1004,53,343,444,227,13,1004,32,14,15,499,2623,1495,18,4,16,13,600
Julio César Enciso,"FW,MF",Brighton,395,2,22,154,228,49,395,63,31,25,241,1769,1013,29,17,19,20,292
Nathaniel Chalobah,MF,Fulham,11,4,5,3,3,1,11,0,0,0,6,16,8,1,0,1,1,8
Trevoh Chalobah,DF,Chelsea,1369,135,602,604,167,23,1369,10,8,1,784,2679,1393,13,1,6,5,973
Calum Chambers,"DF,MF",Aston Villa,245,30,119,96,32,2,245,0,0,0,139,794,540,4,0,2,1,149
Shea Charles,DF,Manchester City,32,5,14,18,0,0,32,0,0,0,20,116,43,0,0,0,1,19
Ben Chilwell,"DF,MF",Chelsea,1133,23,284,426,426,36,1133,23,8,12,629,3401,1852,36,8,25,18,722
Ryan Christie,"MF,FW",Bournemouth,940,39,187,421,350,61,940,86,37,42,559,3396,1462,34,13,49,33,592
Carney Chukwuemeka,"MF,FW",Chelsea,262,5,47,106,112,17,262,11,6,5,154,1165,718,14,3,11,3,184
Bobby Clark,MF,Liverpool,7,0,0,0,7,1,7,1,0,1,3,3,0,0,0,2,0,3
Nathaniel Clyne,DF,Crystal Palace,971,44,313,475,186,3,971,12,5,5,423,1778,896,10,1,12,3,531
Conor Coady,DF,Everton,1363,238,795,547,29,10,1363,3,0,2,882,4154,2414,4,0,6,2,984
Jack Colback,MF,Nott'ham Forest,189,16,65,100,27,1,189,4,3,0,75,404,210,5,0,5,1,88
Séamus Coleman,DF,Everton,990,81,334,416,246,21,990,36,16,15,457,2049,925,10,3,30,6,481
Nathan Collins,DF,Wolves,1339,208,801,500,45,13,1339,8,7,0,724,3470,1799,9,2,9,8,922
Levi Colwill,DF,Brighton,1263,144,569,646,51,11,1263,1,1,0,845,4646,2952,10,0,7,4,921
Lewis Cook,MF,Bournemouth,935,67,290,472,184,9,935,19,7,10,426,2198,819,18,1,15,16,517
Steve Cook,DF,Nott'ham Forest,559,100,321,220,19,10,559,1,1,0,284,1293,577,3,0,3,2,350
Liam Cooper,DF,Leeds United,970,103,499,440,37,21,970,4,1,1,477,2172,913,3,1,9,1,501
Maxwel Cornet,FW,West Ham,140,3,18,50,72,11,140,5,2,3,83,310,140,2,5,9,5,103
Diego Costa,FW,Wolves,335,19,37,140,161,59,335,10,5,5,180,1019,342,9,11,23,26,245
Vladimír Coufal,DF,West Ham,1433,104,435,580,424,21,1433,17,3,6,578,3284,1710,33,2,25,21,665
Philippe Coutinho,"MF,FW",Aston Villa,500,2,34,259,213,24,500,34,14,15,309,1747,739,28,5,23,17,369
Conor Coventry,"MF,FW",West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matthew Craig,MF,Tottenham,10,1,3,5,2,0,10,0,0,0,5,20,6,1,0,0,0,6
Aaron Cresswell,DF,West Ham,1607,97,507,668,438,13,1607,7,2,4,766,3497,1751,26,1,6,6,960
Marc Cucurella,DF,Chelsea,1490,63,470,672,358,12,1490,14,5,6,787,3205,1797,20,2,14,6,906
Matheus Cunha,FW,Wolves,372,14,66,170,147,45,372,39,26,8,195,1119,459,6,7,31,13,224
Patson Daka,FW,Leicester City,444,13,42,175,230,58,444,18,7,8,207,1090,461,8,11,46,19,288
Diogo Dalot,DF,Manchester Utd,1673,125,580,714,390,38,1673,35,21,7,878,4258,2161,32,12,18,5,994
Mikkel Damsgaard,"MF,FW",Brentford,529,9,104,268,166,27,529,23,9,9,279,1075,574,9,1,15,6,307
Danilo,MF,Nott'ham Forest,383,26,118,182,92,21,383,19,14,4,171,815,439,9,6,20,8,171
Arnaut Danjuma,"FW,MF",Tottenham,72,1,5,35,32,8,72,6,3,3,44,233,128,2,2,1,3,58
Josh Dasilva,MF,Brentford,770,17,144,342,298,32,770,56,32,15,536,3392,1631,43,9,28,28,562
David Datro Fofana,FW,Chelsea,33,1,2,10,22,7,33,8,5,2,24,119,45,2,3,9,3,23
Ben Davies,DF,Tottenham,1482,95,514,749,223,29,1482,15,5,7,835,4386,2692,33,4,11,5,1012
Tom Davies,MF,Everton,309,13,74,183,54,15,309,6,3,3,150,616,253,1,0,17,4,201
Craig Dawson,DF,West Ham,380,53,211,142,28,14,380,1,0,1,193,1042,600,5,0,2,4,216
Craig Dawson,DF,Wolves,1084,182,619,437,32,15,1084,4,3,0,628,2615,1323,3,0,5,2,748
Kevin De Bruyne,MF,Manchester City,1860,13,100,743,1041,100,1860,61,32,19,1129,5721,3415,81,16,42,29,1445
Siriki Dembélé,"FW,MF",Bournemouth,71,1,10,30,33,3,71,10,6,3,47,311,160,2,1,9,5,50
Leander Dendoncker,MF,Aston Villa,365,21,102,219,46,7,365,5,3,2,171,852,271,6,1,8,3,207
Leander Dendoncker,MF,Wolves,128,6,33,75,21,5,128,2,1,1,60,205,77,0,0,2,2,77
Emmanuel Dennis,"FW,MF",Nott'ham Forest,335,5,55,118,177,40,335,53,18,26,211,1512,840,15,8,32,25,219
Halil Dervişoğlu,MF,Brentford,1,0,0,0,1,0,1,0,0,0,2,13,0,0,1,0,1,2
Kiernan Dewsbury-Hall,MF,Leicester City,1490,48,278,795,443,50,1490,74,40,26,903,5218,2559,36,16,73,32,1038
Ibrahima Diallo,MF,Southampton,499,18,128,308,74,4,499,13,8,5,287,1445,710,4,0,16,9,294
Rúben Dias,DF,Manchester City,2237,176,881,1280,83,22,2237,10,8,1,1497,8194,5025,22,1,1,4,1791
Luis Díaz,FW,Liverpool,618,4,47,247,336,77,618,65,32,25,440,2944,1303,31,22,30,37,500
Eric Dier,DF,Tottenham,2274,370,1333,866,84,25,2274,6,3,2,1368,6183,2851,9,1,10,3,1600
Lucas Digne,DF,Aston Villa,1096,64,365,396,342,24,1096,18,3,11,552,2363,1262,14,2,16,12,625
Issa Diop,DF,Fulham,1606,191,828,762,28,9,1606,5,3,1,1026,6695,4194,5,0,10,1,1115
Moussa Djenepo,"DF,FW",Southampton,358,16,103,158,102,16,358,42,19,17,197,1423,726,11,6,15,7,182
Ben Doak,FW,Liverpool,22,0,4,10,10,2,22,4,0,4,16,182,51,3,2,1,0,15
Matt Doherty,"DF,MF",Tottenham,500,27,144,184,172,24,500,12,5,4,247,953,443,5,2,12,3,306
Gabriel Dos Santos,DF,Arsenal,2776,307,1153,1419,215,53,2776,3,2,0,1746,8780,5471,43,3,19,4,1934
Abdoulaye Doucouré,MF,Everton,713,18,156,327,242,45,713,33,20,11,371,1689,896,16,7,27,13,440
Cheick Doucouré,MF,Crystal Palace,1577,94,444,894,255,15,1577,21,15,6,761,3761,1761,25,1,28,20,884
Flynn Downes,MF,West Ham,405,14,74,265,68,5,405,2,1,0,224,1041,364,5,1,11,6,276
Kami Doyle,MF,Southampton,6,0,2,3,1,0,6,1,0,1,4,12,1,0,0,0,1,7
Cody Drameh,DF,Leeds United,44,1,7,26,11,0,44,1,1,0,17,48,10,1,0,1,1,23
Martin Dúbravka,GK,Newcastle Utd,59,55,59,0,0,0,59,0,0,0,38,190,103,0,0,0,0,23
Shane Duffy,"DF,FW",Fulham,22,3,13,9,1,1,22,1,1,0,9,41,18,0,0,1,0,12
Lewis Dunk,DF,Brighton,3461,428,1665,1712,97,34,3461,5,4,0,2294,11410,6327,21,0,13,5,2586
Jhon Durán,"FW,MF",Aston Villa,57,3,3,26,29,6,57,2,1,1,33,205,123,5,1,8,3,41
Malcolm Ebiowei,"MF,FW",Crystal Palace,21,0,1,8,12,2,21,5,2,3,14,107,30,1,0,5,0,15
Ederson,GK,Manchester City,1302,1049,1295,9,0,0,1302,0,0,0,869,4059,2429,0,0,0,0,833
Odsonne Édouard,FW,Crystal Palace,672,25,68,317,293,95,672,46,16,28,354,1637,633,21,21,60,51,479
Samuel Edozie,"FW,MF",Southampton,278,4,48,86,148,32,278,37,12,16,183,1551,741,21,13,24,12,188
Anthony Elanga,FW,Manchester Utd,197,4,26,71,100,28,197,15,5,7,109,656,276,3,7,13,7,139
Harvey Elliott,"MF,FW",Liverpool,1194,14,147,566,491,50,1194,42,19,15,759,3981,1943,40,10,26,23,867
Mohamed Elneny,MF,Arsenal,63,2,11,42,11,0,63,0,0,0,38,134,37,0,0,0,0,49
Mohamed Elyounoussi,"MF,FW",Southampton,952,60,204,399,362,54,952,47,24,20,484,3141,1463,41,12,38,38,533
Emerson,DF,Tottenham,1323,101,481,505,346,46,1323,31,15,9,672,3662,2047,32,6,22,19,775
Christian Eriksen,MF,Manchester Utd,1644,43,269,914,465,35,1644,17,8,9,967,3499,1756,24,3,24,19,1220
Pervis Estupiñán,DF,Brighton,2211,82,506,1076,649,71,2211,42,19,18,1292,6134,3440,55,15,38,29,1434
Jonny Evans,DF,Leicester City,906,137,474,424,9,2,906,0,0,0,529,2218,1206,4,0,5,0,629
Eberechi Eze,"MF,FW",Crystal Palace,1515,20,212,735,602,84,1514,122,71,41,889,5017,2398,57,28,71,54,999
Łukasz Fabiański,GK,West Ham,1005,871,1000,5,0,0,1005,0,0,0,506,3330,2146,0,0,3,0,350
Fabinho,MF,Liverpool,2092,83,456,1314,325,21,2092,15,7,4,1184,4669,1913,28,1,17,12,1493
Wout Faes,DF,Leicester City,2177,357,1230,916,44,19,2177,12,9,3,1262,6476,3606,7,0,15,5,1436
Felipe,DF,Nott'ham Forest,798,163,477,275,59,36,798,18,14,3,391,2137,1182,3,0,12,4,386
João Félix,"FW,MF",Chelsea,497,0,30,223,249,46,497,60,22,28,326,2092,1099,40,9,22,8,399
Evan Ferguson,FW,Brighton,344,10,27,165,155,39,344,14,8,5,203,884,309,4,8,29,20,256
Bruno Fernandes,"MF,FW",Manchester Utd,2408,68,386,966,1078,149,2406,66,32,28,1385,6213,3272,68,28,42,42,1689
Enzo Fernández,MF,Chelsea,1616,45,351,1000,280,9,1616,32,17,13,1097,4757,2023,28,1,25,13,1257
Roberto Firmino,"FW,MF",Liverpool,735,3,69,375,295,84,735,24,13,10,423,1757,742,14,7,38,23,565
Junior Firpo,DF,Leeds United,792,48,286,368,146,13,792,15,6,9,352,1465,785,16,1,9,9,367
Phil Foden,FW,Manchester City,1324,20,116,433,790,131,1324,81,40,31,891,4578,2141,43,25,34,29,1051
Wesley Fofana,DF,Leicester City,169,11,68,97,7,3,169,3,2,0,116,647,365,5,2,3,0,115
Wesley Fofana,DF,Chelsea,1013,97,424,509,85,10,1013,13,8,1,686,4197,2489,20,1,9,6,735
Pablo Fornals,"FW,MF",West Ham,917,16,144,424,360,36,917,21,10,10,501,2484,1255,24,12,21,15,616
Adam Forshaw,MF,Leeds United,293,7,64,171,62,1,293,11,8,3,179,1085,360,8,0,6,8,186
Fraser Forster,GK,Tottenham,395,352,392,3,0,0,395,0,0,0,203,1098,616,0,0,1,0,148
Tyrese Francois,FW,Fulham,5,0,1,3,1,0,5,0,0,0,1,0,0,0,0,1,0,2
Ryan Fraser,FW,Newcastle Utd,147,1,18,51,80,9,147,2,1,0,94,600,322,7,1,7,1,107
Fred,MF,Manchester Utd,999,38,250,483,279,37,999,32,12,15,537,2158,1034,17,3,26,16,614
Ryan Fredericks,DF,Bournemouth,279,33,88,109,84,7,279,10,3,5,120,725,395,9,2,4,3,152
Remo Freuler,MF,Nott'ham Forest,1058,71,360,537,167,13,1058,12,6,4,491,2192,959,11,0,20,8,557
Cody Gakpo,"FW,MF",Liverpool,591,6,42,266,298,76,591,48,23,13,374,2069,1134,32,12,43,36,448
Conor Gallagher,MF,Chelsea,1134,32,198,529,421,59,1134,54,23,23,699,3519,1391,40,12,36,36,778
Idrissa Gana Gueye,MF,Everton,1563,77,451,893,237,11,1563,35,19,9,821,3942,1829,26,3,31,18,845
Alejandro Garnacho,"FW,MF",Manchester Utd,305,3,29,84,196,59,305,44,12,27,220,1666,896,27,28,27,14,235
James Garner,"MF,DF",Everton,441,22,97,201,150,9,441,14,7,6,216,1185,564,9,1,11,3,225
David de Gea,GK,Manchester Utd,1302,1116,1297,5,0,0,1302,0,0,0,781,3589,2147,0,0,0,0,783
Joe Gelhardt,FW,Leeds United,115,4,10,52,54,14,115,9,1,7,68,189,66,2,2,9,7,84
Saman Ghoddos,"MF,FW",Brentford,98,7,23,38,40,3,98,2,0,2,42,164,92,2,0,3,1,44
Morgan Gibbs-White,"FW,MF",Wolves,119,1,18,53,49,4,119,8,2,5,62,257,137,3,1,3,1,82
Morgan Gibbs-White,"MF,FW",Nott'ham Forest,1447,20,169,626,680,76,1445,96,47,43,764,4463,2187,62,19,91,44,902
Bryan Gil,"MF,FW",Tottenham,80,1,13,30,37,2,80,5,2,3,55,337,145,3,0,5,3,61
Billy Gilmour,MF,Brighton,453,15,112,276,71,4,453,6,2,2,248,1157,583,8,1,6,5,350
Degnand Gnonto,"FW,MF",Leeds United,719,12,95,248,393,43,719,77,21,43,484,3356,1715,37,17,30,19,508
Ben Godfrey,DF,Everton,391,55,159,175,63,8,391,8,3,3,162,830,426,8,0,12,3,159
João Gomes,MF,Wolves,409,19,118,212,80,5,409,19,8,7,185,922,416,6,1,7,5,223
Toti Gomes,DF,Wolves,688,86,313,278,100,15,688,16,9,6,332,1521,924,11,0,6,3,402
Joe Gomez,DF,Liverpool,1521,114,602,851,76,6,1521,5,4,1,1005,4826,2616,12,0,13,5,1040
Sergio Gómez,"DF,MF",Manchester City,358,16,75,198,87,10,358,3,0,3,203,1018,520,10,1,7,3,274
Anthony Gordon,"FW,MF",Newcastle Utd,275,5,30,112,135,27,275,21,7,13,169,1192,516,13,11,19,5,196
Anthony Gordon,FW,Everton,464,13,87,165,218,47,464,45,11,29,252,1875,704,23,13,32,23,290
Demarai Gray,"FW,MF",Everton,1181,22,110,441,652,104,1179,92,33,42,720,5100,2465,62,48,86,66,781
Jack Grealish,FW,Manchester City,1308,20,141,421,772,136,1308,110,45,28,957,8506,3982,83,63,36,29,1065
Sam Greenwood,"MF,FW",Leeds United,255,7,45,112,103,5,255,8,3,4,117,578,305,8,1,6,7,119
Pascal Groß,"MF,DF",Brighton,2602,77,466,1225,924,98,2602,33,17,13,1453,6723,3125,52,8,39,18,1832
Vicente Guaita,GK,Crystal Palace,895,785,893,2,0,0,895,0,0,0,507,2657,1704,0,0,1,0,383
Gonçalo Guedes,"FW,MF",Wolves,280,3,28,105,153,30,280,15,5,7,174,1303,644,12,7,17,7,199
Marc Guéhi,DF,Crystal Palace,2557,369,1415,1078,74,28,2557,21,14,3,1511,7181,4034,14,0,17,7,1690
Bruno Guimarães,MF,Newcastle Utd,2014,59,392,1076,575,50,2014,92,45,26,1321,7248,2911,47,5,46,60,1503
İlkay Gündoğan,MF,Manchester City,1806,31,243,975,596,88,1805,42,16,18,1072,5457,2628,44,7,28,27,1425
Darko Gyabi,FW,Leeds United,8,0,1,4,3,1,8,1,0,0,4,5,3,0,0,1,0,2
Erling Haaland,FW,Manchester City,763,18,39,290,435,217,756,32,11,18,405,2020,761,10,25,51,26,583
Lewis Hall,DF,Chelsea,533,22,165,207,167,21,533,27,11,13,320,1627,848,9,6,16,7,351
Luke Harris,"MF,FW",Fulham,14,0,0,8,6,0,14,0,0,0,9,46,14,0,0,0,1,13
Jack Harrison,"FW,MF",Leeds United,1556,31,192,549,836,81,1556,118,48,59,959,5271,2584,56,24,92,61,1037
Kai Havertz,"FW,MF",Chelsea,1258,46,108,519,640,165,1257,61,18,38,728,3741,1483,33,30,79,36,946
Jan Paul van Hecke,DF,Brighton,288,27,120,155,13,2,288,0,0,0,187,1104,635,5,0,1,0,213
Hwang Hee-chan,"FW,MF",Wolves,425,13,66,178,188,38,425,32,13,13,222,1520,702,11,7,25,20,267
Dean Henderson,GK,Nott'ham Forest,715,600,711,5,0,0,715,0,0,0,397,2242,1245,0,0,1,0,319
Jordan Henderson,MF,Liverpool,1782,34,277,1013,505,45,1782,23,12,8,1060,4836,2046,49,1,18,9,1319
Wayne Hennessey,GK,Nott'ham Forest,108,91,108,0,0,0,108,0,0,0,56,318,181,0,0,0,0,47
Rico Henry,DF,Brentford,1582,115,478,647,482,30,1582,50,26,17,782,3790,1832,41,9,50,44,813
Son Heung-min,"MF,FW",Tottenham,1217,12,143,457,643,106,1217,83,33,40,727,4927,2357,60,31,64,55,860
Aaron Hickey,DF,Brentford,1028,47,328,499,211,21,1028,45,17,18,616,3295,1802,17,3,16,13,624
Jack Hinshelwood,FW,Brighton,5,0,2,2,1,1,5,0,0,0,2,2,2,0,0,0,0,3
Joseph Hodge,MF,Wolves,118,5,26,56,36,4,118,0,0,0,56,174,89,2,0,1,2,77
Rob Holding,DF,Arsenal,499,58,240,245,15,7,499,1,1,0,319,1466,881,1,1,3,0,339
Mason Holgate,DF,Everton,286,35,120,139,27,5,286,3,3,0,100,450,279,3,0,6,0,141
Will Hughes,MF,Crystal Palace,474,27,101,250,131,13,474,7,3,4,234,1162,636,10,3,14,10,262
Omari Hutchinson,FW,Chelsea,16,0,0,4,12,3,16,0,0,0,11,61,23,0,1,1,1,12
Pierre Højbjerg,MF,Tottenham,2633,122,670,1537,449,33,2633,45,30,12,1507,6846,3215,41,8,39,35,1925
