Player,Pos,Squad,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
Nampalys Mendy,MF,Leicester City,7,4,291,3.2,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0.31,4.06,1.88
Chris Mepham,DF,Bournemouth,12,10,912,10.1,0.1,0,0.1,0.1,0,0,0.1,0,0.09,0.09,0.01,0.1,0.4,2.77,0.3
Max Meyer,"MF,FW",Crystal Palace,17,6,655,7.3,0,0,0,0,0,0,0.14,0,0.07,0.07,0.03,0.1,1.23,2.19,4.38
Luka Milivojević,MF,Crystal Palace,31,28,2513,27.9,0.11,0.04,0.14,0.04,0.07,0.07,0.43,0,0.1,0.04,0.08,0.12,0.25,4.55,0.39
James Milner,"MF,DF",Liverpool,22,9,937,10.4,0.19,0.19,0.38,0,0.19,0.19,0.38,0,0.21,0.06,0.07,0.13,1.73,6.83,4.04
Yerry Mina,DF,Everton,29,25,2284,25.4,0.08,0.04,0.12,0.08,0,0,0.12,0,0.13,0.13,0.06,0.19,0.43,3.27,0.16
Takumi Minamino,"FW,MF",Liverpool,10,2,249,2.8,0,0,0,0,0,0,0,0,0.29,0.29,0,0.32,2.86,1.43,7.86
Tyrone Mings,DF,Aston Villa,33,33,2902,32.2,0.06,0.06,0.12,0.06,0,0,0.22,0,0.02,0.02,0.02,0.05,0.37,1.86,0.34
Tyrick Mitchell,DF,Crystal Palace,4,2,195,2.2,0,0,0,0,0,0,0.45,0,0,0,0.09,0.09,2.27,5.45,3.64
Henrikh Mkhitaryan,FW,Arsenal,3,1,112,1.2,0,0,0,0,0,0,0.83,0,0.25,0.25,0.25,0.5,2.5,6.67,15.8
Nacho Monreal,DF,Arsenal,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0.1,0.13,1.33,4,4.67
Martín Montoya,"DF,MF",Brighton,27,23,1896,21.1,0,0.05,0.05,0,0,0,0.24,0,0.07,0.07,0.09,0.16,2.7,4.31,5.55
Simon Moore,GK,Sheffield Utd,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Mooy,"MF,FW",Brighton,31,25,2085,23.2,0.09,0.09,0.17,0.09,0,0,0.13,0.04,0.1,0.1,0.19,0.29,3.06,6.81,5.82
Wesley Moraes,FW,Aston Villa,21,21,1782,19.8,0.25,0.05,0.3,0.25,0,0.05,0.15,0,0.32,0.28,0.05,0.33,0.66,1.06,4.49
Wes Morgan,DF,Leicester City,11,4,436,4.8,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.21,0.63,0.21
Ravel Morrison,MF,Sheffield Utd,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0
Mason Mount,"MF,FW",Chelsea,37,32,2867,31.9,0.22,0.16,0.38,0.22,0,0,0.09,0,0.2,0.2,0.17,0.37,3.17,4.33,6.93
Lucas Moura,"FW,MF",Tottenham,35,25,2242,24.9,0.16,0.16,0.32,0.16,0,0,0.12,0,0.22,0.22,0.13,0.35,3.17,2.77,5.62
Lys Mousset,FW,Sheffield Utd,30,11,1240,13.8,0.43,0.29,0.72,0.43,0,0,0.07,0,0.4,0.4,0.23,0.64,2.17,0.94,6.74
João Moutinho,MF,Wolves,38,34,3108,34.5,0.03,0.17,0.2,0.03,0,0,0.2,0,0.03,0.03,0.23,0.26,1.1,6.26,1.48
Glenn Murray,FW,Brighton,23,7,797,8.9,0.11,0.11,0.22,0.11,0,0,0,0,0.27,0.27,0.08,0.35,0.67,1.69,7.42
Shkodran Mustafi,DF,Arsenal,15,13,1207,13.4,0,0.07,0.07,0,0,0,0.15,0,0.07,0.07,0.03,0.1,0.52,4.55,0.45
Yoshinori Mutō,"MF,FW",Newcastle Utd,8,2,212,2.4,0,0,0,0,0,0,0,0,0.04,0.04,0,0.04,1.67,2.08,4.17
Georges-Kévin N'Koudou,FW,Tottenham,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Marvelous Nakamba,MF,Aston Villa,29,19,1836,20.4,0,0,0,0,0,0,0.25,0,0.01,0.01,0.02,0.03,0.49,2.79,0.39
Wilfred Ndidi,MF,Leicester City,32,29,2674,29.7,0.07,0.03,0.1,0.07,0,0,0.2,0,0.05,0.05,0.02,0.07,0.44,3.67,0.64
Tanguy Ndombele,MF,Tottenham,21,12,1009,11.2,0.18,0.18,0.36,0.18,0,0,0.27,0,0.04,0.04,0.06,0.1,1.96,6.88,2.95
