goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,blocks,xg,npxg,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_completed_medium,passes_medium,passes_completed_long,passes_long,xg_assist,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_tackled,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,sca,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_clean_sheets,gk_psxg,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_passed_completed_launched,gk_passes_launched,gk_passes,gk_passes_throws,gk_passes_length_avg,gk_goal_kicks,gk_goal_kicks_length_avg,match_id,date,season,competition_id,referee_id,home_team_id,away_team_id,home_goals,away_goals,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_corners,away_corners,home_fouls,away_fouls,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards
0.3454052196,0.3202564997,0.0441552061,0.102520561,1.8468724883,0.6857585185,0.2332050289,0.0211740775,0.9022457595,0.37546494,0.2937537836,-1050.4490787941,-187.2835109045,12.1050482235,20.5997333771,-40.8178307439,-39.4138730423,-7.5778703061,-9.460337394,0.1829424839,0.1508109107,1.8040609192,-0.2693698602,-0.7447983415,0.1900072545,-2.6884211538,0.9334923099,1.0205333382,1.0346622784,-0.7626007442,0.6614307757,0.8279335962,1.323825929,-2.1616312347,3.0638769942,2.8393832129,3.3244850457,-0.8316359245,-11.9890408262,-14.0442131377,-42.8783989239,7.9617261568,23.9628146254,1.5346693742,-12.0915613872,4.8612590355,1.8095753772,3.0508475704,-41.0256456402,-416.3985566241,-316.8330507019,0.8187823901,2.1018391612,0.2751918826,-1.127339029,1.9428293516,-34.8573929174,-0.3342753385,3.8512307759,1.4980808066,0.6348245432,0.8882127242,-0.2917063501,0.9498108544,0.1720081977,0.6854092848,0.5852520601,-0.1244790826,0.2133088983,-0.0446725196,0.0539559198,0.0020440088,-2.5851521601,-1.2154296989,-1.3893368326,0.0896576704,-0.8510841113,-0.3177645489,-0.3243025933,0.0065380443,0.0,0.0,3.2281113272,-3.2269604383,-2.3023184829,6.0060324102,-1.2960104257,0.0,m-01343,2021-01-31,2020-2021,x-00005,r-00003,t-00032,t-00031,1,3,18,8,8,7,6,4,17,16,0,3,0,0
0.0740676304,-0.6888810216,0.0981484682,0.1008506582,2.5039086112,-0.4404786555,0.3323299818,-0.0144447192,0.8521304191,0.6869917596,0.6171849098,-717.0659238412,-311.1227973379,-38.568803158,-42.3337177397,-23.2161746339,-24.8867407406,3.3870418646,4.0469343575,0.2021949292,0.599927755,2.7330525784,-0.2712377814,1.9626321376,1.7976631008,2.8163615235,1.4112931275,0.9260962128,-0.5282225491,1.2110107687,0.728504908,-0.433529701,-0.0042582776,-0.6423513199,1.4944817391,1.2163126217,-3.7521863047,-0.5176928842,-62.0001224022,-10.2640084149,-25.1329900926,-52.6028366027,16.0728379764,7.7543320324,-62.0986616644,2.3610848287,0.9318462091,1.3805313944,-33.9824941354,-17.3371539134,-11.3869684148,2.2083250268,-0.8082062603,0.1682493901,1.5533686276,-0.97054498,-53.9144788249,6.5472167748,4.2120235365,4.725499897,1.1441961824,-0.3256333458,-0.1516397092,-1.0035509366,-0.1768485512,-0.6536444079,-0.6928268687,0.0798959004,-0.2248330678,-0.1419709868,0.3342784803,-0.0081878653,-2.0540893621,-0.0813390124,-1.835677242,0.0046075272,-0.498195346,0.1474871256,0.0927388902,-0.0029031153,0.0576513506,0.0,2.1413281419,-0.6549395768,-1.9954376489,-1.3937985484,-0.008843787,0.0,m-01344,2021-01-31,2020-2021,x-00005,r-00024,t-00012,t-00064,1,0,16,8,5,4,9,2,11,11,2,1,0,0
-0.4683756638,-0.5311373116,-0.1803997434,-0.1824968492,-4.2783558225,-1.4682361634,-0.6724447592,-0.0066529676,2.3093082389,-0.6843184573,-0.5386405472,-7692.1049767158,-1771.7959962849,-181.7788539038,-186.9716501168,-221.7286951027,-229.2497775055,-30.9132447281,-35.0775368054,-0.656492728,-0.5942187366,-4.7804847121,-32.7356265472,-9.1465667863,0.1110006458,-33.7146822927,-2.2192535605,-0.9465183647,2.3178280367,-1.6272983728,-2.9097832244,-1.7806238682,-3.7250135872,1.3608259324,0.9484823065,-0.959305647,4.7513629709,-0.4423075903,-461.5711603632,0.0905661243,-55.9464083922,-305.5309099694,-101.7099950169,-13.017565936,-461.3886635139,-0.7381937294,-1.4331253792,0.6928590289,-384.301507979,-1406.7176545165,-839.5258361284,-7.1422795991,-12.0969698624,-3.3393840519,-0.0628439369,-1.0429759368,-424.4874748225,-23.4049315336,-9.5428194153,-8.7344388084,-0.300740896,-0.8772107179,-0.3233530961,0.4962540684,0.1966700347,-1.166661312,-0.7004879555,0.0437097394,-0.3953086762,-0.3239999691,-0.0716845348,0.2811100843,-0.5437275758,0.0668988702,-0.6140610793,-0.2179022326,-0.0802022904,0.0981153246,0.095862784,0.0084219903,-0.0061694496,0.0,10.7488728341,-10.136552508,-2.3309610875,9.2796988426,0.6456610717,0.0,m-01345,2021-01-31,2020-2021,x-00005,r-00007,t-00069,t-00033,1,3,8,14,2,5,6,5,7,8,2,0,0,0
-0.3800629798,0.6204766904,0.1320402174,0.2190765742,4.0212270373,1.5711642106,0.197813495,0.006263166,-0.6760636746,0.2291736356,0.0549977203,2327.0548832964,662.0960785612,50.6255573796,48.6283599044,50.126282025,43.7211790927,19.5426735404,11.7960097461,0.4312680814,0.4384060675,3.4374387196,10.2561129637,2.1297344019,0.3138004322,17.7610560802,-3.0662640056,-2.3990228164,-1.1151607514,-1.947443742,-0.0036595123,-1.5537191061,-5.3812945548,0.6592498653,-1.4762766928,-0.1650395682,1.6427390808,0.2897063305,106.8144636281,9.1212978612,51.0904123764,16.1902306124,41.5577234345,8.6023451413,106.592391826,-1.6687039427,1.4108875221,-3.2399280471,97.4797587251,594.9578397037,450.7271044031,7.2847981436,2.9482167383,1.9147800955,-2.9125806725,-4.9817901811,113.900989254,14.649414567,7.4718676603,5.9302449678,0.8569983329,0.4294156183,0.6278496952,-0.2261790902,-0.1464618637,0.6276535853,0.7416672949,-0.0047766947,0.1183137078,0.0164952837,-0.2319534392,-0.0120925673,0.1796230769,-0.049809565,0.1832756617,0.117381325,-0.1424710378,-0.0336501841,-0.0333580307,-0.0019849651,0.0016928116,0.0,-6.7374215805,-6.7263018763,0.8433056627,0.8505417902,1.4930121422,0.0,m-01346,2021-02-02,2020-2021,x-00005,r-00012,t-00036,t-00057,9,0,24,3,14,1,5,3,11,6,2,3,0,2
-0.1118338935,-0.1764334533,-0.0800111053,-0.0812245,3.2981670373,0.4636723722,0.7216278521,-0.0138933184,-2.4479126246,0.4657555467,0.529126019,1034.4573923131,115.4533299807,41.2404459466,40.6827355409,22.0266680304,19.4358365298,4.1313470152,2.5686693071,0.4550548586,0.3622881531,2.6269848802,7.2279506066,3.4469709903,0.6029002967,7.5325419525,-0.1970228615,-1.1577721545,-2.056959112,1.635533227,0.2244030234,0.1503950649,-2.5001978747,-1.7440817776,-0.703830847,-0.9774390255,-5.0779750815,-0.0598322899,73.4575541417,-18.2150558993,-19.8462959688,42.4731819923,51.7237350954,8.2502015961,73.5387786417,1.4777165997,1.252918036,0.2207953472,56.2232093011,184.6089334129,120.3174394175,0.3952269447,5.1457615248,0.668293784,-0.9296746478,-0.1637639931,78.2449593829,3.5770741973,4.5148433681,4.2882189492,0.1971472048,0.4349196857,-0.0405580714,-0.3561360454,-0.0087483548,-0.7247471855,-0.5427674778,-0.0659496683,0.015508377,-0.0486308109,-0.0829076054,0.0,-1.859322227,-0.7173439799,-1.2785156034,0.034713319,-1.0478355603,-0.0748730029,-0.0859936925,0.0055603448,0.0055603448,0.0,-5.6893603736,-5.3438075718,-1.3693423851,-3.9464108261,-3.5957029885,0.0,m-01347,2021-02-02,2020-2021,x-00005,r-00016,t-00055,t-00068,2,1,14,8,6,4,9,2,11,9,2,1,0,0
-0.3165283319,-0.4387700758,-0.0392043433,-0.0432571434,0.3806495214,0.4448764972,-0.8112613139,-0.2207027771,-0.8198663349,-0.4438094047,-0.4135037064,-2909.8687140537,-849.6961496469,-54.4572363792,-62.0830794277,-94.4513011964,-99.6220343564,-8.6822874771,-20.3972686657,-0.5158015072,-0.2874982387,0.4724696976,-11.7241617409,-3.6474830501,0.2763171146,-19.4488542696,-3.2543160003,-3.3764612864,1.4579699535,-3.0612062484,-1.6510797054,-2.3008416162,-2.7570574187,-0.8863052155,0.0664388805,1.1549617925,-5.8093964876,-0.5563157875,-187.2935831357,-34.4087256214,-84.4400977638,-70.0951250245,-31.7283140508,-5.8659078312,-187.2503259923,5.2864841121,2.0514166977,3.2294632202,-148.93315818,-800.1783619972,-433.9549382794,-0.9638558275,-1.6210264656,-2.0117072141,1.0089403437,-1.3246564555,-151.1221591274,-17.8391902312,1.0381496234,1.337037075,0.9133469075,-0.7292708877,-0.1573796575,-0.2727692647,-0.0528145492,-0.7326398984,-0.3965351381,-0.0015158101,-0.2844055221,-0.080830678,0.0930923619,-0.0624451121,-2.471984029,-0.6931402175,-1.8329561134,-0.2618688565,-0.5174412164,0.1503721448,0.1481270128,0.0011513131,0.0010938188,0.0,-2.1822046393,-22.7076946841,-5.1071336575,-6.1456826636,-3.3204097343,0.0,m-01348,2021-02-02,2020-2021,x-00005,r-00004,t-00071,t-00002,2,1,11,9,7,3,9,6,11,8,3,2,0,2
0.4747652655,0.0100662981,-0.0872325302,-0.0858063379,2.5666615263,0.9758776157,0.6981640288,0.015766844,2.1030096622,0.0619535887,0.1299223579,-531.7999054045,-251.3426433859,-42.8160703251,-44.8080403635,-23.8448953167,-17.8882013604,8.3463920085,19.794335219,-0.0637802899,-0.2647920662,0.0970560356,-2.5536409591,-0.7956083648,1.0842762858,-7.7907772582,-1.4627864406,-1.6965539596,-1.2112380078,-0.1018335241,-0.1497149088,-2.2957411866,-1.5049612392,0.3266216701,1.7763879921,1.9553983017,5.0757719018,-0.0511417027,-22.5913286949,10.444306325,2.4246986332,-27.4293385137,2.9310256296,-4.302084758,-22.5025551094,-4.6799508714,-2.3310089225,-2.3503159448,-36.3413800565,-279.2926577757,-119.5755502435,-2.2711773599,-1.5252123068,-2.740636834,1.360395816,-2.8882624467,-47.7791068511,-8.1229924492,2.9358721792,0.3632754392,1.7988977069,-0.1182612351,0.1154662743,0.6243352461,0.1521587478,0.1466270438,0.034415963,0.1784865499,-0.1382331382,-0.0341355476,0.1074229785,-0.0013297618,-0.1433811718,0.1826138997,-0.2667934401,-0.0704500643,0.4073271053,0.1823306857,0.1782588014,0.0081924367,-0.0041205524,0.0,3.6632928221,0.6527281504,-0.9089280275,8.7115958255,2.1021101163,0.0,m-01349,2021-02-02,2020-2021,x-00005,r-00022,t-00040,t-00022,1,2,21,6,5,3,9,1,14,11,1,3,0,0
-1.5829857108,-1.0512293278,-0.0550141914,-0.1370421584,-10.8328480325,-4.4138808856,0.3396252214,-0.010675338,4.9234331269,-1.4333039858,-1.3232442809,-6987.8418421543,-1318.7968690458,-209.3092347934,-208.1002739686,-207.2363455385,-207.0654461883,-17.5057750635,9.6096775368,-0.9471804832,-0.9100053612,-7.8991843793,-33.4014618207,-8.4161002627,0.0744017727,-45.8029298705,2.5677833094,0.661975099,2.707572582,-0.1839559602,0.0441666876,3.1463394767,6.3440052876,4.4203086289,0.503124498,4.8428736046,12.4509406289,0.0597522092,-408.6534060649,15.1474827538,-32.8638644691,-241.2338067949,-136.3777799689,-21.870529399,-408.518340365,-10.6450627308,-7.1427738698,-3.5005378863,-388.4278674441,-2041.8403387103,-1272.2955985449,-25.0757165052,-16.3223264181,-8.6288240016,0.6436037397,-0.6828710521,-444.9116869342,-39.2263118771,-19.1453401732,-15.3971695622,-0.3571780969,-2.3232646533,-0.9149924091,0.1649164562,-0.3176519079,-2.943686137,-2.1460657274,0.0367264281,-0.3993495193,-0.2470674785,-0.0779410835,-0.1099887564,4.9834298191,1.582802984,3.4040726509,-0.4806088897,1.5166528438,0.1306002334,0.1299130515,-0.000447754,0.0011349358,0.0,18.7293355921,-3.1827433958,-0.9995336653,23.9816627542,3.8456366035,0.0,m-01350,2021-02-03,2020-2021,x-00005,r-00011,t-00014,t-00035,0,2,2,17,0,6,1,3,8,5,2,1,0,0
1.3057314773,1.0619190531,-0.0256935691,-0.0636369323,8.6009137525,3.5923650793,-0.1419414986,-0.0047669084,-3.1019322205,0.68977985,0.7363358982,6355.01746739,1857.4438731517,178.4362456342,184.7810282824,164.3513168809,171.977384226,27.965444438,30.8674146775,0.7229079091,0.8278802519,6.3608838486,33.0462882641,10.0602913288,-0.4822357887,42.9648914891,-2.4194223743,-1.2429349747,-3.2313839259,-0.3440770278,1.1560385794,-2.4782258694,-5.4921231426,-1.876256092,-1.2256761285,-2.2958409773,-2.8654893484,0.3322558986,390.057659263,-2.8295770802,29.9931884779,265.453420793,96.0853300208,15.4589272647,390.1205947665,1.384122071,1.0351847959,0.3480457108,326.4989308025,1353.7683913723,808.6088989521,10.5650095523,11.3315757342,3.1274903759,-0.6823760163,1.9441460518,354.6320401204,19.6558989615,14.6832609527,12.3353109783,0.9760785818,0.5182483969,0.6506561769,0.0907336387,0.1122331802,2.2312420529,1.7246019743,0.2772154052,0.2818741368,-0.150929734,0.0865587912,0.0119214793,0.9034533658,0.1226648972,0.7223523776,0.1110001155,0.4081337425,-0.0955458046,-0.0027699764,0.0012412581,-0.0940170863,0.0,-4.4203423431,11.8061466566,3.8944232705,13.3415108754,0.6897168079,0.0,m-01351,2021-02-03,2020-2021,x-00005,r-00008,t-00033,t-00012,0,1,11,13,1,4,6,3,12,6,1,0,0,0
-0.2918744705,0.0837398906,0.0634090688,0.1488411157,2.5294759696,1.4814130339,0.1529269806,-0.1677129835,-0.0538362255,0.6080933013,0.4952812011,-899.1849897216,-487.2779007675,-30.1375605781,-37.2035341398,-9.0238589725,-16.1805073823,-8.1570412036,-16.2216720055,0.3890834899,-0.0142555098,1.8914981702,-3.6886888724,1.0762758418,1.0477675869,-2.3423639181,-4.9199284416,-4.9340575807,-4.5050289104,-0.8462797943,0.4313802631,-3.5640466063,-5.5270794604,1.9009845703,-1.9548207959,-3.1354653348,-3.0583607133,0.1439592097,-83.436061486,-9.4327344584,-31.6188250294,-46.684845079,-5.0653000174,4.0261076515,-83.5849026018,-1.5699083332,-0.4940634233,-1.203831538,-31.6069206423,-193.1571000676,-37.1887303657,0.710570868,0.74385675,1.7869555076,2.5679768056,-1.6287074807,-40.789256271,-2.5920213046,4.3233597694,2.251280181,0.7699722114,0.7961756029,0.6773599177,0.2760547775,-0.4474829211,-0.0392099299,0.4228605388,-0.1013549869,-0.0018803537,0.0993646215,-0.047316613,-0.4108831366,-1.9506629634,-0.1677792172,-2.1027745351,-0.2546568421,-0.2637619164,-0.0368339354,0.0123719365,0.0016677159,-0.0508735878,0.0,-10.3603513162,-5.1801676853,-1.3223609674,-23.0579200283,-3.9636076347,0.0,m-01352,2021-02-03,2020-2021,x-00005,r-00021,t-00003,t-00069,1,3,9,20,2,10,7,3,11,15,1,1,0,0
