player,position,team,matches_played,starts,minutes_played,90s,goals,assists,goals+assists,non_penalty_goals,penalties_scored,penalties_attempted,yellow_cards,red_cards,expected_goals,non_penalty_expected_goals,expected_assisted_goals,non_penalty_expected_goals+expected_assisted_goals,progressive_carries,progressive_passes,progressive_passes_recieved
Héctor Bellerín,DF,Arsenal,19,18,1533,17,0,5,5,0,0,0,3,0,0.9,0.9,2.2,3.1,48,88,121
Joe Bennett,DF,Cardiff City,30,30,2639,29.3,0,1,1,0,0,0,5,0,0.5,0.5,0.9,1.4,28,86,41
Ryan Bennett,DF,Wolves,34,34,3060,34,1,0,1,1,0,0,12,0,1.3,1.3,1,2.2,14,92,10
Christian Benteke,FW,Crystal Palace,16,9,814,9,1,1,2,1,0,0,1,0,3.4,3.4,0.8,4.2,6,13,53
Jóhann Berg Guðmundsson,MF,Burnley,29,19,1752,19.5,3,6,9,3,0,0,2,0,2.8,2.8,4.3,7.1,55,39,108
Bernard,"FW,MF",Everton,34,25,2116,23.5,1,3,4,1,0,0,5,0,2.6,2.6,2.3,5,99,89,202
Bernardo,DF,Brighton,22,19,1752,19.5,0,1,1,0,0,0,4,0,0.4,0.4,0.6,1.1,46,84,53
Ryan Bertrand,DF,Southampton,24,24,2160,24,1,0,1,1,0,0,8,0,1.2,1.2,1.7,2.9,49,94,102
Marcus Bettinelli,GK,Fulham,7,7,630,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Philip Billing,MF,Huddersfield,27,25,2188,24.3,2,0,2,2,0,0,7,0,1.8,1.8,1.7,3.4,53,101,59
Yves Bissouma,MF,Brighton,28,17,1774,19.7,0,0,0,0,0,0,5,0,1.8,1.8,1,2.8,53,83,39
Willy Boly,DF,Wolves,36,36,3167,35.2,4,0,4,4,0,0,2,1,3.6,3.6,2.1,5.6,29,136,12
Léo Bonatini,FW,Wolves,7,0,135,1.5,0,1,1,0,0,0,0,0,1.3,1.3,0.1,1.4,1,8,15
Gaëtan Bong,DF,Brighton,22,19,1808,20.1,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.6,36,66,40
Artur Boruc,GK,Bournemouth,12,12,1080,12,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Robbie Brady,MF,Burnley,16,6,720,8,0,1,1,0,0,0,3,1,0.6,0.6,1.4,2,14,19,26
Miguel Britos,DF,Watford,3,2,185,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
David Brooks,"MF,FW",Bournemouth,30,29,2261,25.1,7,5,12,7,0,0,3,0,6,6,5,10.9,66,95,144
Bruno,DF,Brighton,14,14,1131,12.6,0,1,1,0,0,0,2,0,0.1,0.1,0.6,0.7,4,52,26
Joe Bryan,"DF,MF",Fulham,28,27,2345,26.1,0,1,1,0,0,0,5,0,0.7,0.7,3.5,4.2,73,118,95
David Button,GK,Brighton,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Willy Caballero,GK,Chelsea,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gary Cahill,DF,Chelsea,2,0,24,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
Tom Cairney,"MF,FW",Fulham,31,24,2194,24.4,1,1,2,1,0,0,0,0,1.1,1.1,2.6,3.7,60,169,106
Dominic Calvert-Lewin,FW,Everton,35,19,1784,19.8,6,2,8,6,0,0,3,0,5.5,5.5,1.4,6.9,32,31,136
Rafael Camacho,DF,Liverpool,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Víctor Camarasa,MF,Cardiff City,32,31,2569,28.5,5,4,9,4,1,1,6,0,4,3.2,3.8,6.9,50,77,92
Étienne Capoue,MF,Watford,33,33,2944,32.7,1,3,4,1,0,0,14,1,1.4,1.4,1,2.4,17,170,11
Andy Carroll,FW,West Ham,12,3,461,5.1,0,0,0,0,0,0,2,0,2.2,2.2,0.4,2.6,1,9,15
Jonny Castro,"DF,MF",Wolves,33,32,2771,30.8,1,1,2,1,0,0,6,0,2,2,1.6,3.6,85,75,161
Craig Cathcart,DF,Watford,36,35,3096,34.4,3,0,3,3,0,0,2,0,1.5,1.5,0.2,1.8,6,71,2
Ivan Cavaleiro,"FW,MF",Wolves,23,6,693,7.7,3,1,4,3,0,0,1,0,2.2,2.2,1.5,3.7,42,25,101
Petr Čech,GK,Arsenal,7,7,584,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathaniel Chalobah,MF,Watford,9,3,270,3,0,0,0,0,0,0,2,0,0.1,0.1,0.3,0.3,0,8,8
Calum Chambers,"MF,DF",Fulham,31,29,2588,28.8,2,0,2,2,0,0,9,0,2.3,2.3,0.9,3.2,20,158,28
Ben Chilwell,DF,Leicester City,36,36,3240,36,0,4,4,0,0,0,4,0,1.1,1.1,2.9,4.1,146,146,215
Tahith Chong,FW,Manchester Utd,2,0,38,0.4,0,0,0,0,0,0,0,0,0.4,0.4,0,0.4,2,5,7
Hamza Choudhury,MF,Leicester City,9,7,595,6.6,0,0,0,0,0,0,0,0,0.5,0.5,0.4,0.9,3,21,12
Andreas Christensen,DF,Chelsea,8,6,617,6.9,0,0,0,0,0,0,1,0,0,0,0,0,3,35,1
Cyrus Christie,"DF,MF",Fulham,28,19,1948,21.6,0,1,1,0,0,0,7,0,0.4,0.4,1.2,1.7,70,81,138
Ibrahima Cissé,MF,Fulham,3,1,88,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Ciaran Clark,DF,Newcastle Utd,11,9,858,9.5,3,0,3,3,0,0,1,0,0.5,0.5,0.1,0.6,1,15,2
Tom Cleverley,MF,Watford,13,4,478,5.3,1,0,1,1,0,0,2,0,0.2,0.2,0.1,0.3,6,17,6
Nathaniel Clyne,DF,Bournemouth,14,13,1143,12.7,0,1,1,0,0,0,2,0,0.1,0.1,0.1,0.3,14,39,32
Nathaniel Clyne,DF,Liverpool,4,1,111,1.2,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,2,4,3
Conor Coady,DF,Wolves,38,38,3420,38,0,0,0,0,0,0,5,0,0,0,0,0,11,78,0
Joel Coleman,GK,Huddersfield,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Séamus Coleman,DF,Everton,29,29,2558,28.4,2,2,4,2,0,0,1,0,1.6,1.6,3.6,5.2,71,125,190
Lewis Cook,MF,Bournemouth,13,8,723,8,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,11,48,8
Steve Cook,DF,Bournemouth,31,31,2786,31,1,1,2,1,0,0,3,0,1.3,1.3,0.9,2.2,25,106,10
Jack Cork,MF,Burnley,37,37,3312,36.8,1,2,3,1,0,0,6,0,1.4,1.4,2.2,3.6,21,99,56
Hélder Costa,"FW,MF",Wolves,25,16,1341,14.9,1,2,3,1,0,0,3,0,2.4,2.4,2.2,4.6,67,37,127
Aaron Cresswell,DF,West Ham,20,18,1589,17.7,0,1,1,0,0,0,1,0,0.5,0.5,1.1,1.5,35,94,103
Peter Crouch,FW,Burnley,6,0,92,1,0,0,0,0,0,0,1,0,0.6,0.6,0,0.6,0,4,12
Greg Cunningham,DF,Cardiff City,7,7,630,7,0,0,0,0,0,0,3,0,0.1,0.1,0.2,0.3,4,24,9
Diogo Dalot,"DF,FW",Manchester Utd,16,12,1013,11.3,0,2,2,0,0,0,3,0,0.7,0.7,2.3,3,42,31,82
Matty Daly,MF,Huddersfield,2,0,75,0.8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
Loïc Damour,MF,Cardiff City,2,0,23,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Charlie Daniels,DF,Bournemouth,21,17,1585,17.6,1,0,1,1,0,0,4,0,0.4,0.4,0.6,1,40,83,82
Danilo,DF,Manchester City,11,9,807,9,1,0,1,1,0,0,1,0,0.4,0.4,0.2,0.6,20,77,33
Scott Dann,DF,Crystal Palace,10,7,663,7.4,0,1,1,0,0,0,1,0,0.2,0.2,0.7,0.9,3,11,0
Matteo Darmian,DF,Manchester Utd,6,5,443,4.9,0,0,0,0,0,0,0,0,0,0,0.1,0.1,7,20,18
Ben Davies,DF,Tottenham,27,20,1844,20.5,0,0,0,0,0,0,2,0,0.5,0.5,2.1,2.6,44,101,117
Tom Davies,MF,Everton,16,10,980,10.9,0,0,0,0,0,0,3,0,0.3,0.3,0.5,0.8,11,55,20
Steven Davis,MF,Southampton,3,1,98,1.1,0,1,1,0,0,0,0,0,0,0,0.5,0.5,1,7,1
Kevin De Bruyne,MF,Manchester City,19,11,975,10.8,2,2,4,2,0,0,2,0,1.4,1.4,5.7,7,50,109,88
Troy Deeney,FW,Watford,32,28,2545,28.3,9,5,14,8,1,1,4,1,9.5,8.7,4.6,13.4,23,87,161
Jermain Defoe,FW,Bournemouth,4,0,25,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,0
Steven Defour,MF,Burnley,6,6,448,5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,6,23,3
Fabian Delph,DF,Manchester City,11,8,725,8.1,0,1,1,0,0,0,1,1,0.1,0.1,0.3,0.4,20,59,23
Mousa Dembélé,MF,Tottenham,10,7,515,5.7,0,0,0,0,0,0,1,0,0,0,0,0,7,16,9
Leander Dendoncker,MF,Wolves,19,17,1467,16.3,2,0,2,2,0,0,1,0,3.4,3.4,1.2,4.7,15,44,31
Laurent Depoitre,FW,Huddersfield,23,10,1068,11.9,0,1,1,0,0,0,1,0,2.5,2.5,0.7,3.2,10,20,72
Gerard Deulofeu,"FW,MF",Watford,30,26,2066,23,10,5,15,10,0,0,3,0,8,8,4.1,12.1,100,67,193
Fousseni Diabaté,FW,Leicester City,1,1,54,0.6,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,5
Adama Diakhaby,"FW,MF",Huddersfield,12,6,552,6.1,0,0,0,0,0,0,1,0,0.6,0.6,0.5,1.1,22,5,57
Mohamed Diamé,MF,Newcastle Utd,29,24,2166,24.1,0,0,0,0,0,0,3,0,1,1,0.1,1.2,17,58,15
Grady Diangana,"MF,FW",West Ham,17,6,609,6.8,0,1,1,0,0,0,0,0,0.5,0.5,1.2,1.7,20,21,72
Eric Dier,"MF,DF",Tottenham,20,18,1506,16.7,3,0,3,3,0,0,4,0,1,1,1,2,18,95,7
Lucas Digne,DF,Everton,35,33,2965,32.9,4,4,8,4,0,0,5,1,1.3,1.3,7.1,8.4,82,167,221
Issa Diop,DF,West Ham,33,33,2970,33,1,0,1,1,0,0,4,0,1.2,1.2,0.2,1.3,9,73,2
Matt Doherty,"DF,MF",Wolves,38,35,3144,34.9,4,5,9,4,0,0,5,0,4.4,4.4,5.1,9.5,80,129,221
Abdoulaye Doucouré,MF,Watford,35,34,3062,34,5,6,11,5,0,0,7,0,6.2,6.2,4.7,10.8,58,202,83
Luke Dreher,FW,Crystal Palace,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Dúbravka,GK,Newcastle Utd,38,38,3420,38,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Shane Duffy,DF,Brighton,35,35,3087,34.3,5,1,6,5,0,0,4,1,3.1,3.1,0.3,3.4,1,35,11
Demeaco Duhaney,DF,Huddersfield,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
Paul Dummett,DF,Newcastle Utd,26,21,1990,22.1,0,0,0,0,0,0,1,0,0.3,0.3,0.7,1,10,68,16
Lewis Dunk,DF,Brighton,36,36,3151,35,2,1,3,2,0,0,6,1,1.8,1.8,0.8,2.6,16,63,6
Erik Durm,DF,Huddersfield,28,21,2055,22.8,0,1,1,0,0,0,0,0,0.4,0.4,0.6,1,42,61,106
Bruno Ecuele Manga,DF,Cardiff City,38,37,3376,37.5,0,1,1,0,0,0,0,0,1.1,1.1,0.4,1.5,18,102,19
Ederson,GK,Manchester City,38,38,3420,38,0,1,1,0,0,0,2,0,0,0,0.1,0.1,0,3,0
Harvey Elliott,MF,Fulham,2,0,20,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,2,2
Mohamed Elneny,MF,Arsenal,8,5,380,4.2,0,0,0,0,0,0,0,0,0.4,0.4,0.2,0.6,4,31,4
Mohamed Elyounoussi,MF,Southampton,16,8,793,8.8,0,0,0,0,0,0,0,0,2.1,2.1,1.1,3.2,20,20,54
Christian Eriksen,MF,Tottenham,35,30,2774,30.8,8,12,20,8,0,0,3,0,5.4,5.4,7.4,12.8,78,212,132
Neil Etheridge,GK,Cardiff City,38,38,3420,38,0,0,0,0,0,0,2,0,0,0,0.1,0.1,0,0,0
Jonny Evans,DF,Leicester City,24,21,1996,22.2,1,0,1,1,0,0,2,0,0.9,0.9,0.3,1.1,4,33,3
Łukasz Fabiański,GK,West Ham,38,38,3420,38,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0
Fabinho,MF,Liverpool,28,21,2017,22.4,1,2,3,1,0,0,6,0,1,1,1.8,2.8,28,130,19
Cesc Fàbregas,MF,Chelsea,6,1,180,2,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,3,21,9
Fabricio,GK,Fulham,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marouane Fellaini,MF,Manchester Utd,14,6,752,8.4,0,1,1,0,0,0,1,0,0.4,0.4,0.4,0.9,1,36,29
Kiko Femenía,DF,Watford,29,22,2049,22.8,1,1,2,1,0,0,1,0,0.4,0.4,1.6,2,41,106,84
Federico Fernández,DF,Newcastle Utd,19,17,1484,16.5,0,1,1,0,0,0,2,0,0.2,0.2,0.5,0.7,2,40,3
Fernandinho,MF,Manchester City,29,27,2377,26.4,1,3,4,1,0,0,5,0,1.6,1.6,3,4.5,58,236,29
Roberto Firmino,"FW,MF",Liverpool,34,31,2607,29,12,6,18,11,1,1,0,0,13.6,12.8,5.5,18.3,62,148,244
Phil Foden,MF,Manchester City,13,3,335,3.7,1,0,1,1,0,0,0,0,2.1,2.1,0.9,3,23,18,35
Fraser Forster,GK,Southampton,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben Foster,GK,Watford,38,38,3420,38,0,0,0,0,0,0,1,0,0,0,0.2,0.3,0,0,0
Timothy Fosu-Mensah,DF,Fulham,12,10,793,8.8,0,0,0,0,0,0,3,0,0.1,0.1,0.4,0.5,22,39,43
Juan Foyth,DF,Tottenham,12,10,888,9.9,1,0,1,1,0,0,3,1,0.7,0.7,0.8,1.5,8,26,3
Simon Francis,DF,Bournemouth,17,13,1229,13.7,0,2,2,0,0,0,1,0,0.1,0.1,0.6,0.8,18,69,35
Ryan Fraser,"MF,FW",Bournemouth,38,35,3166,35.2,7,14,21,7,0,0,2,0,4.7,4.7,13.4,18.1,119,142,279
Fred,MF,Manchester Utd,17,13,1041,11.6,1,1,2,1,0,0,2,0,0.8,0.8,1,1.9,18,73,21
Ryan Fredericks,DF,West Ham,15,12,1086,12.1,1,0,1,1,0,0,5,0,0.5,0.5,0.5,1,30,31,37
Christian Fuchs,DF,Leicester City,3,2,207,2.3,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,3,14,24
Manolo Gabbiadini,"FW,MF",Southampton,12,4,476,5.3,1,0,1,1,0,0,0,0,1.2,1.2,0.4,1.6,5,5,25
Sam Gallagher,FW,Southampton,4,0,34,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Idrissa Gana Gueye,MF,Everton,33,32,2822,31.4,0,2,2,0,0,0,6,0,0.6,0.6,0.8,1.4,40,216,30
James Garner,MF,Manchester Utd,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paulo Gazzaniga,GK,Tottenham,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David de Gea,GK,Manchester Utd,38,38,3420,38,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Rachid Ghezzal,"FW,MF",Leicester City,19,8,743,8.3,1,0,1,1,0,0,3,0,1.4,1.4,1.7,3.1,36,40,77
Morgan Gibbs-White,"MF,FW",Wolves,26,5,663,7.4,0,1,1,0,0,0,1,0,1.1,1.1,1.3,2.4,13,28,47
Ben Gibson,DF,Burnley,1,1,62,0.7,1,0,1,1,0,0,1,0,0.7,0.7,0,0.7,0,2,0
Olivier Giroud,FW,Chelsea,27,7,847,9.4,2,4,6,2,0,0,1,0,4.6,4.6,2.2,6.8,3,9,75
André Gomes,MF,Everton,27,24,1980,22,1,1,2,1,0,0,7,0,1.6,1.6,0.6,2.2,49,145,22
Angel Gomes,"MF,FW",Manchester Utd,2,0,27,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,2,2,3
Joe Gomez,DF,Liverpool,16,12,1063,11.8,0,0,0,0,0,0,2,0,0.3,0.3,0.4,0.7,6,38,13
Jon Gorenc Stanković,"MF,DF",Huddersfield,11,9,715,7.9,1,0,1,1,0,0,2,0,1,1,0.1,1.1,5,17,4
Dan Gosling,MF,Bournemouth,25,19,1739,19.3,2,1,3,2,0,0,8,0,1.9,1.9,1.5,3.4,7,116,23
Karlan Grant,FW,Huddersfield,13,9,877,9.7,4,0,4,4,0,0,0,0,3.6,3.6,0.3,3.9,22,14,51
Andre Gray,FW,Watford,29,13,1366,15.2,7,2,9,7,0,0,2,0,5,5,1.9,7,21,15,96
Demarai Gray,"FW,MF",Leicester City,34,23,1985,22.1,4,1,5,4,0,0,2,0,4.5,4.5,1.3,5.8,73,53,180
Mason Greenwood,FW,Manchester Utd,3,1,117,1.3,0,0,0,0,0,0,0,0,0.7,0.7,0.1,0.8,8,3,18
Pascal Groß,"MF,FW",Brighton,25,24,1864,20.7,3,3,6,2,1,2,1,0,4.4,2.8,5.5,8.4,26,110,106
Vicente Guaita,GK,Crystal Palace,20,20,1754,19.5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Mattéo Guendouzi,MF,Arsenal,33,23,2149,23.9,0,0,0,0,0,0,9,0,0.6,0.6,1.8,2.4,71,200,50
İlkay Gündoğan,MF,Manchester City,31,23,2137,23.7,6,3,9,6,0,0,3,0,4.1,4.1,4.3,8.4,82,205,91
Angus Gunn,GK,Southampton,12,12,1080,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aron Gunnarsson,MF,Cardiff City,28,27,2266,25.2,1,1,2,1,0,0,5,0,2,2,1.6,3.6,10,85,12
Florent Hadergjonaj,"DF,MF",Huddersfield,24,19,1842,20.5,0,0,0,0,0,0,1,0,0.2,0.2,1.5,1.7,47,65,106
Ben Hamer,GK,Huddersfield,7,7,552,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kadeem Harris,MF,Cardiff City,13,3,375,4.2,1,0,1,1,0,0,1,0,0.5,0.5,0.4,1,15,5,34
Joe Hart,GK,Burnley,19,19,1710,19,0,0,0,0,0,0,0,0,0,0,0.1,0.1,1,2,0
Isaac Hayden,MF,Newcastle Utd,25,21,1859,20.7,1,4,5,1,0,0,3,1,0.9,0.9,2.3,3.2,10,54,38
Eden Hazard,FW,Chelsea,37,32,2923,32.5,16,15,31,12,4,4,2,0,10.5,7.4,10,17.4,276,249,439
Rhys Healey,FW,Cardiff City,3,0,52,0.6,0,0,0,0,0,0,0,0,0,0,0.1,0.1,2,0,7
Tom Heaton,GK,Burnley,19,19,1710,19,0,0,0,0,0,0,3,0,0,0,0.1,0.1,0,0,0
Jordan Henderson,MF,Liverpool,32,21,1987,22.1,1,3,4,1,0,0,2,1,1.5,1.5,1.8,3.2,36,160,59
Jeff Hendrick,"MF,FW",Burnley,32,25,2063,22.9,3,0,3,3,0,0,4,0,1.8,1.8,0.8,2.7,18,63,78
Wayne Hennessey,GK,Crystal Palace,18,17,1576,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Javier Hernández,FW,West Ham,25,14,1334,14.8,7,1,8,7,0,0,2,0,6.6,6.6,1.4,8.1,10,31,83
Ander Herrera,MF,Manchester Utd,22,16,1403,15.6,2,3,5,2,0,0,4,0,1.3,1.3,1.6,2.9,21,93,30
Son Heung-min,"FW,MF",Tottenham,31,23,2039,22.7,12,6,18,12,0,0,2,1,7.5,7.5,3.6,11.1,105,81,201
Gonzalo Higuaín,FW,Chelsea,14,13,1085,12.1,5,0,5,5,0,0,0,0,4.9,4.9,1.3,6.1,12,17,92
Wesley Hoedt,DF,Southampton,13,13,1170,13,0,0,0,0,0,0,2,0,0.4,0.4,0,0.4,6,46,0
Jonathan Hogg,MF,Huddersfield,29,29,2367,26.3,0,1,1,0,0,0,8,1,0.3,0.3,0.8,1.1,10,147,34
Junior Hoilett,"MF,FW",Cardiff City,32,23,2141,23.8,3,1,4,3,0,0,4,0,3.4,3.4,1.5,4.9,54,39,125
Rob Holding,DF,Arsenal,10,9,807,9,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,4,29,2
José Holebas,DF,Watford,28,27,2393,26.6,3,6,9,3,0,0,12,1,1,1,4.1,5.1,44,77,58
Mason Holgate,DF,Everton,5,4,408,4.5,0,0,0,0,0,0,1,0,0,0,0,0,2,34,0
Callum Hudson-Odoi,FW,Chelsea,10,4,393,4.4,0,1,1,0,0,0,0,0,0.7,0.7,1.4,2.2,20,13,59
Will Hughes,MF,Watford,32,31,2418,26.9,2,4,6,2,0,0,5,0,2.5,2.5,2.6,5.1,50,102,134
Emerson Hyndman,MF,Bournemouth,1,0,38,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Pierre Højbjerg,MF,Southampton,31,31,2760,30.7,4,3,7,4,0,0,8,2,2.6,2.6,2.4,5,43,204,73
Jordon Ibe,"MF,DF",Bournemouth,19,9,797,8.9,1,1,2,1,0,0,1,0,0.8,0.8,0.6,1.4,56,28,47
Vicente Iborra,MF,Leicester City,8,3,229,2.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,16,2
Kelechi Iheanacho,"FW,MF",Leicester City,30,9,941,10.5,1,3,4,1,0,0,2,0,2.1,2.1,1.6,3.6,13,23,63
