Player,Pos,Squad,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
Eddie Nketiah,FW,Arsenal,12,9,769,8.5,5,0,5,5,0,0,2,0,3.1,3.1,0.2,3.3,13,11,45
Oliver Norwood,MF,Sheffield Utd,11,10,881,9.8,1,0,1,0,1,1,3,0,1,0.2,0.4,0.6,0,39,6
Matheus Nunes,MF,Wolves,2,2,179,2,0,0,0,0,0,0,2,1,0.1,0.1,0.1,0.2,7,8,9
Matheus Nunes,MF,Manchester City,5,2,202,2.2,0,1,1,0,0,0,0,0,0,0,0.1,0.1,5,9,15
Darwin Núñez,FW,Liverpool,11,6,601,6.7,4,4,8,4,0,0,1,0,5,5,1.9,6.9,17,25,59
Christian Nørgaard,MF,Brentford,12,12,1030,11.4,1,1,2,1,0,0,4,0,1.9,1.9,1.2,3.1,2,73,22
Dara O'Shea,DF,Burnley,8,7,675,7.5,0,1,1,0,0,0,0,0,0.2,0.2,0.1,0.2,6,28,3
Michael Obafemi,MF,Burnley,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Wilson Odobert,"FW,MF",Burnley,5,2,163,1.8,1,0,1,1,0,0,1,0,0.3,0.3,0.5,0.8,11,2,15
Chiedozie Ogbene,"MF,FW",Luton Town,12,8,762,8.5,1,0,1,1,0,0,0,0,0.9,0.9,0.9,1.7,50,14,57
Angelo Ogbonna,DF,West Ham,3,1,113,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Michael Olakigbe,"FW,MF",Brentford,4,0,16,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,6,3,10
Michael Olise,"FW,MF",Crystal Palace,1,0,24,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,2,5
Robin Olsen,GK,Aston Villa,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amadou Onana,MF,Everton,11,11,920,10.2,0,0,0,0,0,0,1,0,1.1,1.1,2.3,3.4,9,51,25
André Onana,GK,Manchester Utd,12,12,1080,12,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0
Ryan One,FW,Sheffield Utd,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Tyler Onyango,MF,Everton,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frank Onyeka,MF,Brentford,10,2,377,4.2,0,1,1,0,0,0,3,0,0.7,0.7,1.3,2.1,5,18,25
Divock Origi,"FW,MF",Nott'ham Forest,5,0,63,0.7,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.4,1,0,3
Stefan Ortega,GK,Manchester City,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben Osborn,"MF,DF",Sheffield Utd,7,3,277,3.1,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,3,10,14
Gabriel Osho,DF,Luton Town,3,3,236,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
William Osula,FW,Sheffield Utd,4,3,234,2.6,0,0,0,0,0,0,2,0,0.3,0.3,0,0.3,2,0,9
Dango Ouattara,FW,Bournemouth,7,2,226,2.5,0,0,0,0,0,0,1,0,0.5,0.5,0.3,0.8,6,3,18
David Ozoh,MF,Crystal Palace,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
João Palhinha,MF,Fulham,10,9,825,9.2,2,0,2,2,0,0,5,0,0.7,0.7,0,0.8,3,28,4
Cole Palmer,MF,Manchester City,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cole Palmer,"FW,MF",Chelsea,9,6,595,6.6,4,2,6,0,4,4,3,0,4.9,1.7,3,4.7,28,49,34
Emerson Palmieri,DF,West Ham,11,11,990,11,0,1,1,0,0,0,6,0,0.3,0.3,1.7,2,18,36,37
Lucas Paquetá,"FW,MF",West Ham,11,11,971,10.8,2,1,3,1,1,1,5,0,2.4,1.6,1.7,3.4,15,72,40
Ben Parkinson,FW,Newcastle Utd,1,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thomas Partey,"DF,MF",Arsenal,4,3,251,2.8,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,10,33,4
Nathan Patterson,DF,Everton,11,5,527,5.9,0,1,1,0,0,0,1,0,0.3,0.3,1.1,1.4,12,20,21
Facundo Pellistri,"FW,MF",Manchester Utd,5,1,114,1.3,0,1,1,0,0,0,0,0,0.5,0.5,0.1,0.6,4,3,21
Andreas Pereira,MF,Fulham,12,10,781,8.7,1,1,2,1,0,0,2,0,0.9,0.9,1.7,2.6,12,24,32
Ivan Perišić,FW,Tottenham,5,0,103,1.1,0,1,1,0,0,0,2,0,0.1,0.1,0.9,1,15,9,17
Kalvin Phillips,MF,Manchester City,4,0,93,1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,7,7,3
Jaden Philogene Bidace,FW,Aston Villa,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
Jordan Pickford,GK,Everton,12,12,1080,12,0,0,0,0,0,0,2,0,0,0,0.1,0.1,0,0,0
Ethan Pinnock,DF,Brentford,12,12,1080,12,1,0,1,1,0,0,0,0,1.3,1.3,0.9,2.2,6,36,7
Nick Pope,GK,Newcastle Utd,12,12,1080,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pedro Porro,DF,Tottenham,11,11,986,11,0,2,2,0,0,0,1,0,0.9,0.9,2.3,3.2,12,57,44
Jarrell Quansah,DF,Liverpool,4,1,117,1.3,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0
Ionuț Radu,GK,Bournemouth,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jesuran Rak Sakyi,"MF,FW",Crystal Palace,6,0,136,1.5,0,0,0,0,0,0,0,0,0.4,0.4,0.2,0.6,7,2,18
Aaron Ramsdale,GK,Arsenal,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
