rank,player,nation,position,team,age,born,ninetys,tackles,tackles_won,defensive_third_tackles,middle_third_tackles,attacking_third_tackles,dribblers_tackled,dribbler_tackles_attempted,dribbler_tackled_success_percentage,challenges_lost,total_blocks,shots_blocked,passes_blocked,interceptions,tackles+interceptions,clearances,errors_leading_to_shot
201,Javier Hernández,mx MEX,FW,West Ham,29,1988,17.2,11,7,2,7,2,3,14,21.4,11,6,1,5,6,17,1,0
202,Ander Herrera,es ESP,MF,Manchester Utd,27,1989,14.1,56,29,32,20,4,20,69,29,49,33,6,27,34,90,22,2
203,Son Heung-min,kr KOR,FW,Tottenham,25,1992,25.7,17,10,2,12,3,2,28,7.1,26,18,0,18,10,27,12,0
204,Wesley Hoedt,nl NED,DF,Southampton,23,1994,28,60,51,48,12,0,36,61,59,25,32,17,15,40,100,177,2
205,Jonathan Hogg,eng ENG,MF,Huddersfield,28,1988,26.6,93,64,29,59,5,26,89,29.2,63,51,12,39,69,162,48,0
206,Rob Holding,eng ENG,DF,Arsenal,21,1995,9.1,19,14,13,5,1,4,12,33.3,8,16,10,6,21,40,40,2
207,José Holebas,gr GRE,DF,Watford,33,1984,26.5,51,31,34,14,3,18,44,40.9,26,24,8,16,29,80,95,2
208,Mason Holgate,eng ENG,DF,Everton,20,1996,13.2,23,16,15,7,1,10,21,47.6,11,12,9,3,23,46,86,2
209,Callum Hudson-Odoi,eng ENG,"FW,DF",Chelsea,16,2000,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
210,Will Hughes,eng ENG,MF,Watford,22,1995,11,34,18,7,18,9,9,19,47.4,10,16,1,15,15,49,6,0
211,Jordan Hugill,eng ENG,FW,West Ham,25,1992,0.3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
212,Uwe Hünemeier,de GER,DF,Brighton,31,1986,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0
213,Emerson Hyndman,us USA,MF,Bournemouth,21,1996,0.6,0,0,0,0,0,0,1,0,1,2,0,2,1,1,1,0
214,Pierre Højbjerg,dk DEN,MF,Southampton,21,1995,18.6,45,29,24,18,3,13,56,23.2,43,30,3,27,37,82,26,1
215,Jordon Ibe,eng ENG,"MF,FW",Bournemouth,21,1995,22.2,14,12,7,5,2,6,22,27.3,16,5,0,5,10,24,11,0
216,Vicente Iborra,es ESP,MF,Leicester City,29,1988,15.7,23,18,13,10,0,9,36,25,27,25,11,14,19,42,49,1
217,Zlatan Ibrahimović,se SWE,"MF,FW",Manchester Utd,35,1981,1.2,2,1,1,0,1,0,1,0,1,0,0,0,0,2,1,0
218,Kelechi Iheanacho,ng NGA,"FW,MF",Leicester City,20,1996,9.2,9,6,3,5,1,3,20,15,17,10,2,8,3,12,4,0
219,Tom Ince,eng ENG,"MF,FW",Huddersfield,25,1992,27.2,35,27,14,16,5,10,29,34.5,19,20,0,20,12,47,12,0
220,Danny Ings,eng ENG,FW,Liverpool,25,1992,3,5,3,1,3,1,0,0,,0,4,0,4,2,7,1,0
221,Stephen Ireland,ie IRL,"MF,FW",Stoke City,30,1986,1.5,3,1,2,1,0,1,5,20,4,4,2,2,1,4,1,0
222,Alex Iwobi,ng NGA,"MF,FW",Arsenal,21,1996,20.3,19,15,8,8,3,5,18,27.8,13,19,1,18,7,26,10,1
223,José Izquierdo,co COL,"MF,FW",Brighton,25,1992,22,23,15,12,9,2,7,19,36.8,12,6,0,6,16,39,34,0
224,Phil Jagielka,eng ENG,DF,Everton,34,1982,22.9,33,23,24,9,0,8,21,38.1,13,30,20,10,39,72,179,1
225,Eldin Jakupović,ch SUI,GK,Leicester City,32,1984,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0
226,Matty James,eng ENG,MF,Leicester City,26,1991,11,19,10,7,11,1,2,10,20,8,14,2,12,17,36,25,0
227,Daryl Janmaat,nl NED,DF,Watford,28,1989,20.2,46,31,29,10,7,22,52,42.3,30,16,5,11,33,79,61,0
228,Vincent Janssen,nl NED,DF,Tottenham,23,1994,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
229,Jesé,es ESP,"FW,MF",Stoke City,24,1993,6.8,10,7,3,5,2,3,13,23.1,10,5,0,5,0,10,3,0
230,Gabriel Jesus,br BRA,FW,Manchester City,20,1997,18.5,23,15,6,10,7,3,22,13.6,19,16,0,16,8,31,6,0
231,Glen Johnson,eng ENG,DF,Stoke City,32,1984,6.1,7,5,5,2,0,3,12,25,9,7,2,5,10,17,23,0
232,Phil Jones,eng ENG,DF,Manchester Utd,25,1992,21.9,25,18,20,5,0,9,20,45,11,25,17,8,41,66,133,2
233,Joselu,es ESP,FW,Newcastle Utd,27,1990,19,22,17,10,11,1,7,34,20.6,27,25,2,23,11,33,39,0
234,Mathias Jørgensen,dk DEN,DF,Huddersfield,27,1990,38,55,36,40,13,2,19,45,42.2,26,49,20,29,76,131,249,5
235,Christian Kabasele,be BEL,DF,Watford,26,1991,25.9,42,25,28,14,0,21,36,58.3,15,37,23,14,34,76,185,0
236,Younès Kaboul,fr FRA,DF,Watford,31,1986,1.7,3,2,0,3,0,0,0,,0,4,2,2,2,5,15,0
237,Elias Kachunga,cd COD,"FW,MF",Huddersfield,25,1992,14.8,30,26,13,12,5,8,19,42.1,11,14,1,13,2,32,9,0
238,Sullay Kaikai,sl SLE,MF,Crystal Palace,21,1995,0.2,1,0,0,1,0,0,0,,0,1,0,1,0,1,1,0
239,Harry Kane,eng ENG,FW,Tottenham,24,1993,34.2,17,12,2,8,7,4,15,26.7,11,15,4,11,5,22,19,0
240,N'Golo Kanté,fr FRA,MF,Chelsea,26,1991,33.3,113,77,55,52,6,33,92,35.9,59,40,4,36,85,198,29,3
241,Loris Karius,de GER,GK,Liverpool,24,1993,19,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0
242,Orestis Karnezis,gr GRE,GK,Watford,32,1985,14.4,0,0,0,0,0,0,2,0,2,0,0,0,1,1,3,3
243,Beram Kayal,il ISR,MF,Brighton,29,1988,8.3,18,11,10,7,1,6,26,23.1,20,11,4,7,12,30,9,0
244,Michael Keane,eng ENG,DF,Everton,24,1993,28.4,33,25,26,5,2,19,43,44.2,24,39,28,11,53,86,214,0
245,Martin Kelly,eng ENG,DF,Crystal Palace,27,1990,13.3,19,13,15,4,0,14,26,53.8,12,16,11,5,9,28,67,3
246,Kenedy,br BRA,"MF,DF",Newcastle Utd,21,1996,11.4,31,17,16,13,2,12,35,34.3,23,12,1,11,14,45,11,0
247,Jonjoe Kenny,eng ENG,DF,Everton,20,1997,17.7,41,33,28,10,3,20,32,62.5,12,17,7,10,28,69,95,0
248,Andy King,wls WAL,MF,Leicester City,28,1988,6,8,5,0,5,3,0,3,0,3,4,2,2,5,13,13,0
249,Andy King,wls WAL,MF,Swansea City,28,1988,7.9,18,11,10,8,0,5,14,35.7,9,7,0,7,6,24,14,1
250,Joshua King,no NOR,"FW,MF",Bournemouth,25,1992,27.3,36,26,11,17,8,4,27,14.8,23,23,3,20,4,40,14,1
251,Davy Klaassen,nl NED,"MF,FW",Everton,24,1993,2.8,3,1,1,2,0,2,6,33.3,4,2,1,1,1,4,2,0
252,Ragnar Klavan,ee EST,DF,Liverpool,31,1985,16.1,14,10,6,7,1,6,12,50,6,11,5,6,15,29,85,1
253,Anthony Knockaert,fr FRA,"MF,FW",Brighton,25,1991,26.9,39,26,25,11,3,16,55,29.1,39,29,3,26,23,62,16,0
254,Sead Kolašinac,ba BIH,DF,Arsenal,24,1993,23.9,49,37,28,13,8,20,39,51.3,19,15,3,12,26,75,56,0
255,Vincent Kompany,be BEL,DF,Manchester City,31,1986,15.5,20,11,14,5,1,13,19,68.4,6,10,8,2,16,36,73,1
256,Terence Kongolo,nl NED,DF,Huddersfield,23,1994,11.7,33,20,19,13,1,14,22,63.6,8,12,6,6,32,65,71,0
257,Laurent Koscielny,fr FRA,DF,Arsenal,31,1985,24.7,43,21,27,12,4,19,33,57.6,14,28,15,13,54,97,138,3
258,Cheikhou Kouyaté,sn SEN,MF,West Ham,27,1989,31.1,71,49,43,26,2,23,62,37.1,39,31,11,20,32,103,56,1
259,Bojan Krkić,es ESP,MF,Stoke City,26,1990,0.8,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0
260,Grzegorz Krychowiak,pl POL,MF,West Brom,27,1990,18.2,39,24,18,17,4,12,49,24.5,37,23,5,18,45,84,23,0
261,Rajiv van La Parra,nl NED,"FW,MF",Huddersfield,26,1991,23.7,41,29,18,15,8,12,41,29.3,29,27,1,26,21,62,8,1
262,Alexandre Lacazette,fr FRA,FW,Arsenal,26,1991,24.5,24,17,6,11,7,4,27,14.8,23,19,3,16,7,31,5,0
263,Freddie Ladapo,eng ENG,FW,Crystal Palace,24,1993,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
264,Adam Lallana,eng ENG,"MF,FW",Liverpool,29,1988,3.4,3,1,3,0,0,2,10,20,8,3,0,3,1,4,1,0
265,Érik Lamela,ar ARG,"FW,MF",Tottenham,25,1992,9.4,23,13,9,7,7,3,20,15,17,11,1,10,7,30,5,0
266,Manuel Lanzini,ar ARG,"MF,FW",West Ham,24,1993,22.7,20,11,6,11,3,2,34,5.9,32,7,1,6,30,50,5,2
267,Aymeric Laporte,es ESP,DF,Manchester City,23,1994,9,8,7,6,2,0,3,8,37.5,5,2,1,1,11,19,27,0
268,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,23,1993,32.5,31,19,19,11,1,12,19,63.2,7,33,24,9,28,59,232,1
269,Florian Lejeune,fr FRA,DF,Newcastle Utd,26,1991,23.4,34,20,26,8,0,14,30,46.7,16,21,15,6,46,80,154,0
270,Mario Lemina,ga GAB,MF,Southampton,23,1993,19.1,55,40,21,29,5,12,30,40,18,18,6,12,36,91,36,4
271,Aaron Lennon,eng ENG,MF,Burnley,30,1987,12.4,20,14,5,14,1,2,20,10,18,20,5,15,8,28,18,0
272,Aaron Lennon,eng ENG,"FW,MF",Everton,30,1987,8.8,17,10,10,5,2,5,21,23.8,16,13,1,12,11,28,9,0
273,Victor Lindelöf,se SWE,DF,Manchester Utd,23,1994,14.3,17,11,10,6,1,9,14,64.3,5,15,11,4,13,30,67,1
274,Jesse Lingard,eng ENG,"MF,FW",Manchester Utd,24,1992,20.2,30,21,10,13,7,5,27,18.5,22,18,3,15,9,39,13,0
275,Jake Livermore,eng ENG,MF,West Brom,27,1989,29.7,72,41,27,35,10,24,64,37.5,40,44,9,35,26,98,36,2
276,Fernando Llorente,es ESP,"FW,MF",Tottenham,32,1985,2.6,6,3,1,2,3,1,2,50,1,0,0,0,0,6,6,0
277,Hugo Lloris,fr FRA,GK,Tottenham,30,1986,36,1,1,1,0,0,1,4,25,3,0,0,0,2,3,34,8
278,Jürgen Locadia,nl NED,"FW,MF",Brighton,23,1993,2.5,1,0,0,1,0,0,1,0,1,0,0,0,1,2,1,1
279,Ruben Loftus-Cheek,eng ENG,MF,Crystal Palace,21,1996,20.8,21,15,7,13,1,7,30,23.3,23,19,2,17,22,43,31,0
280,Joe Lolley,eng ENG,"FW,MF",Huddersfield,24,1992,2.5,2,0,1,1,0,0,2,0,2,0,0,0,3,5,2,1
281,Kevin Long,ie IRL,DF,Burnley,26,1990,16,32,23,28,4,0,16,26,61.5,10,25,14,11,19,51,129,1
282,Shane Long,ie IRL,FW,Southampton,30,1987,17.6,25,20,1,19,5,10,30,33.3,20,14,2,12,12,37,29,0
283,Ademola Lookman,ng NGA,"FW,MF",Everton,19,1997,1.8,1,1,0,1,0,0,2,0,2,2,0,2,1,2,3,0
284,Jonas Lössl,dk DEN,GK,Huddersfield,28,1989,38,1,0,1,0,0,1,5,20,4,0,0,0,4,5,13,6
285,Dejan Lovren,hr CRO,DF,Liverpool,28,1989,23.6,26,17,14,11,1,12,22,54.5,10,26,15,11,38,64,146,2
286,Chris Löwe,de GER,DF,Huddersfield,28,1989,17.6,43,29,26,15,2,20,44,45.5,24,21,8,13,34,77,65,3
287,Matthew Lowton,eng ENG,DF,Burnley,28,1989,25.5,55,34,26,27,2,28,60,46.7,32,35,15,20,39,94,141,2
288,David Luiz,br BRA,"DF,MF",Chelsea,30,1987,9.3,18,11,13,4,1,11,21,52.4,10,9,5,4,24,42,45,2
289,Romelu Lukaku,be BEL,FW,Manchester Utd,24,1993,31.9,7,4,1,3,3,0,13,0,13,9,2,7,3,10,22,2
290,Dodi Lukebakio,be BEL,"MF,FW",Watford,19,1997,0.2,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0
291,Levi Lumeka,eng ENG,FW,Crystal Palace,18,1998,0.3,1,1,1,0,0,0,0,,0,0,0,0,1,2,0,0
292,Harry Maguire,eng ENG,DF,Leicester City,24,1993,38,63,46,47,15,1,26,43,60.5,17,35,28,7,48,111,181,1
293,Riyad Mahrez,dz ALG,"MF,FW",Leicester City,26,1991,32.8,39,27,16,17,6,10,63,15.9,53,32,1,31,18,57,15,0
294,Ainsley Maitland-Niles,eng ENG,"DF,MF",Arsenal,19,1997,10.2,25,17,12,7,6,14,31,45.2,17,15,1,14,12,37,35,2
295,Scott Malone,eng ENG,DF,Huddersfield,26,1991,12.4,39,29,27,10,2,17,24,70.8,7,12,2,10,26,65,43,2
296,Sadio Mané,sn SEN,FW,Liverpool,25,1992,24.3,28,20,8,11,9,3,23,13,20,20,0,20,9,37,8,0
297,Eliaquim Mangala,fr FRA,DF,Everton,26,1991,1.5,2,1,1,1,0,0,0,,0,0,0,0,1,3,4,1
298,Eliaquim Mangala,fr FRA,DF,Manchester City,26,1991,5.4,5,3,5,0,0,1,3,33.3,2,4,3,1,2,7,24,0
299,Javier Manquillo,es ESP,DF,Newcastle Utd,23,1994,19.5,36,22,25,8,3,15,30,50,15,25,6,19,18,54,65,0
300,Solly March,eng ENG,"MF,FW",Brighton,23,1994,20.6,54,41,34,14,6,22,54,40.7,32,27,3,24,13,67,49,0
301,Adrian Mariappa,jm JAM,DF,Watford,30,1986,24.6,45,26,33,12,0,14,34,41.2,20,25,16,9,45,90,133,4
302,João Mário,pt POR,MF,West Ham,24,1993,11.4,14,11,6,5,3,6,19,31.6,13,7,0,7,8,22,4,1
303,Anthony Martial,fr FRA,FW,Manchester Utd,21,1995,17.6,15,13,9,2,4,3,12,25,9,5,1,4,3,18,7,0
304,Cuco Martina,cw CUW,DF,Everton,27,1989,20.3,61,35,38,15,8,27,46,58.7,19,17,4,13,42,103,130,2
305,Bruno Martins Indi,nl NED,DF,Stoke City,25,1992,13.8,21,12,18,3,0,10,19,52.6,9,16,11,5,21,42,77,1
306,Arthur Masuaku,cd COD,DF,West Ham,23,1993,20.8,58,37,36,16,6,25,58,43.1,33,25,2,23,26,84,38,1
307,Juan Mata,es ESP,FW,Manchester Utd,29,1988,21.4,18,13,4,12,2,2,24,8.3,22,10,0,10,15,33,10,1
308,Nemanja Matić,rs SRB,MF,Manchester Utd,28,1988,34.6,70,42,32,34,4,23,71,32.4,48,50,13,37,64,134,62,2
309,Joël Matip,cm CMR,DF,Liverpool,25,1991,22.2,35,24,23,11,1,12,24,50,12,26,15,11,35,70,101,1
310,Konstantinos Mavropanos,gr GRE,DF,Arsenal,19,1997,2.2,1,1,1,0,0,1,2,50,1,4,3,1,6,7,11,1
311,Alfie Mawson,eng ENG,DF,Swansea City,23,1994,38,32,22,24,8,0,16,27,59.3,11,41,32,9,35,67,229,5
312,Eric Maxim Choupo-Moting,cm CMR,"FW,MF",Stoke City,28,1989,25.7,42,30,21,16,5,9,32,28.1,23,31,3,28,23,65,29,1
313,Chancel Mbemba,cd COD,DF,Newcastle Utd,22,1994,7.5,16,12,13,3,0,10,17,58.8,7,7,3,4,15,31,44,1
314,James McArthur,sct SCO,MF,Crystal Palace,29,1987,27,58,44,28,27,3,23,61,37.7,38,39,2,37,36,94,44,2
315,Gareth McAuley,nir NIR,DF,West Brom,37,1979,5.1,8,7,6,2,0,3,7,42.9,4,7,4,3,11,19,16,0
316,Oliver McBurnie,sct SCO,"FW,MF",Swansea City,21,1996,3.1,4,3,0,2,2,1,3,33.3,2,2,0,2,0,4,3,0
317,Alex McCarthy,eng ENG,GK,Southampton,27,1989,18,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,0
318,James McCarthy,ie IRL,MF,Everton,26,1990,2.3,9,9,3,4,2,1,5,20,4,9,2,7,5,14,3,1
319,James McClean,ie IRL,"MF,FW",West Brom,28,1989,15.6,40,28,23,14,3,10,55,18.2,45,18,4,14,20,60,22,0
320,Sam McQueen,eng ENG,"DF,MF",Southampton,22,1995,1.6,4,4,4,0,0,2,4,50,2,2,1,1,3,7,3,0
321,Scott McTominay,sct SCO,MF,Manchester Utd,20,1996,7,11,9,4,5,2,5,13,38.5,8,3,0,3,13,24,9,0
322,Ben Mee,eng ENG,DF,Burnley,27,1989,29,33,20,22,11,0,16,29,55.2,13,51,42,9,33,66,217,1
323,Benjamin Mendy,fr FRA,"DF,FW",Manchester City,23,1994,4,5,4,2,0,3,5,7,71.4,2,5,0,5,8,13,9,0
324,Mikel Merino,es ESP,MF,Newcastle Utd,21,1996,15,56,40,21,32,3,17,56,30.4,39,36,8,28,34,90,25,0
325,Per Mertesacker,de GER,DF,Arsenal,32,1984,4.1,2,2,0,2,0,0,1,0,1,4,3,1,6,8,22,2
326,Roque Mesa,es ESP,MF,Swansea City,28,1989,8.4,20,13,8,8,4,10,37,27,27,6,0,6,13,33,8,1
327,Simon Mignolet,be BEL,GK,Liverpool,29,1988,19,2,1,2,0,0,1,3,33.3,2,0,0,0,0,2,5,3
328,Luka Milivojević,rs SRB,MF,Crystal Palace,26,1991,34.2,85,52,40,37,8,31,86,36,55,50,12,38,71,156,81,3
329,James Milner,eng ENG,MF,Liverpool,31,1986,19.7,58,45,18,32,8,15,39,38.5,24,33,5,28,21,79,23,0
330,Tyrone Mings,eng ENG,DF,Bournemouth,24,1993,2.2,1,1,1,0,0,0,0,,0,2,2,0,6,7,13,1
331,Kevin Mirallas,be BEL,"FW,MF",Everton,29,1987,1.5,4,3,1,2,1,0,1,0,1,0,0,0,0,4,3,0
332,Aleksandar Mitrović,rs SRB,FW,Newcastle Utd,22,1994,1.1,1,1,0,1,0,0,1,0,1,1,0,1,0,1,2,0
333,Henrikh Mkhitaryan,am ARM,"FW,MF",Arsenal,28,1989,8.8,18,13,9,7,2,5,21,23.8,16,16,2,14,8,26,7,0
334,Henrikh Mkhitaryan,am ARM,"MF,FW",Manchester Utd,28,1989,10.2,15,11,4,7,4,5,25,20,20,8,0,8,7,22,3,0
335,Nacho Monreal,es ESP,DF,Arsenal,31,1986,24.9,54,32,19,29,6,21,48,43.8,27,26,7,19,56,110,83,2
336,Aaron Mooy,au AUS,MF,Huddersfield,26,1990,34.1,102,60,39,51,12,23,55,41.8,32,39,5,34,38,140,52,0
337,Álvaro Morata,es ESP,FW,Chelsea,24,1992,22.9,13,8,0,7,6,1,21,4.8,20,17,4,13,6,19,20,0
338,Alberto Moreno,es ESP,DF,Liverpool,25,1992,14.1,35,26,21,12,2,13,29,44.8,16,19,2,17,12,47,44,0
339,Wes Morgan,jm JAM,DF,Leicester City,33,1984,31.3,35,25,26,8,1,12,18,66.7,6,41,27,14,31,66,146,1
340,James Morrison,sct SCO,MF,West Brom,31,1986,2.3,2,1,0,2,0,1,4,25,3,1,1,0,1,3,1,0
341,Victor Moses,ng NGA,"DF,MF",Chelsea,26,1990,23.4,37,29,21,13,3,14,24,58.3,10,29,4,25,15,52,39,2
342,Steve Mounié,bj BEN,FW,Huddersfield,22,1994,20.6,11,8,2,4,5,0,19,0,19,23,3,20,7,18,30,0
343,Lucas Moura,br BRA,"FW,MF",Tottenham,24,1992,2.3,4,2,3,0,1,1,3,33.3,2,2,0,2,2,6,2,0
344,Lys Mousset,fr FRA,"FW,MF",Bournemouth,21,1996,6.6,9,5,6,3,0,0,8,0,8,5,2,3,3,12,9,0
345,Jacob Murphy,eng ENG,"MF,FW",Newcastle Utd,22,1995,12.8,13,10,5,4,4,7,27,25.9,20,16,0,16,6,19,13,2
346,Jamie Murphy,sct SCO,MF,Brighton,27,1989,1.9,2,2,2,0,0,2,4,50,2,0,0,0,1,3,3,0
347,Glenn Murray,eng ENG,FW,Brighton,33,1983,24.4,18,12,4,11,3,2,18,11.1,16,16,4,12,5,23,27,0
348,Charly Musonda Jr.,be BEL,FW,Chelsea,20,1996,0.4,1,0,0,0,1,1,1,100,0,0,0,0,0,1,0,0
349,Shkodran Mustafi,de GER,DF,Arsenal,25,1992,25.3,64,46,42,18,4,28,54,51.9,26,23,15,8,57,121,175,2
350,Boaz Myhill,wls WAL,GK,West Brom,34,1982,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
351,Georges-Kévin N'Koudou,cm CMR,MF,Tottenham,22,1995,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
352,Georges-Kévin N'Koudou,cm CMR,"MF,FW",Burnley,22,1995,2.5,7,6,5,1,1,3,8,37.5,5,4,0,4,1,8,1,0
353,Luciano Narsingh,nl NED,"FW,MF",Swansea City,26,1990,6.9,7,5,1,5,1,2,7,28.6,5,7,0,7,3,10,3,0
354,Kyle Naughton,eng ENG,DF,Swansea City,28,1988,33.7,92,60,49,35,8,54,100,54,46,60,13,47,60,152,144,4
355,Badou Ndiaye,sn SEN,MF,Stoke City,26,1990,12.6,53,28,22,25,6,16,41,39,25,21,9,12,13,66,18,0
356,Wilfred Ndidi,ng NGA,MF,Leicester City,20,1996,32.2,138,89,68,65,5,45,119,37.8,74,67,10,57,51,189,103,2
357,Reiss Nelson,eng ENG,"FW,MF",Arsenal,17,1999,1.6,4,3,1,1,2,0,0,,0,4,0,4,3,7,0,0
358,Julien Ngoy,be BEL,MF,Stoke City,19,1997,0.2,1,1,0,1,0,1,2,50,1,0,0,0,0,1,0,0
359,Oumar Niasse,sn SEN,FW,Everton,27,1990,12.1,10,6,2,5,3,4,19,21.1,15,3,2,1,2,12,6,0
360,Eddie Nketiah,eng ENG,FW,Arsenal,18,1999,0.2,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0
361,Lukas Nmecha,de GER,FW,Manchester City,18,1998,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
362,Mark Noble,eng ENG,MF,West Ham,30,1987,26.7,61,36,32,22,7,16,76,21.1,60,28,10,18,47,108,32,1
363,Allan Nyom,cm CMR,DF,West Brom,29,1988,25.7,64,39,43,17,4,28,43,65.1,15,20,9,11,27,91,93,0
364,Aiden O'Neill,au AUS,MF,Burnley,19,1998,0,,,,,,,,,,,,,,,,
365,Michael Obafemi,ie IRL,FW,Southampton,17,2000,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
366,Pedro Obiang,gq EQG,MF,West Ham,25,1992,17.4,53,34,20,29,4,17,51,33.3,34,37,16,21,24,77,27,1
367,Angelo Ogbonna,it ITA,DF,West Ham,29,1988,32,30,24,18,10,2,8,18,44.4,10,40,27,13,58,88,197,1
368,Stefano Okaka,it ITA,FW,Watford,27,1989,5,6,4,0,6,0,3,6,50,3,3,0,3,0,6,0,0
369,Shinji Okazaki,jp JPN,"FW,MF",Leicester City,31,1986,14.7,25,16,3,18,4,4,28,14.3,24,15,1,14,8,33,6,0
370,Martin Olsson,se SWE,DF,Swansea City,29,1988,35,34,26,18,10,6,12,29,41.4,17,21,4,17,31,65,81,0
371,Divock Origi,be BEL,FW,Liverpool,22,1995,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
372,David Ospina,co COL,GK,Arsenal,28,1988,4.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
373,Nicolás Otamendi,ar ARG,DF,Manchester City,29,1988,33,58,43,35,22,1,19,44,43.2,25,21,10,11,48,106,129,3
374,Reece Oxford,eng ENG,MF,West Ham,18,1998,0.1,2,1,1,1,0,1,1,100,0,0,0,0,0,2,0,0
375,Alex Oxlade-Chamberlain,eng ENG,DF,Arsenal,23,1993,2.7,5,3,2,2,1,2,3,66.7,1,5,2,3,6,11,8,0
376,Alex Oxlade-Chamberlain,eng ENG,"MF,FW",Liverpool,23,1993,16.6,32,21,13,14,5,6,21,28.6,15,24,0,24,20,52,14,0
377,Mesut Özil,de GER,"MF,FW",Arsenal,28,1988,24,20,13,6,10,4,5,22,22.7,17,11,1,10,12,32,9,0
378,Kasey Palmer,jm JAM,"MF,FW",Huddersfield,20,1996,1.9,6,3,2,3,1,2,8,25,6,5,0,5,0,6,2,0
379,Emerson Palmieri,it ITA,DF,Chelsea,22,1994,3.1,6,4,4,2,0,5,5,100,0,2,0,2,2,8,10,0
380,Pedro,es ESP,"MF,FW",Chelsea,30,1987,16.9,20,11,6,8,6,5,18,27.8,13,13,1,12,13,33,7,1
381,Roberto Pereyra,ar ARG,"MF,FW",Watford,26,1991,18,10,8,4,5,1,2,13,15.4,11,16,0,16,9,19,6,0
382,Ayoze Pérez,es ESP,"MF,FW",Newcastle Utd,24,1993,27.7,39,21,11,15,13,12,54,22.2,42,36,1,35,24,63,28,0
383,Matt Phillips,sct SCO,"MF,DF",West Brom,26,1991,23.3,27,16,17,5,5,10,29,34.5,19,21,1,20,24,51,43,0
384,Jordan Pickford,eng ENG,GK,Everton,23,1994,38,0,0,0,0,0,0,2,0,2,0,0,0,2,2,26,5
385,Jérémy Pied,fr FRA,DF,Southampton,28,1989,2,9,6,8,1,0,6,9,66.7,3,3,2,1,8,17,4,0
386,Erik Pieters,nl NED,DF,Stoke City,28,1988,30.2,71,47,43,26,2,24,51,47.1,27,70,25,45,61,132,127,5
387,Paul Pogba,fr FRA,MF,Manchester Utd,24,1993,23.9,33,23,13,15,5,5,33,15.2,28,16,0,16,21,54,26,0
388,Nick Pope,eng ENG,GK,Burnley,25,1992,34.6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,21,0
389,Alex Pritchard,eng ENG,"MF,FW",Huddersfield,24,1993,11.1,18,8,2,6,10,10,21,47.6,11,6,1,5,5,23,11,0
390,Sebastian Prödl,at AUT,DF,Watford,30,1987,17.4,22,17,19,3,0,8,15,53.3,7,20,9,11,31,53,92,1
391,Davy Pröpper,nl NED,MF,Brighton,25,1991,34.7,73,44,35,35,3,18,83,21.7,65,35,11,24,60,133,80,2
392,Marc Pugh,eng ENG,"MF,FW",Bournemouth,30,1987,10.9,7,3,2,4,1,2,10,20,8,6,1,5,13,20,13,2
393,Jason Puncheon,eng ENG,MF,Crystal Palace,31,1986,7.2,13,4,3,7,3,1,5,20,4,3,0,3,5,18,4,0
394,Collin Quaner,de GER,"FW,MF",Huddersfield,26,1991,14.2,22,15,8,8,6,9,26,34.6,17,24,4,20,11,33,15,0
395,Sandro Ramírez,es ESP,"FW,MF",Everton,22,1995,3.1,2,1,0,1,1,0,3,0,3,1,0,1,1,3,0,0
396,Aaron Ramsey,wls WAL,MF,Arsenal,26,1990,20.5,35,27,18,17,0,8,44,18.2,36,14,3,11,24,59,6,1
397,Àngel Rangel,es ESP,DF,Swansea City,34,1982,1.7,4,3,2,2,0,1,3,33.3,2,0,0,0,3,7,4,0
398,Marcus Rashford,eng ENG,"FW,MF",Manchester Utd,19,1997,20.1,14,11,4,5,5,6,18,33.3,12,18,0,18,8,22,19,0
399,Nathan Redmond,eng ENG,"FW,MF",Southampton,23,1994,21.6,32,17,16,14,2,12,31,38.7,19,20,0,20,15,47,17,2
400,Winston Reid,nz NZL,DF,West Ham,29,1988,16.1,11,9,7,4,0,4,15,26.7,11,27,14,13,22,33,104,0
401,Declan Rice,eng ENG,"DF,MF",West Ham,18,1999,15.9,36,24,25,10,1,15,25,60,10,19,13,6,27,63,77,1
402,Richarlison,br BRA,"FW,MF",Watford,20,1997,31.4,64,44,26,28,10,10,39,25.6,29,39,5,34,24,88,32,1
