rank,player,nation,position,team,age,born,ninetys,goals,shots,shots_on_target,shots_on_target_pct,shots_per_90,shots_on_target_per_90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_from_free_kicks,penalties_made,penalties_attempted,expected_goals,non_penalty_expected_goals,non_penalty_expected_goals_per_shot,goals-expected_goals,non_penalty_goals-non_penalty_expected_goals
35,Beni Baningime,cd COD,MF,Everton,18,1998,2.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
36,Phil Bardsley,sct SCO,DF,Burnley,32,1985,12.5,0,2,2,100,0.16,0.16,0,0,32.1,0,0,0,0,0,0.02,0,0
37,Ross Barkley,eng ENG,MF,Chelsea,23,1993,1.4,0,2,1,50,1.4,0.7,0,0,13.1,0,0,0,0.8,0.8,0.38,-0.8,-0.8
38,Ashley Barnes,eng ENG,FW,Burnley,27,1989,24.1,9,60,22,36.7,2.49,0.91,0.15,0.41,15.4,0,0,0,6.7,6.7,0.11,2.3,2.3
39,Harvey Barnes,eng ENG,"MF,FW",Leicester City,19,1997,0.1,0,1,0,0,9,0,0,,9.6,0,0,0,0.1,0.1,0.07,-0.1,-0.1
40,Gareth Barry,eng ENG,MF,West Brom,36,1981,21.4,1,16,6,37.5,0.75,0.28,0.06,0.17,18.2,1,0,0,1.6,1.6,0.1,-0.6,-0.6
41,Kyle Bartley,eng ENG,DF,Swansea City,26,1991,2.6,0,2,0,0,0.77,0,0,,9.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1
42,Michy Batshuayi,be BEL,FW,Chelsea,23,1993,4,2,13,5,38.5,3.25,1.25,0.15,0.4,18,0,0,0,1.1,1.1,0.09,0.9,0.9
43,Moritz Bauer,at AUT,"DF,MF",Stoke City,25,1992,14.5,0,3,1,33.3,0.21,0.07,0,0,17.1,0,0,0,0.2,0.2,0.06,-0.2,-0.2
44,Jan Bednarek,pl POL,DF,Southampton,21,1996,4.7,1,1,1,100,0.21,0.21,1,1,7.4,0,0,0,0.2,0.2,0.15,0.8,0.8
45,Asmir Begović,ba BIH,GK,Bournemouth,30,1987,38,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
46,Héctor Bellerín,es ESP,DF,Arsenal,22,1995,33.9,2,29,8,27.6,0.86,0.24,0.07,0.25,17.3,0,0,0,2.2,2.2,0.08,-0.2,-0.2
47,Yohan Benalouane,tn TUN,DF,Leicester City,30,1987,1,0,2,1,50,2,1,0,0,17.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1
48,Christian Benteke,be BEL,FW,Crystal Palace,26,1990,24.9,3,58,17,29.3,2.33,0.68,0.03,0.12,12.5,0,1,2,10.2,8.6,0.15,-7.2,-6.6
49,Saido Berahino,bi BDI,FW,Stoke City,23,1993,5.5,0,9,3,33.3,1.64,0.55,0,0,18.9,0,0,1,2,1.2,0.14,-2,-1.2
50,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,26,1990,31.5,2,54,18,33.3,1.72,0.57,0.04,0.11,21.7,6,0,0,3.5,3.5,0.07,-1.5,-1.5
51,Ryan Bertrand,eng ENG,DF,Southampton,27,1989,34.8,0,20,2,10,0.57,0.06,0,0,19.5,3,0,0,1.7,1.7,0.08,-1.7,-1.7
52,Muhamed Bešić,ba BIH,MF,Everton,24,1992,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
53,Philip Billing,dk DEN,MF,Huddersfield,21,1996,8.5,0,7,2,28.6,0.82,0.24,0,0,29.6,0,0,0,0.2,0.2,0.03,-0.2,-0.2
54,Mame Biram Diouf,sn SEN,"FW,DF",Stoke City,29,1987,28.8,6,59,19,32.2,2.05,0.66,0.1,0.32,13.5,0,0,0,6.5,6.5,0.11,-0.5,-0.5
55,Daley Blind,nl NED,"DF,MF",Manchester Utd,27,1990,4,0,3,0,0,0.75,0,0,,21.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1
56,Jeremie Boga,ci CIV,MF,Chelsea,20,1997,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
57,Yannick Bolasie,cd COD,FW,Everton,28,1989,9.5,1,19,7,36.8,2.01,0.74,0.05,0.14,16.8,0,0,0,1.5,1.5,0.08,-0.5,-0.5
58,Gaëtan Bong,cm CMR,DF,Brighton,29,1988,24.8,0,4,1,25,0.16,0.04,0,0,29.3,0,0,0,0.1,0.1,0.02,-0.1,-0.1
59,Wilfried Bony,ci CIV,FW,Swansea City,28,1988,7.9,2,20,6,30,2.55,0.76,0.1,0.33,18,0,0,0,1.6,1.6,0.08,0.4,0.4
60,Sofiane Boufal,ma MAR,"FW,MF",Southampton,23,1993,13.5,2,30,6,20,2.21,0.44,0.07,0.33,18.3,0,0,0,1.7,1.7,0.06,0.3,0.3
61,Robbie Brady,ie IRL,MF,Burnley,25,1992,14.2,1,24,6,25,1.69,0.42,0.04,0.17,22.8,5,0,0,1.2,1.2,0.05,-0.2,-0.2
62,Claudio Bravo,cl CHI,GK,Manchester City,34,1983,2.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
63,Miguel Britos,uy URU,DF,Watford,32,1985,8.9,1,4,2,50,0.45,0.23,0.25,0.5,17.4,0,0,0,0.8,0.8,0.2,0.2,0.2
64,Leon Britton,eng ENG,MF,Swansea City,34,1982,3.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
65,Izzy Brown,eng ENG,"MF,FW",Brighton,20,1997,3.5,0,1,1,100,0.29,0.29,0,0,18.1,0,0,0,0.1,0.1,0.05,-0.1,-0.1
66,Bruno,es ESP,DF,Brighton,36,1980,22.4,0,2,1,50,0.09,0.04,0,0,20.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1
67,Chris Brunt,nir NIR,"MF,DF",West Brom,32,1984,21.3,0,25,5,20,1.17,0.23,0,0,26.4,8,0,0,1.8,1.8,0.07,-1.8,-1.8
68,Oliver Burke,sct SCO,"FW,MF",West Brom,20,1997,4.1,0,4,0,0,0.98,0,0,,15.2,0,0,0,0.5,0.5,0.12,-0.5,-0.5
69,Jack Butland,eng ENG,GK,Stoke City,24,1993,35,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
70,Sam Byram,eng ENG,"DF,MF",West Ham,23,1993,2.8,0,4,0,0,1.45,0,0,,15.3,0,0,0,0.3,0.3,0.08,-0.3,-0.3
71,Willy Caballero,ar ARG,GK,Chelsea,35,1981,3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
72,Yohan Cabaye,fr FRA,MF,Crystal Palace,31,1986,26.4,0,38,11,28.9,1.44,0.42,0,0,24.6,4,0,0,2.3,2.3,0.06,-2.3,-2.3
73,Gary Cahill,eng ENG,DF,Chelsea,31,1985,23.2,0,10,3,30,0.43,0.13,0,0,19.6,0,0,0,0.5,0.5,0.05,-0.5,-0.5
74,Dominic Calvert-Lewin,eng ENG,FW,Everton,20,1997,20.9,4,43,16,37.2,2.06,0.77,0.09,0.25,14.7,0,0,0,4.9,4.8,0.11,-0.9,-0.8
75,Geoff Cameron,us USA,"DF,MF",Stoke City,32,1985,16.9,0,5,0,0,0.3,0,0,,14.1,0,0,0,0.3,0.3,0.06,-0.3,-0.3
76,Tyrese Campbell,eng ENG,FW,Stoke City,17,1999,0.9,0,2,1,50,2.28,1.14,0,0,12.1,0,0,0,0.2,0.2,0.1,-0.2,-0.2
77,Emre Can,de GER,MF,Liverpool,23,1994,23.2,3,27,8,29.6,1.16,0.34,0.11,0.38,21.2,1,0,0,1.8,1.8,0.07,1.2,1.2
78,Étienne Capoue,fr FRA,MF,Watford,29,1988,17.1,1,23,3,13,1.34,0.18,0.04,0.33,28.1,0,0,0,0.8,0.8,0.04,0.2,0.2
79,Michael Carrick,eng ENG,MF,Manchester Utd,36,1981,1.2,0,2,1,50,1.65,0.83,0,0,14.7,0,0,0,0.5,0.5,0.26,-0.5,-0.5
80,André Carrillo,pe PER,"FW,MF",Watford,26,1991,17.1,1,24,3,12.5,1.4,0.18,0.04,0.33,17.8,0,0,0,2.3,2.3,0.1,-1.3,-1.3
81,Guido Carrillo,ar ARG,FW,Southampton,26,1991,5,0,11,4,36.4,2.2,0.8,0,0,13.3,0,0,0,0.7,0.7,0.06,-0.7,-0.7
82,Andy Carroll,eng ENG,FW,West Ham,28,1989,8.3,3,28,8,28.6,3.36,0.96,0.11,0.38,16.4,0,0,0,1.8,1.8,0.07,1.2,1.2
83,Tom Carroll,eng ENG,MF,Swansea City,25,1992,28.6,0,20,3,15,0.7,0.11,0,0,23.8,5,0,0,0.9,0.9,0.05,-0.9,-0.9
84,Craig Cathcart,nir NIR,DF,Watford,28,1989,5.8,0,2,1,50,0.34,0.17,0,0,10.1,0,0,0,0.1,0.1,0.07,-0.1,-0.1
85,Petr Čech,cz CZE,GK,Arsenal,35,1982,33.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
86,Nacer Chadli,be BEL,"FW,MF",West Brom,27,1989,2.9,1,4,2,50,1.38,0.69,0.25,0.5,27.1,2,0,0,0.2,0.2,0.05,0.8,0.8
87,Nathaniel Chalobah,eng ENG,MF,Watford,22,1994,5,0,12,4,33.3,2.42,0.81,0,0,22.5,0,0,0,0.8,0.8,0.07,-0.8,-0.8
88,Calum Chambers,eng ENG,DF,Arsenal,22,1995,9.6,0,10,3,30,1.04,0.31,0,0,13.8,0,0,0,1.4,1.4,0.14,-1.4,-1.4
89,Ben Chilwell,eng ENG,DF,Leicester City,20,1996,20.6,0,6,1,16.7,0.29,0.05,0,0,24.8,0,0,0,0.2,0.2,0.03,-0.2,-0.2
90,Hamza Choudhury,eng ENG,"MF,DF",Leicester City,19,1997,4.2,0,2,0,0,0.48,0,0,,30.6,0,0,0,0,0,0.02,0,0
91,Andreas Christensen,dk DEN,DF,Chelsea,21,1996,23.2,0,12,1,8.3,0.52,0.04,0,0,10.9,0,0,0,0.9,0.9,0.07,-0.9,-0.9
92,Lee Chung-yong,kr KOR,"FW,MF",Crystal Palace,29,1988,1.5,0,1,0,0,0.67,0,0,,12,0,0,0,0,0,0.03,0,0
93,Ciaran Clark,ie IRL,DF,Newcastle Utd,27,1989,19.4,2,11,3,27.3,0.57,0.15,0.18,0.67,8.7,0,0,0,1.7,1.7,0.16,0.3,0.3
94,Tom Cleverley,eng ENG,MF,Watford,27,1989,21.1,1,15,3,20,0.71,0.14,0.07,0.33,21.5,1,0,1,1.9,1.1,0.07,-0.9,-0.1
95,Sam Clucas,eng ENG,MF,Swansea City,26,1990,22.7,3,20,7,35,0.88,0.31,0.15,0.43,17.5,0,0,0,2.6,2.6,0.14,0.4,0.4
96,Nathaniel Clyne,eng ENG,"DF,FW",Liverpool,26,1991,1.9,0,2,1,50,1.03,0.52,0,0,11.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1
97,Séamus Coleman,ie IRL,DF,Everton,28,1988,11.5,0,5,2,40,0.43,0.17,0,0,9.7,0,0,0,1,1,0.21,-1,-1
98,James Collins,wls WAL,DF,West Ham,33,1983,11.7,1,4,1,25,0.34,0.09,0.25,1,9.9,0,0,0,0.3,0.3,0.08,0.7,0.7
99,Lewis Cook,eng ENG,MF,Bournemouth,20,1997,24.9,0,18,2,11.1,0.72,0.08,0,0,27.3,0,0,0,0.5,0.5,0.03,-0.5,-0.5
100,Steve Cook,eng ENG,DF,Bournemouth,26,1991,30.7,2,22,6,27.3,0.72,0.2,0.09,0.33,12.5,0,0,0,1.6,1.6,0.07,0.4,0.4
101,Francis Coquelin,fr FRA,"MF,DF",Arsenal,26,1991,1.9,0,1,0,0,0.53,0,0,,20.9,0,0,0,0.1,0.1,0.06,-0.1,-0.1
102,Jack Cork,eng ENG,MF,Burnley,28,1989,38,2,15,5,33.3,0.39,0.13,0.13,0.4,17.6,0,0,0,2.2,2.2,0.15,-0.2,-0.2
103,Thibaut Courtois,be BEL,GK,Chelsea,25,1992,35,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
104,Philippe Coutinho,br BRA,"MF,FW",Liverpool,25,1992,12.3,7,54,17,31.5,4.38,1.38,0.13,0.41,24,10,0,0,3.5,3.5,0.07,3.5,3.5
105,Martin Cranie,eng ENG,DF,Huddersfield,30,1986,2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
106,Aaron Cresswell,eng ENG,DF,West Ham,27,1989,34.1,1,21,6,28.6,0.62,0.18,0.05,0.17,28.7,8,0,0,0.8,0.8,0.04,0.2,0.2
107,Peter Crouch,eng ENG,FW,Stoke City,36,1981,17.4,5,23,9,39.1,1.32,0.52,0.22,0.56,13.3,0,0,0,4.2,4.2,0.18,0.8,0.8
108,Josh Cullen,ie IRL,MF,West Ham,21,1996,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
109,Charlie Daniels,eng ENG,"DF,MF",Bournemouth,30,1986,33.4,1,20,6,30,0.6,0.18,0.05,0.17,24.8,1,0,0,0.6,0.6,0.03,0.4,0.4
110,Danilo,br BRA,DF,Manchester City,26,1991,15,3,19,7,36.8,1.27,0.47,0.16,0.43,23.4,1,0,0,1.1,1.1,0.06,1.9,1.9
111,Scott Dann,eng ENG,DF,Crystal Palace,30,1987,15.9,1,19,4,21.1,1.19,0.25,0.05,0.25,10.2,0,0,0,2.3,2.3,0.12,-1.3,-1.3
112,Karl Darlow,eng ENG,GK,Newcastle Utd,26,1990,10,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
113,Matteo Darmian,it ITA,DF,Manchester Utd,27,1989,4.9,0,2,0,0,0.41,0,0,,31.7,0,0,0,0,0,0.01,0,0
114,Ben Davies,wls WAL,DF,Tottenham,24,1993,25.8,2,18,6,33.3,0.7,0.23,0.11,0.33,21.2,0,0,0,1.1,1.1,0.06,0.9,0.9
115,Tom Davies,eng ENG,MF,Everton,19,1998,21.1,2,21,3,14.3,0.99,0.14,0.1,0.67,21.8,0,0,0,1.5,1.5,0.07,0.5,0.5
116,Steven Davis,nir NIR,MF,Southampton,32,1985,16.9,3,13,4,30.8,0.77,0.24,0.23,0.75,19.8,0,0,0,0.9,0.9,0.07,2.1,2.1
117,Craig Dawson,eng ENG,DF,West Brom,27,1990,27.9,2,16,4,25,0.57,0.14,0.13,0.5,10.1,0,0,0,2.3,2.3,0.15,-0.3,-0.3
118,Kevin De Bruyne,be BEL,MF,Manchester City,26,1991,34.1,8,93,39,41.9,2.72,1.14,0.09,0.21,24.3,15,0,0,5.1,5.1,0.06,2.9,2.9
119,Troy Deeney,eng ENG,FW,Watford,29,1988,20.5,5,31,10,32.3,1.51,0.49,0.06,0.2,17.1,0,3,5,6.9,2.8,0.09,-1.9,-0.8
120,Jermain Defoe,eng ENG,FW,Bournemouth,34,1982,12.1,4,27,15,55.6,2.23,1.24,0.15,0.27,11.5,0,0,0,3.5,3.5,0.13,0.5,0.5
121,Steven Defour,be BEL,MF,Burnley,29,1988,22.2,1,19,7,36.8,0.86,0.32,0.05,0.14,25.9,4,0,0,0.8,0.8,0.04,0.3,0.3
122,Damien Delaney,ie IRL,DF,Crystal Palace,36,1981,1.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
123,Fabian Delph,eng ENG,DF,Manchester City,27,1989,19.3,1,10,3,30,0.52,0.16,0.1,0.33,28.9,0,0,0,0.3,0.3,0.03,0.7,0.7
124,Mousa Dembélé,be BEL,MF,Tottenham,30,1987,20.9,0,11,3,27.3,0.53,0.14,0,0,24.7,0,0,0,0.4,0.4,0.03,-0.4,-0.4
125,Laurent Depoitre,be BEL,FW,Huddersfield,28,1988,20.2,6,25,12,48,1.24,0.59,0.24,0.5,13.5,0,0,0,3.7,3.7,0.15,2.3,2.3
126,Mike van der Hoorn,nl NED,DF,Swansea City,24,1992,21.6,1,10,4,40,0.46,0.19,0.1,0.25,14.3,0,0,0,1,1,0.1,0,0
127,Gerard Deulofeu,es ESP,"FW,MF",Watford,23,1994,4.8,1,8,4,50,1.66,0.83,0.13,0.25,20.1,2,0,0,0.5,0.5,0.07,0.5,0.5
128,Fousseni Diabaté,ml MLI,"MF,FW",Leicester City,21,1995,6.5,0,6,2,33.3,0.92,0.31,0,0,18.5,0,0,0,0.5,0.5,0.09,-0.5,-0.5
129,Mohamed Diamé,sn SEN,MF,Newcastle Utd,30,1987,22.7,2,20,6,30,0.88,0.26,0.1,0.33,21,0,0,0,1.4,1.4,0.07,0.6,0.6
130,Brahim Díaz,es ESP,"FW,DF",Manchester City,17,1999,0.6,0,3,1,33.3,4.91,1.64,0,0,13.8,0,0,0,0.5,0.5,0.16,-0.5,-0.5
131,Eric Dier,eng ENG,"MF,DF",Tottenham,23,1994,31.4,0,32,7,21.9,1.02,0.22,0,0,17.5,1,0,0,2,2,0.06,-2,-2
132,Abdoulaye Doucouré,ml MLI,MF,Watford,24,1993,36.9,7,47,17,36.2,1.27,0.46,0.15,0.41,20.7,0,0,0,3.5,3.5,0.08,3.5,3.5
133,Aleksandar Dragović,at AUT,DF,Leicester City,26,1991,8.5,0,1,0,0,0.12,0,0,,8.6,0,0,0,0.1,0.1,0.07,-0.1,-0.1
134,Danny Drinkwater,eng ENG,MF,Chelsea,27,1990,5.9,1,6,2,33.3,1.02,0.34,0.17,0.5,22.7,0,0,0,0.2,0.2,0.03,0.8,0.8
135,Martin Dúbravka,sk SVK,GK,Newcastle Utd,28,1989,12,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
136,Shane Duffy,ie IRL,DF,Brighton,25,1992,36.6,0,28,4,14.3,0.77,0.11,0,0,10,0,0,0,2.3,2.3,0.08,-2.3,-2.3
137,Paul Dummett,wls WAL,DF,Newcastle Utd,25,1991,17.8,0,4,0,0,0.22,0,0,,14.2,0,0,0,0.3,0.3,0.07,-0.3,-0.3
138,Lewis Dunk,eng ENG,DF,Brighton,25,1991,38,1,27,8,29.6,0.71,0.21,0.04,0.13,11.5,1,0,0,2.7,2.7,0.1,-1.7,-1.7
139,Nathan Dyer,eng ENG,"MF,FW",Swansea City,29,1987,14.5,0,10,2,20,0.69,0.14,0,0,21.4,0,0,0,0.9,0.9,0.09,-0.9,-0.9
140,Ederson,br BRA,GK,Manchester City,23,1993,35.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
141,Tom Edwards,eng ENG,"DF,MF",Stoke City,18,1999,5.3,0,1,0,0,0.19,0,0,,34.1,0,0,0,0,0,0.01,0,0
142,Rob Elliot,ie IRL,GK,Newcastle Utd,31,1986,16,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
143,Mohamed Elneny,eg EGY,MF,Arsenal,25,1992,9.6,0,8,1,12.5,0.83,0.1,0,0,24.5,0,0,0,0.3,0.3,0.04,-0.3,-0.3
144,Christian Eriksen,dk DEN,"MF,FW",Tottenham,25,1992,35.8,10,97,39,40.2,2.71,1.09,0.1,0.26,23,16,0,0,7,7,0.07,3,3
145,Jonny Evans,nir NIR,DF,West Brom,29,1988,25.2,2,10,5,50,0.4,0.2,0.2,0.4,7.8,0,0,0,2.1,2.1,0.22,-0.1,-0.1
146,Patrice Evra,fr FRA,"DF,MF",West Ham,36,1981,2.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
147,Łukasz Fabiański,pl POL,GK,Swansea City,32,1985,38,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
148,Cesc Fàbregas,es ESP,MF,Chelsea,30,1987,25.6,2,38,10,26.3,1.48,0.39,0.05,0.2,19.2,2,0,0,2.4,2.4,0.06,-0.4,-0.4
149,Marouane Fellaini,be BEL,MF,Manchester Utd,29,1987,7.6,4,10,7,70,1.32,0.92,0.4,0.57,8.5,0,0,0,3.5,3.5,0.35,0.5,0.5
150,Kiko Femenía,es ESP,"DF,FW",Watford,26,1991,19,1,9,3,33.3,0.47,0.16,0.11,0.33,20.7,0,0,0,0.4,0.4,0.04,0.6,0.6
151,Leroy Fer,nl NED,MF,Swansea City,27,1990,15.5,1,12,3,25,0.77,0.19,0.08,0.33,14.6,0,0,0,1.6,1.6,0.14,-0.6,-0.6
152,Edimilson Fernandes,ch SUI,"MF,DF",West Ham,21,1996,9.4,0,7,1,14.3,0.75,0.11,0,0,22.6,0,0,0,0.3,0.3,0.04,-0.3,-0.3
153,Federico Fernández,ar ARG,DF,Swansea City,28,1989,29.7,1,8,2,25,0.27,0.07,0.13,0.5,10.5,0,0,0,0.7,0.7,0.08,0.3,0.3
154,Fernandinho,br BRA,MF,Manchester City,32,1985,32,5,47,19,40.4,1.47,0.59,0.11,0.26,23.1,0,0,0,2.1,2.1,0.04,2.9,2.9
155,Sam Field,eng ENG,MF,West Brom,19,1998,6,1,5,1,20,0.84,0.17,0.2,1,11.4,0,0,0,0.5,0.5,0.11,0.5,0.5
156,Roberto Firmino,br BRA,FW,Liverpool,25,1991,30.7,15,83,36,43.4,2.7,1.17,0.17,0.39,17.1,0,1,1,10.7,9.9,0.12,4.3,4.1
157,Darren Fletcher,sct SCO,MF,Stoke City,33,1984,24.7,1,11,2,18.2,0.45,0.08,0.09,0.5,25.8,0,0,0,0.4,0.4,0.03,0.6,0.6
158,Phil Foden,eng ENG,"MF,FW",Manchester City,17,2000,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
159,José Fonte,pt POR,DF,West Ham,33,1983,7.6,0,8,1,12.5,1.05,0.13,0,0,15.3,0,0,0,0.6,0.6,0.08,-0.6,-0.6
160,Fraser Forster,eng ENG,GK,Southampton,29,1988,20,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
161,Ben Foster,eng ENG,GK,West Brom,34,1983,37,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
