rank,player,nation,position,team,age,born,matches_played,starts,minutes_played,ninetys,goals,assists,direct_goal_contributions,non_penalty_goals,penalties_scored,penalties_attempted,yellow_cards,red_cards,expected_goals,non_penalty_expected_goals,expected_assisted_goals,non_penalty_expected_goals+expected_assisted_goals,progressive_carries,progressive_passes,progressive_recieves,goals_per_90,assists_per_90,direct_goal_contributions_per_90,non_penalty_goals_per_90,direct_non_penalty_goal_contributions_per_90,expected_goals_per_90,expected_assisted_goals_per_90,expected_direct_goal_contributions_per_90,non_penalty_expected_goals_per_90,expected_non_penalty_direct_goal_contributions_per_90
60,Sofiane Boufal,ma MAR,"FW,MF",Southampton,23,1993,26,11,"1,219",13.5,2,2,4,2,0,0,1,0,1.7,1.7,1.8,3.4,78,76,114,0.15,0.15,0.3,0.15,0.3,0.12,0.13,0.25,0.12,0.25
61,Robbie Brady,ie IRL,MF,Burnley,25,1992,15,15,"1,277",14.2,1,2,3,1,0,0,3,0,1.2,1.2,2.1,3.3,32,54,67,0.07,0.14,0.21,0.07,0.21,0.08,0.15,0.23,0.08,0.23
62,Claudio Bravo,cl CHI,GK,Manchester City,34,1983,3,2,226,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Miguel Britos,uy URU,DF,Watford,32,1985,12,10,797,8.9,1,0,1,1,0,0,3,1,0.8,0.8,0.4,1.2,5,43,4,0.11,0,0.11,0.11,0.11,0.09,0.05,0.14,0.09,0.14
64,Leon Britton,eng ENG,MF,Swansea City,34,1982,5,4,302,3.4,0,0,0,0,0,0,1,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0
65,Izzy Brown,eng ENG,"MF,FW",Brighton,20,1997,13,4,311,3.5,0,0,0,0,0,0,0,0,0.1,0.1,0.8,0.9,9,9,22,0,0,0,0,0,0.02,0.24,0.26,0.02,0.26
66,Bruno,es ESP,DF,Brighton,36,1980,25,23,"2,016",22.4,0,0,0,0,0,0,3,0,0.1,0.1,0.6,0.7,20,78,55,0,0,0,0,0,0,0.03,0.03,0,0.03
67,Chris Brunt,nir NIR,"MF,DF",West Brom,32,1984,26,22,"1,920",21.3,0,7,7,0,0,0,5,0,1.8,1.8,4.3,6.1,24,100,37,0,0.33,0.33,0,0.33,0.09,0.2,0.29,0.09,0.29
68,Oliver Burke,sct SCO,"FW,MF",West Brom,20,1997,15,2,367,4.1,0,2,2,0,0,0,0,0,0.5,0.5,0.5,1,12,6,37,0,0.49,0.49,0,0.49,0.12,0.13,0.25,0.12,0.25
69,Jack Butland,eng ENG,GK,Stoke City,24,1993,35,35,"3,150",35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Sam Byram,eng ENG,"DF,MF",West Ham,23,1993,5,2,248,2.8,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,5,14,10,0,0,0,0,0,0.11,0.04,0.15,0.11,0.15
71,Willy Caballero,ar ARG,GK,Chelsea,35,1981,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,Yohan Cabaye,fr FRA,MF,Crystal Palace,31,1986,31,28,"2,376",26.4,0,1,1,0,0,0,7,0,2.3,2.3,4.1,6.4,13,138,37,0,0.04,0.04,0,0.04,0.09,0.15,0.24,0.09,0.24
73,Gary Cahill,eng ENG,DF,Chelsea,31,1985,27,24,"2,086",23.2,0,0,0,0,0,0,1,1,0.5,0.5,0.1,0.6,17,69,8,0,0,0,0,0,0.02,0,0.02,0.02,0.02
74,Dominic Calvert-Lewin,eng ENG,FW,Everton,20,1997,32,18,"1,882",20.9,4,6,10,4,0,0,4,0,4.9,4.8,2.6,7.4,42,27,125,0.19,0.29,0.48,0.19,0.48,0.23,0.12,0.36,0.23,0.36
75,Geoff Cameron,us USA,"DF,MF",Stoke City,32,1985,20,17,"1,525",16.9,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.5,9,48,15,0,0,0,0,0,0.02,0.01,0.03,0.02,0.03
76,Tyrese Campbell,eng ENG,FW,Stoke City,17,1999,4,0,79,0.9,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,1,4,4,0,0,0,0,0,0.24,0,0.24,0.24,0.24
77,Emre Can,de GER,MF,Liverpool,23,1994,26,24,"2,091",23.2,3,4,7,3,0,0,8,0,1.8,1.8,3,4.8,84,137,48,0.13,0.17,0.3,0.13,0.3,0.08,0.13,0.21,0.08,0.21
78,Étienne Capoue,fr FRA,MF,Watford,29,1988,23,18,"1,542",17.1,1,0,1,1,0,0,3,0,0.8,0.8,0.6,1.4,8,74,22,0.06,0,0.06,0.06,0.06,0.05,0.03,0.08,0.05,0.08
79,Michael Carrick,eng ENG,MF,Manchester Utd,36,1981,2,1,109,1.2,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6,0,15,1,0,0,0,0,0,0.43,0.05,0.48,0.43,0.48
80,André Carrillo,pe PER,"FW,MF",Watford,26,1991,28,16,"1,540",17.1,1,2,3,1,0,0,2,0,2.3,2.3,2.8,5.1,71,72,97,0.06,0.12,0.18,0.06,0.18,0.14,0.16,0.3,0.14,0.3
81,Guido Carrillo,ar ARG,FW,Southampton,26,1991,7,5,450,5,0,1,1,0,0,0,0,0,0.7,0.7,0.4,1,3,8,32,0,0.2,0.2,0,0.2,0.13,0.08,0.21,0.13,0.21
82,Andy Carroll,eng ENG,FW,West Ham,28,1989,16,7,751,8.3,3,0,3,3,0,0,6,2,1.8,1.8,0.5,2.4,6,11,42,0.36,0,0.36,0.36,0.36,0.22,0.06,0.28,0.22,0.28
83,Tom Carroll,eng ENG,MF,Swansea City,25,1992,37,28,"2,570",28.6,0,4,4,0,0,0,3,0,0.9,0.9,4.1,5,54,179,57,0,0.14,0.14,0,0.14,0.03,0.14,0.18,0.03,0.18
84,Craig Cathcart,nir NIR,DF,Watford,28,1989,7,5,523,5.8,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,2,11,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02
85,Petr Čech,cz CZE,GK,Arsenal,35,1982,34,34,"3,039",33.8,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
86,Nacer Chadli,be BEL,"FW,MF",West Brom,27,1989,5,2,260,2.9,1,0,1,1,0,0,1,0,0.2,0.2,0.1,0.3,4,7,8,0.35,0,0.35,0.35,0.35,0.08,0.04,0.11,0.08,0.11
87,Nathaniel Chalobah,eng ENG,MF,Watford,22,1994,6,5,447,5,0,0,0,0,0,0,1,0,0.8,0.8,0,0.9,7,22,14,0,0,0,0,0,0.17,0.01,0.18,0.17,0.18
88,Calum Chambers,eng ENG,DF,Arsenal,22,1995,12,10,866,9.6,0,0,0,0,0,0,1,0,1.4,1.4,0.1,1.5,11,43,20,0,0,0,0,0,0.15,0.01,0.16,0.15,0.16
89,Ben Chilwell,eng ENG,DF,Leicester City,20,1996,24,20,"1,853",20.6,0,2,2,0,0,0,2,2,0.2,0.2,2.4,2.6,85,78,121,0,0.1,0.1,0,0.1,0.01,0.12,0.13,0.01,0.13
90,Hamza Choudhury,eng ENG,"MF,DF",Leicester City,19,1997,8,4,378,4.2,0,1,1,0,0,0,1,0,0,0,0.4,0.4,2,16,1,0,0.24,0.24,0,0.24,0.01,0.09,0.1,0.01,0.1
91,Andreas Christensen,dk DEN,DF,Chelsea,21,1996,27,23,"2,086",23.2,0,0,0,0,0,0,0,0,0.9,0.9,0.1,1,22,76,2,0,0,0,0,0,0.04,0,0.04,0.04,0.04
92,Lee Chung-yong,kr KOR,"FW,MF",Crystal Palace,29,1988,7,1,135,1.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,4,2,16,0,0,0,0,0,0.02,0.05,0.07,0.02,0.07
93,Ciaran Clark,ie IRL,DF,Newcastle Utd,27,1989,20,19,"1,746",19.4,2,1,3,2,0,0,3,0,1.7,1.7,0.7,2.5,12,29,3,0.1,0.05,0.15,0.1,0.15,0.09,0.04,0.13,0.09,0.13
94,Tom Cleverley,eng ENG,MF,Watford,27,1989,23,22,"1,902",21.1,1,2,3,1,0,1,2,2,1.9,1.1,1.6,2.7,31,136,66,0.05,0.09,0.14,0.05,0.14,0.09,0.08,0.17,0.05,0.13
95,Sam Clucas,eng ENG,MF,Swansea City,26,1990,29,23,"2,044",22.7,3,1,4,3,0,0,2,0,2.6,2.6,1.3,3.8,24,61,68,0.13,0.04,0.18,0.13,0.18,0.11,0.06,0.17,0.11,0.17
96,Nathaniel Clyne,eng ENG,"DF,FW",Liverpool,26,1991,3,2,174,1.9,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,5,5,29,0,0,0,0,0,0.07,0.04,0.1,0.07,0.1
97,Séamus Coleman,ie IRL,DF,Everton,28,1988,12,12,"1,035",11.5,0,1,1,0,0,0,0,0,1,1,0.7,1.7,34,44,44,0,0.09,0.09,0,0.09,0.09,0.06,0.15,0.09,0.15
98,James Collins,wls WAL,DF,West Ham,33,1983,13,12,"1,050",11.7,1,0,1,1,0,0,3,0,0.3,0.3,0.2,0.5,5,24,1,0.09,0,0.09,0.09,0.09,0.03,0.02,0.05,0.03,0.05
99,Lewis Cook,eng ENG,MF,Bournemouth,20,1997,29,25,"2,237",24.9,0,2,2,0,0,0,5,0,0.5,0.5,1.6,2,52,173,30,0,0.08,0.08,0,0.08,0.02,0.06,0.08,0.02,0.08
100,Steve Cook,eng ENG,DF,Bournemouth,26,1991,34,31,"2,767",30.7,2,1,3,2,0,0,5,0,1.6,1.6,1,2.6,15,83,9,0.07,0.03,0.1,0.07,0.1,0.05,0.03,0.08,0.05,0.08
101,Francis Coquelin,fr FRA,"MF,DF",Arsenal,26,1991,7,1,169,1.9,0,0,0,0,0,0,0,0,0.1,0.1,0.6,0.7,1,11,1,0,0,0,0,0,0.03,0.35,0.38,0.03,0.38
102,Jack Cork,eng ENG,MF,Burnley,28,1989,38,38,"3,420",38,2,1,3,2,0,0,7,0,2.2,2.2,1.1,3.3,39,165,41,0.05,0.03,0.08,0.05,0.08,0.06,0.03,0.09,0.06,0.09
103,Thibaut Courtois,be BEL,GK,Chelsea,25,1992,35,35,"3,150",35,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Philippe Coutinho,br BRA,"MF,FW",Liverpool,25,1992,14,13,"1,109",12.3,7,6,13,7,0,0,0,0,3.5,3.5,4.7,8.2,69,145,94,0.57,0.49,1.06,0.57,1.06,0.28,0.38,0.67,0.28,0.67
105,Martin Cranie,eng ENG,DF,Huddersfield,30,1986,3,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
106,Aaron Cresswell,eng ENG,DF,West Ham,27,1989,36,35,"3,069",34.1,1,3,4,1,0,0,7,0,0.8,0.8,3.2,3.9,35,128,62,0.03,0.09,0.12,0.03,0.12,0.02,0.09,0.12,0.02,0.12
107,Peter Crouch,eng ENG,FW,Stoke City,36,1981,31,14,"1,567",17.4,5,2,7,5,0,0,4,0,4.2,4.2,2.8,7,9,41,85,0.29,0.11,0.4,0.29,0.4,0.24,0.16,0.4,0.24,0.4
108,Josh Cullen,ie IRL,MF,West Ham,21,1996,2,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Charlie Daniels,eng ENG,"DF,MF",Bournemouth,30,1986,35,34,"3,002",33.4,1,3,4,1,0,0,0,0,0.6,0.6,2.2,2.8,104,155,165,0.03,0.09,0.12,0.03,0.12,0.02,0.06,0.08,0.02,0.08
110,Danilo,br BRA,DF,Manchester City,26,1991,23,13,"1,349",15,3,2,5,3,0,0,2,0,1.1,1.1,0.2,1.3,40,89,74,0.2,0.13,0.33,0.2,0.33,0.07,0.01,0.09,0.07,0.09
111,Scott Dann,eng ENG,DF,Crystal Palace,30,1987,17,16,"1,435",15.9,1,0,1,1,0,0,4,0,2.3,2.3,0.2,2.5,7,42,3,0.06,0,0.06,0.06,0.06,0.14,0.01,0.16,0.14,0.16
112,Karl Darlow,eng ENG,GK,Newcastle Utd,26,1990,10,10,900,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,Matteo Darmian,it ITA,DF,Manchester Utd,27,1989,8,5,444,4.9,0,0,0,0,0,0,0,0,0,0,0,0.1,7,16,10,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01
114,Ben Davies,wls WAL,DF,Tottenham,24,1993,29,26,"2,324",25.8,2,6,8,2,0,0,3,0,1.1,1.1,3.2,4.3,73,165,178,0.08,0.23,0.31,0.08,0.31,0.04,0.12,0.16,0.04,0.16
115,Tom Davies,eng ENG,MF,Everton,19,1998,33,20,"1,900",21.1,2,1,3,2,0,0,7,0,1.5,1.5,0.6,2.1,36,62,70,0.09,0.05,0.14,0.09,0.14,0.07,0.03,0.1,0.07,0.1
116,Steven Davis,nir NIR,MF,Southampton,32,1985,23,17,"1,521",16.9,3,0,3,3,0,0,0,0,0.9,0.9,1.1,2,23,129,56,0.18,0,0.18,0.18,0.18,0.05,0.07,0.12,0.05,0.12
117,Craig Dawson,eng ENG,DF,West Brom,27,1990,28,28,"2,510",27.9,2,0,2,2,0,0,6,0,2.3,2.3,1.2,3.5,18,83,20,0.07,0,0.07,0.07,0.07,0.08,0.04,0.13,0.08,0.13
118,Kevin De Bruyne,be BEL,MF,Manchester City,26,1991,37,36,"3,073",34.1,8,16,24,8,0,0,2,0,5.1,5.1,11.1,16.2,183,388,259,0.23,0.47,0.7,0.23,0.7,0.15,0.32,0.48,0.15,0.48
119,Troy Deeney,eng ENG,FW,Watford,29,1988,29,20,"1,844",20.5,5,2,7,2,3,5,1,1,6.9,2.8,2.8,5.7,3,71,126,0.24,0.1,0.34,0.1,0.2,0.33,0.14,0.47,0.14,0.28
