player,position,team,goals,shots,shots_on_target,goals/shots,goals/shots_on_target,average_shot_distance,shots_from_free_kicks,shots_from_penalties,non_penalty_expected_goals/shots,goals-expected_goals,non_penalty_goals-non_penalty_expected_goals
Michail Antonio,FW,West Ham,67,30,0.13,0.3,13.7,0,1,1,0.19,-2.9,-3.1
Faustino Anjorin,FW,Chelsea,1,0,0,,31.8,0,0,0,0.02,0,0
Angeliño,DF,Manchester City,5,0,0,,19.8,0,0,0,0.04,-0.2,-0.2
Florin Andone,FW,Brighton,1,1,1,1,7.8,0,0,0,0.36,0.6,0.6
Felipe Anderson,"MF,FW",West Ham,23,8,0.04,0.13,17.1,0,0,0,0.11,-1.5,-1.5
Ibrahim Amadou,"DF,MF",Norwich City,6,1,0,0,17.6,0,0,0,0.13,-0.8,-0.8
Steven Alzate,"MF,DF",Brighton,13,3,0,0,18.3,0,0,0,0.09,-1.2,-1.2
Marcos Alonso,DF,Chelsea,30,8,0.13,0.5,16.5,1,0,0,0.09,1.4,1.4
Miguel Almirón,"MF,FW",Newcastle Utd,56,17,0.07,0.24,16.2,0,0,0,0.12,-2.7,-2.7
Dele Alli,"MF,FW",Tottenham,41,18,0.17,0.39,14.9,0,1,1,0.18,-0.1,-0.3
Alisson,GK,Liverpool,0,0,,,,0,0,0,,0,0
Trent Alexander-Arnold,DF,Liverpool,44,13,0.09,0.31,22.6,13,0,0,0.06,1.2,1.2
Toby Alderweireld,DF,Tottenham,16,4,0.13,0.5,12.6,0,0,0,0.05,1.3,1.3
Marc Albrighton,"MF,DF",Leicester City,10,2,0,0,20.7,0,0,0,0.04,-0.4,-0.4
Nathan Aké,DF,Bournemouth,25,7,0.08,0.29,10.3,0,0,0,0.12,-1,-1
Albian Ajeti,FW,West Ham,3,0,0,,15.7,0,0,0,0.06,-0.2,-0.2
Sergio Agüero,FW,Manchester City,73,24,0.19,0.58,13.7,0,2,3,0.17,1.5,1.9
Adrián,GK,Liverpool,0,0,,,,0,0,0,,0,0
Che Adams,FW,Southampton,36,9,0.11,0.44,15.2,0,0,0,0.15,-1.3,-1.3
Tammy Abraham,FW,Chelsea,88,35,0.17,0.43,11.6,0,0,0,0.19,-1.4,-1.4
Max Aarons,DF,Norwich City,14,4,0,0,17.2,0,0,0,0.04,-0.6,-0.6
Patrick van Aanholt,DF,Crystal Palace,26,5,0.08,0.4,21.7,3,1,1,0.05,0.9,0.7
