rank,player,nation,position,team,age,born,ninetys,touches,touches_in_defensive_penalty_area,touches_in_defensive_third,touches_in_middle_third,touches_in_attacking_third,touches_in_attacking_penalty_area,live_ball_touches,take_ons_attempted,take_ons_succeeded,take_on_success_percentage,times_tackled_during_take_on,tackled_during_take_on_percentage,carries,total_carrying_distance,progressive_carrying_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received
163,Anwar El Ghazi,nl NED,"FW,MF",Aston Villa,24,1995,22.8,840,21,111,276,466,64,839,52,29,55.8,23,44.2,501,3267,1633,65,57,8,54,35,604,155
164,Morgan Gibbs-White,eng ENG,"MF,FW",Wolves,19,2000,1.4,94,1,8,48,39,4,94,3,1,33.3,2,66.7,58,300,117,5,0,1,7,0,78,11
165,Billy Gilmour,sct SCO,MF,Chelsea,18,2001,2.2,196,4,50,119,29,2,196,5,2,40,3,60,106,616,230,4,1,0,3,3,151,3
166,Olivier Giroud,fr FRA,FW,Chelsea,32,1986,11,416,15,26,223,168,65,416,4,3,75,1,25,179,480,224,6,7,2,15,8,307,59
167,Ben Godfrey,eng ENG,DF,Norwich City,21,1998,29.4,1974,365,1242,687,65,12,1974,12,8,66.7,4,33.3,1309,6661,3619,23,19,6,13,4,1362,2
168,André Gomes,pt POR,MF,Everton,26,1993,16.2,984,31,217,631,148,11,984,35,25,71.4,10,28.6,620,2741,1159,10,17,1,20,23,700,16
169,Angel Gomes,eng ENG,MF,Manchester Utd,18,2000,0.2,16,0,1,10,5,1,16,0,0,,0,,12,73,43,2,2,1,1,0,15,2
170,Joe Gomez,eng ENG,DF,Liverpool,22,1997,22.3,2185,137,774,1354,64,1,2185,11,8,72.7,3,27.3,1591,7257,4208,17,14,1,14,3,1605,11
171,Anthony Gordon,eng ENG,"MF,FW",Everton,18,2001,4.9,191,2,35,91,69,7,191,16,11,68.8,5,31.3,117,814,382,13,13,2,11,8,126,26
172,Dan Gosling,eng ENG,MF,Bournemouth,29,1990,14,721,42,197,367,160,32,721,14,4,28.6,10,71.4,414,1633,615,10,10,4,30,21,442,36
173,Andre Gray,jm JAM,FW,Watford,28,1991,8.4,235,4,10,83,145,39,235,11,6,54.5,5,45.5,147,581,190,6,6,3,31,14,173,64
174,Demarai Gray,jm JAM,"MF,FW",Leicester City,23,1996,6.9,439,3,37,172,236,38,438,25,10,40,15,60,312,2361,1048,40,27,17,20,19,324,78
175,Jack Grealish,eng ENG,"FW,MF",Aston Villa,23,1995,35.9,1933,43,285,753,939,130,1932,117,73,62.4,44,37.6,1381,11836,6064,212,127,72,71,59,1438,209
176,Mason Greenwood,eng ENG,FW,Manchester Utd,17,2001,14.7,633,9,65,270,308,58,633,32,21,65.6,11,34.4,393,2156,1095,32,20,17,25,15,507,116
177,Pascal Groß,de GER,"MF,FW",Brighton,28,1991,20,1244,16,112,546,590,48,1244,14,6,42.9,8,57.1,601,2856,1280,36,34,8,35,20,847,198
178,Vicente Guaita,es ESP,GK,Crystal Palace,32,1987,35,1141,994,1139,3,0,0,1141,0,0,,0,,538,3403,2739,0,0,0,0,0,432,0
179,Mattéo Guendouzi,fr FRA,MF,Arsenal,20,1999,19.4,1385,70,351,785,270,18,1385,43,24,55.8,19,44.2,864,5825,3157,50,38,10,20,21,1013,27
180,Frederic Guilbert,fr FRA,"DF,MF",Aston Villa,24,1994,22.7,1385,105,443,593,361,10,1385,48,23,47.9,25,52.1,518,3068,1762,56,42,1,30,14,636,96
181,İlkay Gündoğan,de GER,MF,Manchester City,28,1990,22.4,2159,55,288,1325,562,41,2157,24,18,75,6,25,1517,6437,3002,39,63,5,15,11,1748,56
182,Angus Gunn,sct SCO,GK,Southampton,23,1996,10,277,221,276,1,0,0,277,0,0,,0,,121,966,703,0,0,0,0,0,83,0
183,Sébastien Haller,ci CIV,FW,West Ham,25,1994,25.2,1058,34,88,574,403,119,1058,40,24,60,15,37.5,490,2050,785,17,21,4,60,35,814,140
184,Grant Hanley,sct SCO,DF,Norwich City,27,1991,14,849,134,522,316,14,10,849,3,2,66.7,1,33.3,485,2153,1010,0,2,0,5,2,515,0
185,Kortney Hause,eng ENG,DF,Aston Villa,24,1995,17.2,1058,163,554,463,46,27,1058,13,9,69.2,4,30.8,520,3015,1655,8,4,0,13,7,559,4
186,Isaac Hayden,eng ENG,MF,Newcastle Utd,24,1995,24.7,1110,50,275,618,229,29,1110,43,27,62.8,16,37.2,532,2118,793,24,18,6,28,17,613,30
187,Tom Heaton,eng ENG,GK,Aston Villa,33,1986,19.9,681,589,668,12,1,0,681,0,0,,0,,259,1861,1376,0,0,0,2,0,203,0
188,Dean Henderson,eng ENG,GK,Sheffield Utd,22,1997,36,1120,948,1109,10,1,1,1120,0,0,,0,,544,4443,2726,0,0,0,2,0,363,0
189,Jordan Henderson,eng ENG,MF,Liverpool,29,1990,24.9,2144,29,289,1391,481,43,2144,28,17,60.7,11,39.3,1479,6546,3233,51,51,5,25,6,1580,77
190,Jeff Hendrick,ie IRL,MF,Burnley,27,1992,21.5,800,34,143,412,254,36,800,47,22,46.8,25,53.2,417,2079,844,24,19,8,39,29,462,61
191,Wayne Hennessey,wls WAL,GK,Crystal Palace,32,1987,3,118,105,117,1,0,0,118,0,0,,0,,41,238,176,0,0,0,0,0,36,0
192,Javier Hernández,mx MEX,FW,West Ham,31,1988,1.2,26,0,1,14,11,4,26,0,0,,0,,14,38,7,0,0,0,1,1,17,4
193,Onel Hernández,cu CUB,"FW,MF",Norwich City,26,1993,15.4,560,16,94,185,299,71,560,76,42,55.3,34,44.7,390,3160,1735,72,25,37,39,36,356,124
194,Son Heung-min,kr KOR,FW,Tottenham,27,1992,27.5,1230,25,144,462,641,137,1229,107,62,57.9,45,42.1,833,5246,2550,90,49,56,66,57,853,215
195,George Hirst,eng ENG,"MF,DF",Leicester City,20,1999,0.1,12,0,0,5,7,2,12,1,0,0,1,100,8,26,11,0,0,0,1,0,10,1
196,Rob Holding,eng ENG,DF,Arsenal,23,1995,6.5,440,73,242,189,10,6,440,4,2,50,2,50,292,1320,707,3,2,0,4,2,310,1
197,José Holebas,gr GRE,DF,Watford,35,1984,11.4,731,40,176,345,215,5,731,16,7,43.8,9,56.3,304,1386,770,23,17,3,5,5,341,27
198,Mason Holgate,eng ENG,DF,Everton,22,1996,22.8,1319,169,706,577,45,16,1319,12,10,83.3,2,16.7,767,4387,2522,18,12,1,8,6,790,4
199,Nathan Holland,eng ENG,MF,West Ham,21,1998,0.4,21,0,3,4,14,1,21,3,3,100,0,0,17,89,42,1,2,1,3,1,18,6
200,Conor Hourihane,ie IRL,MF,Aston Villa,28,1991,17,863,40,125,403,341,27,863,7,4,57.1,3,42.9,365,1224,535,9,11,1,11,8,493,57
201,Callum Hudson-Odoi,eng ENG,"FW,MF",Chelsea,18,2000,9.6,611,3,47,190,381,49,611,48,27,56.3,21,43.8,442,3068,1656,63,27,26,29,18,495,116
202,Will Hughes,eng ENG,MF,Watford,24,1995,25,1254,44,235,612,420,47,1254,33,24,72.7,9,27.3,632,3123,1642,40,33,5,46,32,688,60
203,Pierre Højbjerg,dk DEN,MF,Southampton,23,1995,30.6,2248,83,412,1446,426,39,2248,52,40,76.9,12,23.1,1134,5822,2633,33,42,6,64,26,1340,55
204,Jordon Ibe,eng ENG,DF,Bournemouth,23,1995,0.6,28,3,5,18,7,0,28,2,1,50,1,50,17,200,119,4,2,0,1,1,15,4
205,Adam Idah,ie IRL,"FW,MF",Norwich City,18,2001,2.5,83,1,10,38,35,8,83,4,0,0,4,100,48,230,64,5,1,1,10,5,53,11
206,Odion Ighalo,ng NGA,FW,Manchester Utd,30,1989,1.1,49,1,2,18,29,16,49,6,3,50,3,50,29,128,31,2,1,1,4,4,35,13
207,Kelechi Iheanacho,ng NGA,FW,Leicester City,22,1996,10.7,418,5,24,172,227,72,418,27,16,59.3,11,40.7,315,1567,704,22,15,10,52,21,348,88
208,Danny Ings,eng ENG,FW,Southampton,27,1992,31.2,1096,33,110,440,566,165,1094,97,48,49.5,49,50.5,579,3011,1315,50,33,26,70,50,695,194
209,Alex Iwobi,ng NGA,"MF,FW",Everton,23,1996,17.7,794,16,116,351,341,47,794,52,32,61.5,20,38.5,534,3317,1800,60,55,12,35,17,542,84
210,Phil Jagielka,eng ENG,DF,Sheffield Utd,36,1982,2.7,118,26,78,37,3,1,118,0,0,,0,,29,119,22,0,0,0,0,0,43,0
211,Alireza Jahanbakhsh,ir IRN,"FW,MF",Brighton,25,1993,3.5,193,3,21,60,115,10,193,15,8,53.3,7,46.7,118,560,252,8,5,1,8,6,137,51
212,Daniel James,wls WAL,FW,Manchester Utd,21,1997,25.4,1049,7,120,386,558,86,1049,62,27,43.5,35,56.5,682,5477,3422,140,69,43,46,29,826,263
213,Matty James,eng ENG,MF,Leicester City,28,1991,0.1,5,0,2,3,0,0,5,0,0,,0,,5,14,6,0,0,0,0,0,5,0
214,Reece James,eng ENG,DF,Chelsea,19,1999,16.8,1480,41,336,696,463,18,1480,42,30,71.4,12,28.6,926,4331,2040,43,34,3,17,22,990,115
215,Daryl Janmaat,nl NED,DF,Watford,30,1989,6.7,426,31,105,189,135,8,426,7,5,71.4,2,28.6,227,1077,600,15,13,2,9,2,251,30
216,Gabriel Jesus,br BRA,FW,Manchester City,22,1997,22.6,872,7,54,319,509,171,871,60,45,75,15,25,602,2691,1147,55,22,29,48,33,675,203
217,Raúl Jiménez,mx MEX,FW,Wolves,28,1991,36,1476,38,125,741,630,192,1472,99,62,62.6,37,37.4,797,4867,2245,89,54,42,110,67,1153,223
218,João Pedro,br BRA,"FW,MF",Watford,17,2001,0.3,14,0,1,3,10,2,14,4,3,75,1,25,12,138,62,2,2,1,0,2,13,3
219,Joelinton,br BRA,FW,Newcastle Utd,22,1996,29.8,1235,39,112,712,424,94,1235,80,41,51.3,39,48.8,699,3690,1486,47,37,26,134,60,875,133
220,Ben Johnson,eng ENG,DF,West Ham,19,2000,3,195,14,71,82,42,0,195,1,1,100,0,0,99,418,160,7,2,0,3,1,106,8
221,Curtis Jones,eng ENG,MF,Liverpool,18,2001,1.4,140,0,20,71,50,7,140,4,3,75,1,25,102,454,232,4,5,1,2,4,111,7
222,Phil Jones,eng ENG,DF,Manchester Utd,27,1992,1.5,122,9,57,56,10,3,122,1,1,100,0,0,53,331,222,2,1,0,2,0,66,1
223,Bruno Jordão,pt POR,FW,Wolves,20,1998,0.1,7,0,0,5,2,0,7,0,0,,0,,4,39,17,0,0,0,0,0,4,0
224,Jorginho,it ITA,MF,Chelsea,27,1991,26.4,2531,79,527,1663,356,10,2528,21,13,61.9,8,38.1,1580,6854,3243,24,34,2,19,22,1832,29
225,Jota,es ESP,"FW,MF",Aston Villa,28,1991,3.7,136,8,28,53,58,8,136,8,7,87.5,1,12.5,98,746,379,10,10,2,7,13,95,23
226,Diogo Jota,pt POR,FW,Wolves,22,1996,25.4,1256,9,106,589,592,146,1256,133,66,49.6,67,50.4,785,6181,3569,131,93,51,80,57,963,200
227,James Justin,eng ENG,"DF,MF",Leicester City,21,1998,11.2,952,29,234,482,244,18,952,17,8,47.1,9,52.9,547,2421,1277,30,32,5,18,12,620,59
228,Christian Kabasele,be BEL,DF,Watford,28,1991,25,954,185,546,390,23,18,954,10,9,90,1,10,433,1896,776,1,1,0,12,5,437,0
229,Harry Kane,eng ENG,FW,Tottenham,26,1993,28.7,892,38,74,427,400,117,890,55,28,50.9,27,49.1,576,2992,1209,46,24,23,68,32,685,174
230,N'Golo Kanté,fr FRA,MF,Chelsea,28,1991,19.2,1406,49,264,763,398,32,1406,38,24,63.2,14,36.8,779,4314,2226,41,49,3,33,29,910,63
231,Moise Kean,it ITA,FW,Everton,19,2000,9.5,270,6,24,106,146,49,270,48,25,52.1,23,47.9,203,1359,559,26,11,15,33,19,197,60
232,Michael Keane,eng ENG,DF,Everton,26,1993,28.4,1778,295,991,751,45,33,1778,1,1,100,0,0,992,4975,2648,9,1,1,7,4,1078,3
233,Naby Keïta,gn GUI,MF,Liverpool,24,1995,9.1,796,5,74,489,246,20,796,26,23,88.5,3,11.5,537,2922,1686,35,44,5,14,9,603,36
234,Lloyd Kelly,eng ENG,DF,Bournemouth,20,1998,7.1,294,40,149,96,52,6,294,2,2,100,0,0,139,663,328,6,2,0,5,3,133,9
235,Martin Kelly,eng ENG,DF,Crystal Palace,29,1990,17.2,885,97,400,399,88,6,885,10,5,50,5,50,332,1400,728,6,9,2,10,3,442,14
236,Max Kilman,eng ENG,DF,Wolves,22,1997,2.1,120,12,57,63,0,0,120,1,1,100,0,0,61,285,169,0,0,0,1,0,74,0
237,Joshua King,no NOR,"FW,MF",Bournemouth,27,1992,22.3,817,12,88,350,399,84,814,107,52,48.6,55,51.4,555,4169,1749,60,47,23,77,54,585,151
238,Timm Klose,ch SUI,DF,Norwich City,31,1988,6.5,465,59,279,180,7,4,465,3,2,66.7,1,33.3,279,1324,705,4,1,0,1,1,315,1
239,Jonathan Kodjia,ci CIV,FW,Aston Villa,29,1989,1.3,43,2,3,17,23,7,43,3,1,33.3,2,66.7,18,133,62,4,2,1,4,0,29,10
240,Sead Kolašinac,ba BIH,DF,Arsenal,26,1993,18.9,1202,61,361,570,281,29,1202,21,16,76.2,5,23.8,631,3253,2016,36,33,11,21,11,755,88
241,Ezri Konsa,eng ENG,DF,Aston Villa,21,1997,22.7,1094,116,489,517,100,21,1094,10,7,70,3,30,523,2275,1240,8,9,0,8,5,585,13
242,Cheikhou Kouyaté,sn SEN,"MF,DF",Crystal Palace,29,1989,28.1,1229,85,396,593,252,53,1229,31,17,54.8,14,45.2,533,2590,1120,12,19,1,44,25,677,55
243,Mateo Kovačić,hr CRO,MF,Chelsea,25,1994,23,2107,30,359,1348,426,14,2107,90,77,85.6,13,14.4,1518,8911,4135,72,57,5,30,27,1671,31
244,Emil Krafth,se SWE,DF,Newcastle Utd,24,1994,11.3,531,53,223,221,92,9,531,6,4,66.7,2,33.3,219,1014,598,11,11,1,8,3,278,20
245,Tim Krul,nl NED,GK,Norwich City,31,1988,36,1677,1362,1647,31,0,0,1677,1,0,0,1,100,942,4997,3275,0,0,0,1,1,840,0
246,Alexandre Lacazette,fr FRA,FW,Arsenal,28,1991,20.8,761,21,91,332,347,101,761,47,24,51.1,23,48.9,433,2029,826,21,9,5,54,37,545,137
247,Adam Lallana,eng ENG,"MF,FW",Liverpool,31,1988,4.2,340,7,49,179,116,13,340,5,2,40,3,60,219,820,392,9,11,1,13,5,234,17
248,Érik Lamela,ar ARG,"MF,FW",Tottenham,27,1992,13.5,750,17,85,331,350,29,750,44,30,68.2,14,31.8,538,3344,1612,51,51,12,26,42,537,84
249,Tariq Lamptey,gh GHA,DF,Chelsea,18,2000,0.4,18,0,4,5,9,1,18,1,0,0,1,100,7,50,17,1,2,0,0,0,5,1
250,Tariq Lamptey,gh GHA,DF,Brighton,18,2000,6.5,322,20,105,129,93,9,322,22,15,68.2,7,31.8,171,1128,601,17,10,7,13,7,173,32
251,Henri Lansbury,eng ENG,MF,Aston Villa,28,1990,2.2,109,3,25,58,27,4,109,0,0,,0,,45,161,48,0,1,0,7,0,60,2
252,Manuel Lanzini,ar ARG,"MF,FW",West Ham,26,1993,15.3,933,10,93,540,314,31,933,48,33,68.8,15,31.3,599,3612,1661,46,35,9,30,16,699,59
253,Aymeric Laporte,es ESP,DF,Manchester City,25,1994,12.2,1228,80,432,765,35,8,1228,3,2,66.7,1,33.3,946,5450,3802,23,18,0,1,1,978,3
254,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,25,1993,23.1,1076,188,662,386,33,18,1076,6,4,66.7,2,33.3,530,2311,838,3,5,0,6,4,553,1
255,Valentino Lazaro,at AUT,"DF,MF",Newcastle Utd,23,1996,5.3,242,16,91,88,64,6,242,13,8,61.5,5,38.5,142,639,349,7,4,2,4,6,141,14
256,Moritz Leitner,de GER,MF,Norwich City,26,1992,7.6,674,14,148,387,145,11,674,9,7,77.8,2,22.2,472,2543,1327,17,18,1,15,7,508,23
257,Florian Lejeune,fr FRA,DF,Newcastle Utd,28,1991,4.9,267,21,137,118,13,5,267,5,4,80,1,20,127,538,197,1,3,0,3,2,121,0
258,Aaron Lennon,eng ENG,MF,Burnley,32,1987,5.5,182,12,32,77,73,5,182,8,3,37.5,5,62.5,97,599,286,11,8,4,7,4,102,18
259,Bernd Leno,de GER,GK,Arsenal,27,1992,29.4,1061,950,1055,6,0,0,1061,1,1,100,0,0,543,3095,2134,0,0,0,1,0,437,0
260,Jefferson Lerma,co COL,MF,Bournemouth,24,1994,30,1732,115,497,1011,241,14,1732,37,26,70.3,11,29.7,1007,4041,1618,16,17,0,29,18,955,13
261,Jamal Lewis,nir NIR,DF,Norwich City,21,1998,25.6,1626,117,638,638,357,23,1626,65,34,52.3,31,47.7,931,5940,3418,100,65,12,36,21,937,106
262,Victor Lindelöf,se SWE,DF,Manchester Utd,25,1994,34.4,2379,288,1234,1086,65,11,2379,5,4,80,1,20,1376,7730,4458,16,17,0,13,4,1595,3
263,Jesse Lingard,eng ENG,"MF,FW",Manchester Utd,26,1992,10.4,508,5,30,249,234,32,508,23,13,56.5,10,43.5,284,1577,818,28,23,4,25,11,405,73
264,Hugo Lloris,fr FRA,GK,Tottenham,32,1986,20.1,621,585,621,0,0,0,621,0,0,,0,,320,1898,1306,0,0,0,0,1,219,0
265,Giovani Lo Celso,ar ARG,"MF,FW",Tottenham,23,1996,16.6,1266,23,171,691,425,27,1266,51,32,62.7,19,37.3,875,5567,2847,62,55,6,42,31,864,50
266,Jürgen Locadia,nl NED,"FW,MF",Brighton,25,1993,1,29,0,1,15,13,4,29,1,1,100,0,0,12,44,19,1,0,1,5,2,22,6
267,Ruben Loftus-Cheek,eng ENG,"MF,FW",Chelsea,23,1996,2.3,150,5,17,81,52,11,150,4,4,100,0,0,94,491,253,4,8,1,2,4,120,11
268,Kevin Long,ie IRL,DF,Burnley,28,1990,6.3,257,30,148,108,3,3,257,1,1,100,0,0,114,420,117,0,0,0,1,0,122,0
269,Shane Long,ie IRL,FW,Southampton,32,1987,15.5,597,15,42,256,301,67,597,13,6,46.2,7,53.8,270,1214,453,23,12,8,58,20,458,105
270,Matthew Longstaff,eng ENG,MF,Newcastle Utd,19,2000,6.4,293,8,65,186,43,5,293,4,3,75,1,25,161,573,207,4,2,2,4,7,192,2
271,Sean Longstaff,eng ENG,MF,Newcastle Utd,21,1997,15.3,857,39,203,500,158,7,857,18,7,38.9,11,61.1,450,1936,661,8,5,2,26,16,498,12
272,Dejan Lovren,hr CRO,DF,Liverpool,30,1989,8.6,778,80,339,416,25,16,778,1,1,100,0,0,502,2395,1443,8,7,0,1,0,518,3
273,Matthew Lowton,eng ENG,DF,Burnley,30,1989,17,946,78,254,480,216,7,946,15,9,60,6,40,381,1818,1077,17,15,1,13,2,443,42
274,David Luiz,br BRA,DF,Arsenal,32,1987,31.2,2106,331,1124,933,58,16,2106,8,5,62.5,3,37.5,1370,9179,5310,21,13,1,16,5,1451,4
275,Douglas Luiz,br BRA,MF,Aston Villa,21,1998,29,1551,104,405,882,287,29,1551,45,35,77.8,10,22.2,821,4977,2605,35,23,2,38,22,922,46
276,John Lundstram,eng ENG,MF,Sheffield Utd,25,1994,27.3,1525,59,244,715,579,51,1525,37,18,48.6,18,48.6,759,3955,1496,36,27,4,41,14,1067,111
277,Alexis Mac Allister,ar ARG,"MF,FW",Brighton,20,1998,3.9,169,1,26,68,79,7,169,4,2,50,2,50,73,278,115,2,3,1,7,7,85,13
278,James Maddison,eng ENG,MF,Leicester City,22,1996,29.2,1995,16,174,1003,838,72,1995,80,51,63.8,29,36.3,1333,6211,2608,53,58,19,56,29,1438,138
279,Harry Maguire,eng ENG,DF,Manchester Utd,26,1993,38,2915,360,1365,1412,166,61,2915,11,7,63.6,4,36.4,1753,12005,7489,69,37,4,11,6,1951,10
280,Riyad Mahrez,dz ALG,"FW,MF",Manchester City,28,1991,21.6,1479,20,119,518,860,132,1478,89,52,58.4,37,41.6,1113,6947,3413,118,75,58,46,33,1161,246
281,Ainsley Maitland-Niles,eng ENG,DF,Arsenal,21,1997,15.4,1203,71,442,536,233,15,1203,34,19,55.9,15,44.1,596,3219,1917,38,23,9,17,18,744,34
282,Sadio Mané,sn SEN,FW,Liverpool,27,1992,30.5,1547,15,113,565,897,201,1547,110,69,62.7,41,37.3,1195,7762,3888,159,103,62,100,57,1256,286
283,Javier Manquillo,es ESP,DF,Newcastle Utd,25,1994,17.8,814,81,305,325,194,11,814,25,13,52,12,48,362,1899,996,22,24,2,19,2,402,49
284,Solly March,eng ENG,"FW,MF",Brighton,25,1994,12.7,780,23,131,304,355,41,780,28,16,57.1,12,42.9,412,2760,1503,50,30,13,16,30,492,112
285,Pablo Marí,es ESP,DF,Arsenal,25,1993,1.3,114,19,53,59,2,0,114,0,0,,0,,70,476,294,0,0,0,0,0,83,0
286,Adrian Mariappa,jm JAM,DF,Watford,32,1986,16.8,780,89,326,350,106,6,780,1,1,100,0,0,284,881,356,2,4,0,9,3,331,9
287,Anthony Martial,fr FRA,FW,Manchester Utd,23,1995,29.2,1042,18,48,329,677,157,1041,97,50,51.5,47,48.5,705,4107,1911,76,54,45,74,61,886,275
288,David Martin,eng ENG,GK,West Ham,33,1986,4.8,132,115,131,1,0,0,132,0,0,,0,,49,376,281,0,0,0,0,0,31,0
289,Josh Martin,eng ENG,"FW,MF",Norwich City,17,2001,0.4,19,0,4,9,6,1,19,0,0,,0,,13,111,35,1,0,0,0,0,13,3
290,Gabriel Martinelli,br BRA,FW,Arsenal,18,2001,7.4,273,11,61,88,132,36,273,32,9,28.1,23,71.9,168,1409,770,31,15,13,29,12,181,65
291,Emiliano Martínez,ar ARG,GK,Arsenal,26,1992,8.6,309,271,308,1,0,0,309,0,0,,0,,183,931,619,0,0,0,0,0,136,0
292,Adam Masina,ma MAR,DF,Watford,25,1994,20.2,1197,88,394,553,259,19,1197,16,9,56.3,7,43.8,468,2177,1037,18,15,2,16,12,516,32
293,Arthur Masuaku,cd COD,DF,West Ham,25,1993,10.4,767,45,243,365,166,12,767,44,27,61.4,17,38.6,392,2591,1511,41,30,8,15,19,430,37
294,Juan Mata,es ESP,"MF,FW",Manchester Utd,31,1988,8.4,600,3,33,296,273,32,600,12,5,41.7,7,58.3,357,1695,776,17,22,6,13,8,499,65
295,Nemanja Matić,rs SRB,MF,Manchester Utd,30,1988,17.6,1437,60,355,851,237,5,1437,24,20,83.3,4,16.7,842,5169,3053,39,40,3,18,16,1021,8
296,Joël Matip,cm CMR,DF,Liverpool,27,1991,7.8,640,54,262,347,33,8,640,2,2,100,0,0,426,2290,1663,6,14,0,3,2,419,2
297,Neal Maupay,fr FRA,FW,Brighton,22,1996,30.7,1044,15,70,429,556,163,1042,68,24,35.3,44,64.7,604,3646,1414,63,37,34,79,56,747,255
298,James McArthur,sct SCO,MF,Crystal Palace,31,1987,34.3,1980,102,480,1014,505,86,1980,44,29,65.9,15,34.1,979,5402,2436,54,42,16,56,39,1186,123
299,Oliver McBurnie,sct SCO,FW,Sheffield Utd,23,1996,23.5,935,46,108,397,440,107,935,44,22,50,22,50,365,1712,694,26,23,8,43,34,634,109
300,Alex McCarthy,eng ENG,GK,Southampton,29,1989,28,888,678,882,6,0,0,888,2,2,100,0,0,431,2517,1716,0,0,0,0,0,351,0
301,James McCarthy,ie IRL,MF,Crystal Palace,28,1990,18.7,1040,29,250,598,201,11,1040,10,7,70,3,30,417,1832,679,8,6,0,18,11,543,23
302,John McGinn,sct SCO,MF,Aston Villa,24,1994,25.7,1099,40,194,507,424,62,1099,72,53,73.6,19,26.4,637,3834,1749,38,28,9,41,49,676,84
303,David McGoldrick,ie IRL,FW,Sheffield Utd,31,1987,20.2,895,25,87,420,401,64,895,48,31,64.6,17,35.4,453,2313,884,29,18,8,62,27,652,129
304,Michael McGovern,nir NIR,GK,Norwich City,35,1984,1.8,57,52,57,0,0,0,57,0,0,,0,,27,133,92,0,0,0,0,0,19,0
305,Kenny McLean,sct SCO,MF,Norwich City,27,1992,33,2107,116,554,1180,387,27,2107,44,31,70.5,13,29.5,1271,6189,3022,46,31,5,51,38,1444,73
306,Dwight McNeil,eng ENG,MF,Burnley,19,1999,37.1,1720,43,253,840,668,43,1720,142,77,54.2,65,45.8,1066,8654,3629,146,95,9,57,63,1041,109
307,Scott McTominay,sct SCO,MF,Manchester Utd,22,1996,19.7,1293,67,297,781,226,22,1293,46,31,67.4,15,32.6,696,3774,1668,25,27,3,36,29,849,27
308,Ben Mee,eng ENG,DF,Burnley,29,1989,32,1633,225,764,828,56,45,1633,7,6,85.7,1,14.3,717,3098,1390,5,0,0,14,3,789,5
309,Benjamin Mendy,fr FRA,DF,Manchester City,25,1994,16.6,1434,32,220,688,539,10,1434,27,19,70.4,8,29.6,1010,4046,2269,60,58,5,13,17,1069,176
310,Nampalys Mendy,sn SEN,MF,Leicester City,27,1992,3.2,249,6,49,168,32,1,249,2,1,50,1,50,176,715,306,1,6,0,5,2,187,6
311,Chris Mepham,wls WAL,DF,Bournemouth,21,1997,10.1,645,104,360,263,24,15,645,5,3,60,2,40,411,2159,1247,4,1,0,5,4,380,3
312,Max Meyer,de GER,"MF,FW",Crystal Palace,23,1995,7.3,289,2,59,134,101,16,289,13,6,46.2,7,53.8,179,1074,359,9,8,1,11,15,211,32
313,Luka Milivojević,rs SRB,MF,Crystal Palace,28,1991,27.9,1844,92,494,1022,345,9,1842,11,7,63.6,4,36.4,829,3821,1748,7,15,2,24,13,1000,11
314,James Milner,eng ENG,"MF,DF",Liverpool,33,1986,10.4,888,26,150,518,228,11,886,11,10,90.9,1,9.1,621,2276,1089,18,17,1,9,6,648,42
315,Yerry Mina,co COL,DF,Everton,24,1994,25.4,1632,226,906,662,73,48,1632,8,6,75,2,25,980,5913,3160,11,8,0,7,0,986,4
316,Takumi Minamino,jp JPN,"FW,MF",Liverpool,24,1995,2.8,146,4,13,73,62,12,146,10,4,40,6,60,108,580,200,8,2,1,10,5,121,22
317,Tyrone Mings,eng ENG,DF,Aston Villa,26,1993,32.2,1754,357,1094,627,55,23,1754,12,12,100,0,0,987,5906,2717,12,6,0,10,5,1007,11
318,Tyrick Mitchell,eng ENG,DF,Crystal Palace,19,1999,2.2,151,7,39,75,37,1,151,3,1,33.3,2,66.7,76,337,217,5,3,0,1,3,85,8
319,Henrikh Mkhitaryan,am ARM,FW,Arsenal,30,1989,1.2,94,1,7,37,50,14,94,7,2,28.6,5,71.4,48,287,122,3,4,0,4,3,75,19
320,Nacho Monreal,es ESP,DF,Arsenal,33,1986,3,233,16,88,89,57,5,233,4,2,50,2,50,128,508,295,4,4,3,3,1,159,14
321,Martín Montoya,es ESP,"DF,MF",Brighton,28,1991,21.1,1512,64,412,669,447,35,1512,29,10,34.5,19,65.5,709,3945,2410,57,43,7,34,11,913,117
322,Simon Moore,eng ENG,GK,Sheffield Utd,29,1990,2,51,43,50,1,0,0,51,0,0,,0,,18,140,93,0,0,0,0,0,10,0
323,Aaron Mooy,au AUS,"MF,FW",Brighton,28,1990,23.2,1362,42,170,624,583,38,1362,56,38,67.9,18,32.1,765,4655,2277,71,50,12,44,42,929,135
324,Wesley Moraes,br BRA,FW,Aston Villa,22,1996,19.8,577,29,46,264,270,79,576,24,12,50,12,50,303,1385,341,13,10,6,58,18,441,89
325,Wes Morgan,jm JAM,DF,Leicester City,35,1984,4.8,292,20,131,155,7,4,292,2,2,100,0,0,176,708,289,1,0,0,1,1,196,1
326,Ravel Morrison,jm JAM,MF,Sheffield Utd,26,1993,0.1,7,0,0,4,3,1,7,0,0,,0,,5,27,13,1,0,0,0,1,6,0
